start,end,text
55.907,66.522,"The operating room setup is displayed, with the patient cart positioned on the patient's left side. The video shows the placement of three working ports, which are labeled for identification. The surgical assistant stands on the patient's right side, utilizing one of the labeled ports."
67.022,136.725,"The surgeon performs central ligation of the inferior mesenteric artery (IMA) and inferior mesenteric vein (IMV) using a medial to lateral approach. The IMV is identified and ligated near the ligament of Treitz and just below the pancreas. Subsequently, the IMA is identified and ligated close to its origin to facilitate resection and ensure an attention-free anastomosis."
137.225,218.429,"The surgeon continues the medial to lateral dissection, developing the plane between the colon mesentery and Gerota's fascia. The ureters are identified and carefully preserved during the procedure. The splenic flexure is fully mobilized."
218.929,235.767,"The pedicle ligation and splenic flexure mobilization are completed. The robotic arm in the right upper quadrant is repositioned to the left midabdomen, and the robot is redirected to the pelvis to address the colovesicle fistula. The new working and assistant ports are labeled on the surgical field."
236.267,250.815,"The rectosigmoid colon is visibly densely adherent to the bladder, indicating a challenging dissection area due to the close proximity and adhesion between these structures."
251.315,347.219,"The surgeon uses a combination of blunt and sharp dissection techniques to separate the sigmoid colon from the bladder abscess cavity and fistula tract. The fibrotic appearance of the abscess cavity and fistula tract is visible, indicating chronic inflammation."
347.719,362.53,"The surgeon fully mobilizes the sigmoid, rectosigmoid, and upper rectum. The mesorectum is ligated and divided, followed by stapling and dividing a section of healthy-appearing rectum."
363.03,412.28,"The surgeon performs a cystotomy to expose the bladder trigone, preparing for the resection of the fistula tract along with the fibrotic bladder wall abscess cavity."
412.78,446.292,"The surgeon closes the bladder resection and cystotomy sites using a running suture technique, applying two layers of sutures to ensure secure closure."
446.792,461.845,"The surgeon performs an end-to-end colorectal anastomosis, connecting the divided sections of the colon. A surgical drain is placed in the pelvis to manage postoperative fluid accumulation."
