start,end,text
8.941,11.164,23 centímetros.
11.224,14.368,"23 centímetros, bueno."
15.25,17.973,No está mal.
17.993,20.817,No está mal.
21.678,23.06,De la máquina.
23.301,27.086,Ok.
27.146,34.476,¿Puede salir?
35.772,39.518,Vamos a ir más altos.
39.918,43.524,"Vamos a ir más altos, a ver."
43.544,51.376,"Vamos a intentar repasar la... Sí, el paciente tiene una gran toracotomía."
51.396,53.079,"Enseña con la cámara, por favor."
53.099,55.002,Un gran portal uniportal.
55.022,55.883,¿Ligaron la cámara?
56.865,62.814,"Sí, un gran portal uniportal."
62.834,63.315,De aquí hasta aquí.
67.126,72.975,Así que puedes ver un gran portal uniportal.
72.995,75.018,"Vamos, vamos."
75.398,86.114,Vamos a hacer... La página tiene un GTO en el medio bajo.
86.134,89.999,Así que vamos a hacer una agujera en este lisio.
90.741,93.565,Vamos a ir grabando con la cámara para que lo vean.
95.628,104.04,Vamos a darle un poco de foco.
104.061,105.963,Sujétame un momento.
106.043,109.709,Sujétame la cámara un poquito y parale foco.
109.729,115.437,Dale un poco de foco.
115.477,116.539,Eléctrica 50.
118.072,122.437,¿Está fuerte o fraco?
122.958,124.9,¿Está fuerte o fraco?
125.381,128.504,¿Está fuerte o fraco?
128.524,130.927,¿Está fuerte o fraco?
130.947,138.617,¿Está fuerte o fraco?
138.637,142.161,¿Está fuerte o fraco?
142.181,143.202,¿Está fuerte o fraco?
144.059,145.44,¿Vale?
148.443,152.647,¿O no?
152.847,172.345,"No, pero el spray no es demasiado..."
172.983,175.067,¿Piensan?
175.087,179.013,¿Se para aquí así?
185.144,186.687,¿Se para aquí así?
186.707,194.4,¿Con la derecha?
195.359,197.583,Déjame ver cuál es la otra gotaña por la que fue.
198.845,209.904,Teniendo en cuenta que si voy por esta.
209.924,215.012,"Voy por esta, que está un poquito más arriba."
216.134,218.138,Se va de aquí.
218.158,220.682,Esta va a ser muy alta.
220.702,221.383,Voy por esta.
222.848,235.259,"Miguel, está colapsado, ¿verdad?"
235.279,238.623,"¿Te has clampado tú, Miguel?"
243.127,246.53,"Siempre clampa cuando empezamos a abrir, ¿vale Miguel?"
246.89,251.134,"Sin decirte nada, ya vas clampando para no perder tiempo."
260.075,271.027,¿Está muy fácil?
271.047,271.107,Sí.
271.127,271.247,Bueno.
271.267,272.749,¿Dónde está pegadito?
272.769,273.109,"No, aquí no."
273.83,275.212,"Ah, está mal."
276.633,277.434,Está mal.
277.454,277.915,Está bon.
277.935,279.076,¿Aquí?
279.116,281.438,"No, vas a pegar aquí otra vez también."
281.719,286.504,¿Ah?
288.205,290.848,Si tenemos la suerte de que la lleguemos aquí ya.
291.989,294.511,Aquí está pegado.
296.093,297.554,Muy pegado.
297.574,298.415,Pero hacia atrás.
298.635,300.497,Vamos a ver aquí.
300.517,301.939,"Vale, necesitamos la espátula."
305.382,307.404,"No, no, aún no, aún no."
307.424,309.006,"Hay que colocar esto más bajo, por favor."
313.73,314.331,Lucia.
319.694,320.195,¿Pátula?
321.578,321.978,Es acción.
322.279,324.483,¿Cómo era tu nombre?
324.683,325.164,Juanjo.
325.224,325.725,"Ok, Juanjo."
325.745,327.809,Dale unos parabes a Juanjo para que se pare esto así.
328.671,331.316,"Vale, Juanjo, tú haces así."
331.336,331.597,Otro para él.
331.617,332.118,Otro para él.
333.4,336.867,"Porque ahora es muy importante, no uses el... No, no."
336.887,338.029,El grande.
338.249,340.934,"No uses el protector de la espalda, ¿ok?"
340.954,342.177,¿Pátula?
342.197,342.377,¿El hook?
346.492,355.561,Si vemos ahora aquí... Este debería ser el medio bajo.
356.442,370.677,Y este debería ser el bajo.
374.285,375.807,"Vale, espátula."
375.827,376.348,Pedal para mí.
377.509,378.03,Manténlo así.
378.831,379.952,"Y esto vas jugando tú así, mira."
380.092,384.358,"Vas jugando con esto, con el... Vale."
384.598,386.881,"Elira, fíjalo bien, fíjalo con algo."
388.002,388.563,No me lo des así.
388.763,390.626,"Fíjalo con algo, con un strip o algo."
391.427,392.008,No me lo des así.
394.871,396.293,Dame la pala larga de esto.
402.128,410.618,So it's very important now to avoid the... To avoid the wound protector in order to... ¿Está protegida?
411.579,413.281,¿Está protegida Elvira?
413.301,416.624,"Elvira, ¿está protegida o no?"
416.644,417.225,"Está protegida la punta, ¿no?"
417.245,417.665,"Sí, esta es la punta."
417.685,417.826,"Ah, ok."
417.846,417.906,Ok.
417.926,421.31,It is very important to... It's too much.
421.35,427.056,"Cambiar, que cambie el... Tengo que poner ahora más bajo el LED eléctrico."
428.42,434.048,"Mira, mira, mira."
436.211,441.338,Voy a girar aquí un poquito.
441.358,442.539,"No cayó, sí."
442.559,444.102,"Cámbiamelo, cámbiamelo, cámbiamelo."
444.322,447.867,"Otro, otro ganivete."
447.887,449.169,Voy a llevar la 30.
449.189,451.892,"Ah, quiero extraerla."
455.2,457.283,"A ver, esto tiene que estar más largo."
457.963,463.07,Mira.
463.09,467.815,Acercar eso para aquí.
467.835,472.922,Vamos a tener que agarrar un poquitín.
472.942,474.183,Tenemos que sacar el canivete abierto y el talo de los pastos.
474.203,474.323,¿Vale?
474.343,474.423,¿No?
474.443,474.584,¿No va?
474.604,478.068,"Da, pero tienes que poner un esteristrip alrededor."
478.088,480.851,Falta.
480.871,481.092,Falta.
481.112,481.232,Falta.
481.252,481.372,Falta.
481.392,481.512,Falta.
481.643,483.786,"Bájame esto un poquito, por favor."
483.826,484.747,Baja hacia abajo.
484.767,485.408,"No, no, no, eso no."
485.428,487.13,Baja el... Eso.
487.15,494.96,"Más, más bajo, más bajo."
495.821,500.347,El hook.
