start,end,text
766.004,787.776,"Si ustedes comparan estas dos imágenes y comparan realmente cómo se operaba antes, antes quizás podían evaluar la resecabilidad de un tumor, si estaba fijo o no estaba fijo a una arteria, a un vaso, a una estructura y podían decir esto se reseca o no se reseca, eso ya no existe más."
835.708,836.79,¿Qué significa esto?
836.85,848.912,"Ustedes como ven en la torre que tienen ahí, van a ver blanco y negro, van a ver con un overlay de imágenes de coloración de verde o de rojo."
864.536,867.24,"Cuando ustedes quieren ver mayor penetración del tejido,"
867.22,882.85,"El modo blanco y negro es muy importante, cuando ustedes quieren ver más identificación de tejidos, cuando están operando en tiempo real, van a cambiar con los colores sabiendo que quizás las imágenes son prestadas y no son reales."
1422.881,1426.165,"Las imágenes, como dijeron antes, hablan por sí solas."
1593.467,1601.32,"Yo la manera que lo realizo es primero pinto el área, lo realizo en sucio porque después"
1610.226,1615.782,Y fíjense cómo ustedes ven exactamente cómo pueden manipular
1618.613,1621.877,la cámara para evaluar hacia dónde se dirige.
1643.74,1654.18,Esta era una paciente que tenía un melanoma en el dorso que había sido operado por cirugía plástica y migró el ganglio sentinela o se ubicaba en la ingle.
1654.681,1660.753,"Entonces, ustedes fíjense en cómo uno puede ir operando realmente en tiempo real"
1660.733,1686.977,"La disección es cuidadosa, primero lo que ven es luz proveniente desde la región inferior y después cuando avanza en la cirugía solamente van a disecar el área donde se encuentra el ganglio y esa protección linfática es lo que a ustedes les puede hacer que después eviten o disminuyan el riesgo de un linfedema."
1686.957,1694.571,"Y ahí, como ustedes ven, la comparación entre lo que es luz blanca y el ganglio sentinela."
1697.39,1709.668,"Acá tienen otro caso, este era un carcinoma escamoso, habitualmente nosotros no le hacemos centinela, pero este era grande y ulcerado, y fíjense cómo migra hacia la región axilar."
1710.529,1722.707,"Nosotros ahí, cuando vemos el stop, directamente, yo nunca cambio la incisión, siempre pensando en un vaciamiento, y por lo menos está orientado hacia dónde va."
1722.727,1724.71,"Y después nuevamente,"
1724.69,1741.602,"esperen que les voy a acelerar acá, fíjense cómo encuentran el ganglio sentinela debajo de la superficie y siempre obviamente chequeamos después de la resección si quedó un segundo ganglio sentinela o no."
1743.539,1762.369,"Realmente, primero en la práctica nuestra hacíamos la comparación con el tecnesio y cuando vimos que podíamos ver más ganglios y cuando realmente la tasa de identificación era el 100% con este tipo de equipamientos, realmente abandonamos el tecnesio."
1796.223,1801.668,"Acá se administra en el cervix, tienen que tener cuidado de una absorción."
1802.649,1816.903,Primero no instilarlo en un vaso porque después toda la pelvis se le va a manchar y ahí directamente empiezan a ver la migración linfática dentro de la pelvis.
1816.943,1824.61,Y ven bien cómo están los canalículos linfáticos y dónde se encuentra el ganglio sentinela.
1897.609,1911.465,"Esto es de manera subserosa y después, en el mismo momento, antes de realizar la resección y la anastomosis colónica, es cuando le administran por vía"
2835.804,2840.389,"Esto es un cáncer de esófago, un Ivor Lewis nuestro."
2840.93,2847.336,"Y ustedes ven acá como nosotros hacemos toda la disección del aumento mayor, hacemos la infradianectomía."
2847.316,2854.313,Dividimos siempre las cruces para poder llegar bien al mediastino y poder ver.
2854.373,2856.037,A ver si podemos hacerlo acá más rapidito.
2857.661,2860.127,Y acá empezamos a hacer el tubo gástrico.
2862.436,2865.942,Y usamos el verde de indocianina de rutina cuando hacemos Ivor Lewis.
2866.603,2876.36,Todavía no hemos estudiado en forma retrospectiva para ver cuáles son los resultados y compararlos históricamente al tiempo antes de usar el verde de indocianina.
2876.461,2882.591,Pero ustedes ven acá como nosotros podemos ver muy bien en el abdomen el tubo gástrico.
2883.132,2887.6,"Hacemos una yeyunostomía de rutina, no hacemos más piloroplastias."
2887.58,2891.163,"Y luego esta es la parte torácica, donde la hacemos nosotros mismos."
2891.283,2894.927,Yo no uso cirujano torácico después de tantos años en cirugía.
2895.547,2898.35,"Y ustedes ven acá el esófago muy bien, se divide con el lineal."
2898.49,2901.913,La anastomosis la hacemos circular y siempre la reenforzamos con suturas.
3062.035,3065.098,Lo bueno de esto es que el paciente ya está dormido.
