start,end,text
1.113,7.057,This is a video showing a robotic S-III segmentectomy on the right side.
7.557,14.642,Here represents a case of a patient with metastatic nodule in the anterior segment of the right upper lobe.
15.142,19.505,The primary tumor was a colon cancer with a liver metastasis.
20.005,27.357,Both tumors had been resected in two thousand and fifteen and a pulmonary nodule was detected one year later.
27.857,35.161,"As the nodule presented an enlargement, we decided to remove it."
35.661,41.385,This is a CT scan showing the nodule in a quite central position.
41.885,47.868,"The surgeon begins dissecting the inferior pulmonary ligament and proceeds with a mediastinal lymphadenectomy, carefully removing lymphatic tissue from the mediastinum."
48.368,53.841,"The surgeon resects levels eight and nine lymph nodes, removing them from the surrounding tissue within the mediastinal region."
54.341,61.165,"The surgeon resects levels eight and seven lymph nodes from the posterior view of the hilum, with visible manipulation of the surrounding tissue."
61.665,70.59,"In our experience, performing the lymphadenectomy first helps the further dissection of the vascular structures."
71.09,90.378,"The surgeon begins resecting lymph nodes from level ten, followed by levels two and four, using precise dissection techniques around the central pulmonary structures."
90.878,111.807,"The surgeon uses an anterior approach to dissect the superior pulmonary vein, identifying the tributaries originating from the right upper lobe."
112.307,119.549,"The surgeon begins dissecting the fissure, revealing the pulmonary artery, which is easily identifiable in this case."
120.049,128.277,"The surgeon identifies the branches of the pulmonary artery leading to the median lobe on the right side, visible within the dissected fissure."
128.777,180.967,The surgeon identifies a pathway leading to the anterior hilum and uses a bladder catheter to guide the stapler in dividing the horizontal fissure.
181.467,209.189,"The surgeon faces the anterior part of the hilum and individually dissects the veins of the anterior segment, carefully separating them from surrounding tissues."
209.689,238.449,"The surgeon uses a stapler to divide the veins from the anterior segment, completing the dissection of these vessels within the pulmonary hilum."
238.949,261.482,"The surgeon carefully removes lymph nodes encountered during the dissection, aiding in the isolation of the arterial branch and segmentary bronchus."
261.982,271.869,"The surgeon exposes the arterial branch prominently in the foreground, with the segmentary bronchus visible behind it, highlighting the spatial relationship between these structures."
272.369,283.017,"The surgeon uses a stapler to divide the segmentary artery, which is visible in the surgical field."
283.517,294.685,"The surgeon uses a curved tip load to assist in the dissection of the veins in the anterior segment of the hylum, providing better access and precision during the procedure."
295.185,333.352,"The surgeon dissects the segmentary bronchus, carefully separating it from surrounding tissues, with the arterial branch visible in the foreground."
333.852,356.422,"The surgeon uses a vessel loop to retract the segmentary bronchus, creating space to facilitate the introduction of the stapler for further dissection."
356.922,382.175,"The surgeon divides the segmentary bronchus using a vascular stapler with curved teeth, with the arterial branch visible in the foreground."
382.675,423.824,"The surgeon checks the position of the anterior segment of the lung and proceeds with stapling, ensuring the segment is correctly aligned for division."
424.324,428.136,The surgeon checks for lung expansion after completing the dissection and stapling of the segmentary bronchus.
