start,end,text
17.976,25.652,The surgeon uses a full circle pulpotomizer uterine manipulator to position the uterus during the laparoscopic hysterectomy.
26.152,56.345,"The uterine manipulator is introduced, with the tenaculum holding the anterior and posterior leaf of the cervix. The uterus is pushed towards the opposite shoulder. The surgeon then takes the right round ligament, located four centimeters lateral to the uterus, followed by the fallopian tube and the ovarian ligament."
56.845,63.029,"The surgeon proceeds to dissect 2.5 centimeters over the broad ligament, using the uterine manipulator to maintain positioning and access."
63.529,76.198,"The uterus is pushed towards the left shoulder, and the surgeon takes a 2.5 cm section of the broad ligament on the right side after addressing the adnexal structures."
76.698,86.848,"The surgeon uses a uterine manipulator to push the uterus towards the opposite shoulder, preparing to address the structures on the other side."
87.348,116.717,"The surgeon identifies the round ligament on the left side, followed by the fallopian tube, and proceeds to dissect the ovarian ligament."
117.217,126.101,"The surgeon continues to dissect the broad ligament, focusing on a 2.5-centimeter section, using surgical instruments to separate the tissue."
126.601,138.146,The surgeon retroverts the uterus and pushes it to the five o'clock position after securing the adnexal structures and a 2.5 cm section of the broad ligament.
138.646,143.11,"The surgeon uses the left hand to stretch the peritoneum of the anterior leaf of the broad ligament, preparing for further dissection."
143.61,163.026,"The surgeon uses the harmonic scalpel in the right hand to open the anterior leaf of the broad ligament, while the assistant rotates the uterus from the five to seven o'clock position using a uterine manipulator."
163.526,169.778,"The surgeon carefully separates the entire anterior peritoneum, revealing the underlying anatomical structures as the uterus is positioned at the five o'clock position."
170.278,217.083,"The uterus is retroverted and positioned at seven o'clock while the surgeon separates the right anterior leaf of the broad ligament, visibly detaching it from surrounding structures."
217.583,242.487,"The surgeon separates the bladder from the vagina, revealing a criss-cross pattern of vaginal vessels and shiny vaginal fascia. Blunt dissection is used to carefully separate the bladder laterally from the surrounding tissues."
242.987,273.263,"The surgeon achieves lateral separation of the bladder and bladder pillars on both sides, ensuring the ureter moves laterally to prevent injury during the laparoscopic hysterectomy."
273.763,285.468,"The surgeon opens the posterior peritoneum, separating the uterus, which is rotated from the ten o'clock to two o'clock position, using a harmonic scalpel."
285.488,301.121,"The surgeon anteverts the uterus, positioning it at the two o'clock position to facilitate the separation of the posterior peritoneum."
301.621,328.715,"The surgeon stretches the tissue before opening the posterior peritoneum to avoid damaging the posterior uterine vein, then proceeds to take the right posterior peritoneum."
329.215,370.554,"The surgeon coagulates the uterine artery using a ligature, applying it two or three times to ensure hemostasis, including some ascending uterine branches. The artery is not cut at this stage. The process is repeated on the other side, first coagulating the left uterine artery, followed by the right."
371.054,400.805,"The surgeon performs a second coagulation of the uterine artery using an instrument with saline and betadine between the jaws to minimize smoke and maintain temperature control. The uterine artery is properly coagulated and cut, revealing the tip of the uterine structure."
401.305,430.83,"The surgeon cuts the middle and lateral ends of the mechanoid ligament, revealing the junction of the cervicovaginal fascia. The left uterine artery is secured, and the surgeon prepares to address the right side, cleaning the eschar from the ligature."
431.33,464.005,"The surgeon applies betadine to the surgical field and proceeds with the dissection of the uterine artery. Using a harmonic scalpel, the surgeon performs colpotomy from the left side, while the assistant rotates the colpotomizer in a clockwise fashion to facilitate the procedure."
464.505,491.542,"The surgeon performs colpotomy, starting anteriorly and progressing from the left side towards the right side, while the assistant rotates the uterus. The procedure then continues with posterior colpotomy, using the tip of the colpotomizer to maintain a narrow incision."
492.042,522.783,"The surgeon completes the colpotomy above the arc of the uterosacral ligament, ensuring the vaginal part of the ligament remains intact. The assistant pulls the uterus through the vagina, and suction irrigation is performed to confirm there is no bleeding."
523.283,552.967,"The surgeon uses stone holding forceps to push a needle through the vagina for suturing. The suture is retrieved through the vagina, and wall closure begins with continuous suturing of the right utero sacral ligament using number one suture. The posterior leaf of the vagina is sutured, ensuring the anterior bladder is not included."
553.467,575.565,"The surgeon performs continuous suturing in two layers, first from right to left and then returning from left to right, using three to four bites to close the small opening created by the colpotomizer, which measures 3.5 centimeters."
576.065,607.172,"The surgeon performs interlocking sutures at the corner of the vaginal cuff, ensuring secure closure. The assistant holds the suture tail to facilitate the process, allowing the surgeon to return and complete the suturing of the vaginal cuff."
607.672,656.024,"The surgeon completes the vault closure using a surgeon's knot, applying a double wrap technique to secure the suture."
656.524,669.464,"The surgeon performs a first-time double wrap suture followed by two opposite alternating wraps to approximate the corners, completing the vault closure."
669.964,675.829,The surgeon uses scissors to cut the suture after completing the vaginal vault closure.
