start,end,text
24.714,31.397,"The surgeon prepares to place the laparoscopic ports using the baseball diamond concept, positioning a supraumbilical port for access to the surgical field."
31.897,59.683,The camera port is positioned approximately ten centimeters above the umbilicus due to the large size of the myoma. The surgeon places the right-hand port 7.5 centimeters laterally from the camera port.
60.183,87.365,"The surgeon positions the left hand port 7.5 centimeters lateral to the supraumbilical camera port. A contralateral port is placed for the Miami screw, which will be used by both the surgeon's left hand and the assistant. The surgeon introduces a Veress needle using an ellipsoid number knife."
87.865,118.038,"The surgeon creates a small two-millimeter incision at the supraumbilical point on the skin. A Veress needle is inserted perpendicular to the abdominal wall and oblique to the patient to establish pneumoperitoneum, followed by irrigation and suction tests."
145.549,173.035,"The surgeon removes the Veress needle after the actual pressure reaches the preset level, with a flow rate of one liter per minute. The incision is enlarged to accommodate the primary trocar, which is introduced through the aluminum incision."
173.535,201.396,"The surgeon uses a two-hand technique to insert the primary trocar for laparoscopic myomectomy. After establishing the primary port, diagnostic laparoscopy is performed. The second port is introduced 7.5 centimeters lateral and below the primary port, followed by the introduction of the third port, ensuring proper port positioning for the procedure."
201.896,228.827,"The surgeon positions the right hand port 18 centimeters from the target umbilicus, with the telescope positioned 24 centimeters away. Two arcs are visible, measuring 18 and 24 centimeters respectively, indicating the spatial arrangement of the surgical instruments."
229.327,256.88,"The surgeon introduces a 5 mm port for the right-hand dissector, harmonic, or suction irrigation tool. Another port is positioned 7.5 centimeters laterally, marking the last port placement."
257.38,285.197,"The surgeon positions a port just above the anterior superior iliac spine, which will be used for the left hand myoma screw. A contralateral port is also positioned for assistance, and the initial diagnostic laparoscopy is performed."
285.697,313.966,"The laparoscopic view reveals the uterus, which is entirely occupied by a myoma. Visible anatomical structures include the uterosacral ligament, the left fallopian tube, the round ligament, and the left infundibulopelvic (IP) ligament. The triangle of dome is also visible, with the ureter located below the IP ligament."
314.466,335.995,"The surgeon visually identifies the ureter, noting its peristalsis, alongside the sacral pulmonary region. The sigmoid colon, cecum, and appendix are also visible in the surgical field."
336.495,384.38,"The video shows the anatomical landmarks including the triangle of doom and triangle of pain. The round ligament is visible along with the deep ring, medial and lateral umbilical ligaments, and the inferior epigastric vessel on the right side. The pubic symphysis and median umbilical ligament are also identified. The left ovary and fimbria are observed, along with the IP ligament on the left side. The uterus is visible, occupied by the myoma."
384.88,412.651,"The uterine artery is identified, and vasopressin is injected to induce transient ischemia. Approximately 200 ml of saline mixed with vasopressin is administered. The myoma screw is positioned to hold the uterus, and a horizontal elliptical incision is made on the uterine surface."
413.151,447.411,"The surgeon prepares to make a horizontal incision on the uterus, aiming for an elliptical shape to facilitate easier removal of the myoma and subsequent suturing."
447.911,495.347,"The surgeon uses a myoma screw in the left hand and suction irrigation in the right hand to gradually separate the myoma from the uterine muscle fibers. A small portion of serosa is sacrificed during the process. Another myoma screw is applied from the opposite side to assist in the separation, while muscle fibers on the right side are carefully cut to enlarge the separation area."
