start,end,text
5.032,13.359,"This operation is a robotic assisted splenectomy for a symptomatic, nineteen centimeter splenic cyst."
13.859,22.407,"Prior to the operation, this patient received the Haemophilus influenzae B, the pneumococcus, and the meningococcus vaccination."
22.907,27.391,"The patient is positioned in a lazy right lateral decubitus position, lying on their right side with a slight tilt."
27.891,32.002,"The surgeon begins the operation by mobilizing the splenic flexure, using robotic assistance to manipulate the surrounding tissue and structures."
32.502,41.386,"The surgeon transects the splenocolic ligament using robotic assistance, reducing tension on the spleen and preventing splenic capsular avulsion, which could lead to bleeding."
41.886,43.787,"The surgeon enters the lesser sac using robotic assistance, providing access to the posterior aspect of the stomach and pancreas."
44.287,50.15,"The surgeon uses a vessel sealer to perform a counterclockwise dissection, transecting the gastrosplenic ligament."
50.65,57.495,"The surgeon uses a vessel sealer to safely transect the short gastric vessels originating from the splenic artery, ensuring clear separation of these vessels."
57.995,62.836,"Following the mobilization of the greater curve of the stomach, the splenic hilum becomes exposed, revealing the anatomical structures in this area."
63.336,69.878,"The expanding splenic cyst visibly shifts the splenic hilum to a more anterior position, altering its spatial orientation within the surgical field."
70.378,77.36,"The surgeon releases the lateral splenophrenic ligament, allowing the posterior aspect of the spleen to be exposed."
77.86,86.083,"The surgical field is prepared to access both the anterior and posterior splenic hilum, allowing for rapid clamping of the pedicle if bleeding occurs."
86.583,94.106,"The surgeon encounters difficulty retracting the bulky spleen due to the presence of a splenic cyst, indicating that the current step cannot be performed safely."
94.606,97.947,"The surgeon shifts focus to the inferior hilum of the spleen, preparing to address the anatomical structures in this area."
98.447,100.948,The anatomy of the splenic artery is variable.
101.448,108.931,"The splenic artery is observed traveling along the superior aspect of the pancreas, branching into the upper and lower polar arteries."
109.431,114.267,"The surgeon uses a white load vascular stapler to transect a portion of the splenic hilum, visibly separating the tissue with the stapler's application."
114.767,125.035,"The surgeon releases the vascular stapler from the hilum, immediately using a grasper to control any potential bleeding, while the assistant prepares a proline suture for ligating larger vessels if necessary."
125.535,130.979,The splenic artery may branch near the hilum or up to five to ten centimeters away from it.
131.479,138.064,"The surgeon transects the splenic artery branches individually as they travel in a radial direction from the hilum, using precise cutting techniques to separate each branch."
138.564,140.986,"The tail of the pancreas is visually observed in close proximity to the surgical field, highlighting its anatomical relationship with surrounding structures."
141.433,145.455,"The surgeon uses a vessel sealer to transect lighter attachments at the hilum, following the previous use of a white load vascular stapler."
145.955,157.481,"The surgeon uses a bulky stapler to carefully skeletonize the splenic artery, aiming to prevent injury to the nearby pancreatic tail during the procedure."
157.981,164.025,"The surgeon performs a progressive piecemeal dissection, revealing additional arterial branches leading to the splenic hilum."
164.525,169.519,I was fortunate with this anatomy. The vessels were isolated relatively easily.
170.019,175.443,"The surgeon returns to the inferior aspect of the hilum, revealing the posterior border of the spleen, which is visible in the surgical field."
175.943,178.345,"The surgeon approaches the final pedicle of the hilum, preparing for its transection."
178.845,186.23,"The surgeon examines the contorted anatomy caused by the cyst, expressing concern that a portion of the pancreatic tail may be embedded within the surrounding tissue."
186.73,195.152,"The surgeon articulates the stapler laterally, clearing a segment of denser tissue visible in the frame."
195.652,201.434,"The surgeon releases the lateral and superior attachments of the spleen following the transection of the hilum, facilitating the removal of the spleen from its surrounding tissue."
201.934,206.635,"The expanding cyst has caused visible inflammation to the diaphragm, which can be observed in the surgical field."
207.135,211.936,"The surgeon attempts to release the lateral and superior attachments of the spleen, but the organ remains cumbersome and difficult to manipulate."
212.436,221.848,"The surgeon drains the cyst, which reduces its size and provides easier access to the remaining splenic ligaments, with minimal bleeding observed."
222.348,226.991,"The surgeon drains two liters of fluid from the cyst, which is visibly reduced in size, allowing for improved access to the surrounding anatomical structures."
227.491,232.134,"The surgeon approaches the remaining attachments of the spleen after completely evacuating the cyst, allowing for improved access to these structures."
232.634,237.557,The inflammation to the diaphragm was remarkable.
238.057,241.559,The surgeon encounters dense inflammatory adhesions while attempting to release the remaining attachments of the spleen.
242.059,247.285,I was concerned that I could cause a pneumothorax if I was too liberal with electrocautery.
247.785,254.327,"The surgeon employs blunt dissection and a vessel sealer to carefully separate tissue, minimizing the risk of injury to the diaphragm."
254.827,259.048,There are a few simple points that I find helpful in performing this operation.
259.548,267.51,"The surgeon marks the abdominal midline with a pin while the patient is in the supine position, preparing for repositioning into the lateral decubitus position."
268.01,278.719,"The surgeon makes a three-centimeter extraction incision in the supraumbilical location, revealing the midline and linea alba, which are easier to identify due to prior marking."
279.219,289.309,"The surgeon removes the spleen using morselization, employing ring forceps and finger fracture techniques to facilitate extraction."
289.809,301.188,"The surgeon staples the splenic hilum using a 45mm stapler, with a 60mm stapler also available for sequential transections."
301.688,307.371,The surgeon irrigates the splenic bed and evaluates it for any signs of further bleeding after the spleen has been completely freed from its attachments.
307.871,319.156,The surgeon advances a fifteen millimeter endocatch bag through the extended three centimeter incision in the abdominal midline. The spleen is visibly morcellated for removal.
319.656,327.227,"Leaving a surgical drain is debatable but recommended if continued bleeding, seroma, or pancreatic leak are of concern."
327.727,328.528,Thank you for watching.
