start,end,text
13.008,27.618,"The surgeon performs the final stages of the resection, with the transverse colon being maneuvered down towards the descending colon-sigmoid junction, aligning the two segments for anastomosis."
36.295,56.408,"The surgeon places a stay stitch to assess the alignment of the anastomosis, then positions a stapler to evaluate its fit. Entratomies are made on the transverse colon and descending colon to facilitate the anastomosis."
56.908,73.999,"The surgeon uses an L hook to create precise enterotomies in the transverse and descending colon, preparing for the intracorporeal anastomosis."
74.499,82.708,"The surgeon uses a mirror line to open the enterotomy along the tinea coli for the anastomosis, preparing the bowel for connection."
83.208,90.462,"The surgeon adjusts the tissue to ensure the opening is just large enough for the stapler to be inserted, preparing for the anastomosis."
90.962,101.969,"The surgeon selects a blue load stapler for use on the colon, noting the soft texture of the colon tissue, which makes the blue stapler an adequate choice for this part of the procedure."
102.469,112.236,"The surgeon uses the entire length of a 60 cm stapler to perform the anastomosis, with the stapled tissue visibly aligning and coming together smoothly."
112.736,126.861,"The surgeon closes the defect using a stapler, following a decision to opt for staple closure over suture closure."
135.064,146.684,"The surgeon places three sutures, followed by an anastomosis using a stapler, completing the connection between the bowel segments."
147.184,176.519,"The video shows the completed stapling of the colon, with two staple lines positioned close to each other. The surgeon reinforces these staple lines with limbered sutures for added security."
