start,end,text
31.25,38.84,"I mark the scapula tip, posterior axillary line, mid axillary line, and for women, borders of the breast."
49.914,60.447,"I use a five millimeter XL trocar with a zero degree camera to enter the chest cavity, posterior to the scapula tip."
80.153,81.574,We then insiplate the chest.
100.153,106.819,I then use a 30 degree camera to visualize the anterior chest wall and identify the 8th rib.
107.558,113.532,I use a needle to identify the area right above the diaphragm in the seventh intercostal space.
120.487,125.719,And then place a 12 millimeter robot port at this area.
161.71,170.269,and then place an 8mm robot port for the camera along the posterior axon line in the sixth intercostal space.
196.355,205.352,Next I place an eight millimeter inferior posterior port in two intercostal space below the scapula tip port.
222.089,226.68,We then exchange the 5mm scapula tip port with a 8mm robot port.
237.043,241.313,"Next, we place rolled rate tech through 12mm port."
251.35,253.753,We then play perform a brick block.
269.331,278.742,We do this by placing a needle from the inside and placing the X barrel right next to the nerve.
283.075,289.035,we typically place about 3 cc of X-barrel in the 5th to 9th intercostal space.
340.99,345.9,We center the robot right at the camera port.
347.002,351.551,We then rotate the robot so that the green line is parallel to the seven intercausal space.
384.089,386.356,Instruments are then placed in the ports.
