start,end,text
14.519,25.928,The surgeon retracts the left lobe of the liver and uses a Babcock clamp placed just below the cardia to pull the esophagus downwards and laterally.
26.428,66.166,"The surgeon divides the gastrohepatic ligament, followed by the anterior phrenoesophageal ligament, to expose the anterior surface of the esophagus. The plane between the right crus and the esophagus is developed, and the retroesophageal plane is further expanded using blunt dissection."
66.666,99.715,The surgeon exposes the anterior surface of the esophagus by dividing the anterior frenoesophageal ligament. Approximately seven centimeters of the esophagus above the gastroesophageal junction is exposed using a combination of blunt dissection trans-hiatally and downward traction applied with a Babcock clamp positioned just below the cardia.
100.215,145.673,"The surgeon dissects the gastroesophageal (GE) junction pad of fat away from the bowel wall, revealing the cardia for two to three centimeters below the GE junction. The bare area of the cardia is exposed, showing the muscle fibers of the stomach without serosal covering, which will be split in the lower part of the myotomy."
146.173,160.402,"The surgeon completes the exposure of the medial surface of the esophagus, extending from approximately three centimeters below the gastroesophageal junction at the cardia to about seven centimeters above the junction."
160.902,244.915,"The surgeon initiates the esophageal myotomy by splitting the esophageal fibers using lateral traction with two blunt instruments, revealing the smooth glistening esophageal mucosal surface. The esophageal muscle fibers are then divided using a harmonic scalpel after creating a clean plane between the muscle fibers and the mucosa through gentle blunt dissection, achieving a quick and bloodless myotomy."
245.415,284.842,"The surgeon uses a harmonic scalpel to transect the esophageal fibers, ensuring the inactive blade faces the mucosa. The myotomy progresses upwards, splitting approximately seven to eight centimeters of the esophageal muscle above the gastroesophageal junction."
285.342,314.675,"The surgeon completes the esophageal myotomy up to seven centimeters above the gastroesophageal junction and proceeds to the gastric myotomy, extending three centimeters below the junction. The gastric circular, longitudinal, and oblique muscle fibers are carefully split using a similar technique."
315.175,364.046,"The surgeon performs blunt stripping and stretching to tear the oblique fibers of the stomach, avoiding mucosal injury. After completing the esophageal myotomy, a puncture test is conducted by filling saline in the upper quadrant and instilling air into the esophagus through a Ryle's tube to check for mucosal breaches, which are closed with a PDA stitch if detected."
364.546,403.781,"Following the completion of the myotomy and puncture test, the surgeon performs an anterior 180-degree Dor fundoplication to prevent reflux. The stomach is partially wrapped around the esophagus, visible as the anterior portion of the stomach is sutured in place."
404.281,449.995,"The surgeon performs an anterior 180-degree door fundoplication, positioning the gastric patch to keep the edges of the esophageal walls apart and to act as a buttress in case of any subclinical mucosal breach."
450.495,534.714,"The surgeon fixes the gastric fundal patch by suturing the medial cartilage of the esophagus and the medial crust of the diaphragm. A non-absorbable Ethibond suture is used for the fundoplication, with a slip knot technique demonstrated for tightening the knot."
535.214,543.023,"The completed Heller's cardiomyotomy is shown with an anterior 180-degree door fundoplication in place, demonstrating the surgical outcome."
