start,end,text
75.28,106.603,"welcome to this educational video on laparoscopic mesh rectopexy done for rectal prolapse in the operating room the patient is placed in a supine position the laparoscopic trolley is placed on the left side of the patient or on the leg end side of the patient the surgeon stands on the right side of the patient and the camera operator is on the left side of the surgeon the first assistant stands on the opposite side of the surgeon Special instruments needed are bobble graspers, needle holders and a six by four inches or a six by six inch polypropylene mesh."
119.872,152.35,"The laparoscopic setup includes a zero-degree 10mm telescope placed at the umbilicus. The surgeon's working ports are positioned on the right side of the patient, with a 10mm port in the right iliac fossa and a 5mm port in the right upper abdomen. The assistant's 5mm ports are located in the left iliac fossa and left upper abdomen."
152.85,251.116,"The surgeon uses the left abdominal five millimeter port for knotting during suturing, achieving triangulation. The rectum is retracted, and the peritoneum over the mesorectum is divided, exposing the pre-sacral space."
251.616,329.193,"The surgeon identifies the left ureter from the right side and retracts it downward, ensuring to stay within the avascular plane to avoid injury to the pelvic sympathetic nerves."
329.693,479.033,"The surgeon performs further dissection in the pre-sacral space by dividing the peritoneal attachments of the rectum on the right side of the pelvis. The dissection continues posteriorly in the pre-sacral space, extending to the pelvic floor. The peritoneum on the left side of the pelvis is also divided."
479.533,564.054,"The surgeon avoids dividing the lateral attachments of the rectum, such as the lateral ligaments, while continuing the pre-sacral dissection until reaching the pelvic floor, identified by the visible fibers of the levator ani muscle."
564.554,597.455,"The surgeon ensures adequate mobilization of the rectum, preparing it for fixation with sutures or mesh to prevent recurrence."
597.955,678.303,"A six by four inches polypropylene mesh is placed in the pre-sacral space, extending down to the pelvic floor and covering the posterior wall of the rectum. The mesh is positioned in place, ready for fixation."
678.803,751.369,"The surgeon fixes the polypropylene mesh to the pre-sacral fascia using interrupted proline sutures placed in the midline. Two or three sutures are applied to secure the mesh, with tackers as an alternative option for fixation."
751.869,961.398,The surgeon fixes the polypropylene mesh to the rectum on both sides using seromuscular sutures with 2-0 Prolene stitches. Two to three interrupted sutures are placed on each side to secure the mesh to the rectum.
961.898,1100.039,"The surgeon closes the peritoneum, ensuring the mesh is extraperitonealized to prevent contact with the small bowel. The mesh is no longer visible at the end of the procedure."
