start,end,text
1.364,13.366,Welcome to another episode of robotic hernia surgery. Today we're going to be reviewing one of my favorite applications of robotics and that's in the repair of lumbar hernia.
13.866,28.278,This is a patient who had previously had a lumbar fusion via flank incision who presented with an incisional hernia. She had minimal abdominal surgical history and was a good candidate for robotic repair.
28.778,50.047,Review of cross-sectional imaging demonstrated a hernia that measured eight by seven centimeters with an EHSL or defect. The hernia involved a call in retroperitoneum and there seemed to be some preservation of the external abdominal oblique aponeurosis.
50.547,77.544,"In terms of case setup, this is really important to really strategize appropriately. For lumbar hernias, I like to have the patients in the cubitus position to try and make my best efforts to access that psoas muscle via my initial docking. We usually do a left-sided dock and then do a transabdominal preperitoneal pre-transversalis repair."
78.044,93.848,"The surgeon begins the operation by addressing limited adhesions around the hernia site, which are easily dissected. The remaining colon involved is drawn up with the peritoneum, revealing the hernia defect."
94.348,117.34,"The surgeon initiates peritoneal dissection in the lateral abdominal wall, revealing a healthy preperitoneal fat pad that facilitates straightforward dissection."
117.84,158.213,"The surgeon develops the dissection both above and below the hernia defect, identifying the subdiaphragmatic area and working around the transversus abdominis and quadratus lumborum muscles. Initial circumferential dissection is performed, followed by the reduction of herniated retroperitoneal fat, which is reflected off the pseudosac formed by the external abdominal oblique and aponeurosis."
158.713,175.845,I think tap approach here is really nice because it helps you orient to this anatomy nicely. We knew that the colon was very far away and we knew that the kidney was very far away. And then we just dissect and develop the space as best we can.
175.925,199.775,"The surgeon continues the dissection beyond the lateral edge of the hernia, extending the dissection to the psoas muscle and quadratus lumborum, reaching up to the diaphragm."
200.275,219.143,"The surgeon highlights the likely position of the iliohypogastric and ilioinguinal nerves, indicating their location relative to the surgical field without needing to expose the myopectineal orifice."
219.643,237.694,"The surgeon begins fascial closure, using multiple suture lines to integrate deeper and anterior layers separately, rather than combining them in a single suture line."
238.194,263.456,"The surgeon uses two separate sutures for fascial closure, first addressing the anterior layer and then the deeper layer with a separate suture line. The anterior placation is visually performed to help offload tension."
263.456,302.89,"The surgeon applies traction on the deeper tissue layers while using an eighteen-inch V-lock suture to perform anterior plication, effectively reducing dead space to prevent seroma formation. The morphology of the hernia visibly changes as the tissue edges are drawn closer together."
303.39,344.133,"The surgeon proceeds with the closure of the deeper myofascial layers using a canal style stitch. Muscle tissue is integrated into the suture bites, and the surgeon alternates the direction of suture tightening to prevent tissue tearing and ensure effective closure."
344.193,378.577,"The surgeon uses a canal stitch to re-approximate the tissue layers, followed by a baseball style stitch to reinforce the closure. The layers are fully re-approximated, reconstructing the sidewall. The circumferential dissection is exposed, preparing the area for mesh placement."
379.077,407.418,"The surgeon places a heavyweight 25x25 mesh, using a 15mm port for simplified placement. The mesh is unrolled and secured medially with stitches, fixating it to the psoas muscle."
407.438,432.718,"The surgeon demonstrates how the mesh rolls around the sidewall, effectively covering the hernia and flank area. Approximately ten to fifteen fixation stitches are used to secure the mesh, ensuring comprehensive tissue coverage."
432.738,458.715,"The surgeon uses fast-absorbing multifilament sutures to close the peritoneal flap, with the operation performed using a robotic platform that facilitates table motion."
459.215,478.623,"Without that, I would likely have to do redocking or repositioning of the patient multiple times. And there you have it. Pretty straightforward case. Usually evacuate that preperitoneal air via that fifteen port that we drew back. And I hope that was educational. Thank you."
