start,end,text
1.66,14.185,I'm explaining the diurnal switch as Omega technique therefore the first part is similar to the SAD-E or single anastomosis diurnal anastomosis.
14.685,22.588,"The liver is elevated using the Nathanson's liver retractor, revealing the falciform ligament beneath."
23.088,35.534,"The surgeon observes the gastric sleeve, noting its larger size compared to the typical appearance expected four years post-procedure."
36.034,50.08,"The surgeon dissects the duodenum both above and below, proceeding to maneuver behind it, revealing the surrounding anatomical structures."
50.58,80.212,"The surgeon identifies the pancreas located behind the duodenum, measuring approximately four centimeters from the duodenogastric junction, with visible omental tissue additions in the area."
80.712,111.425,"The surgeon carefully dissects around the duodenum using a surgical device, such as a hook, harmonic scalpel, or ligature, ensuring not to injure the surrounding structures or the duodenum itself."
111.925,126.474,"The surgeon dissects the duodenum to the right of the common bile duct (CBD) and adjacent vessels, carefully maneuvering around these structures."
126.974,143.559,"The surgeon uses a blunt dissector, originally designed as a band retriever, to manipulate tissue during the duodenal switch procedure."
144.059,154.068,"The surgeon reveals the pancreas located just behind the duodenum, indicating that sufficient dissection has been performed to facilitate easy separation of the duodenum from surrounding structures."
154.568,173.876,"The surgeon performs blunt dissection to the right and left of the duodenum, creating sufficient space for the introduction of the GAA gun."
174.376,194.966,"The surgeon uses a tan tri-staple stapler to secure tissue, following previous dissection around the CBD and vessels."
195.466,224.309,"After dividing the structure, a swab is placed at the site to check for bile leakage and assist with hemostasis. The surgeon measures the ileum starting from the ileocecal junction, with the appendix visible in the surgical field."
224.809,244.537,"The surgeon measures approximately two to three hundred centimeters of the ileum, preparing it for anastomosis to the proximal duodenum."
245.037,289.125,"The surgeon uses VLOC PDS sutures to perform a two-layer posterior and anterior closure technique, securing the tissue layers with precise stitching."
289.625,320.331,"The surgeon uses the stable edge of the stapled tissue to secure sutures along the entire length of the staple line, ensuring proper alignment before unlocking the stapler."
320.831,349.477,The surgeon places a stay suture at the end of the suture line to secure the position for the upcoming anastomosis in the second and third layers.
349.977,365.061,"The surgeon opens the duodenum using either a harmonic scalpel or a hook, followed by opening the ileum."
365.561,406.947,"The surgeon begins suturing beyond the opening of the duodenum and ileum using a 2-0 V-Loc suture, continuing along the opened edges to secure the layers."
407.447,443.12,"The surgeon continues suturing until the end of the opening, attempting to invaginate the tissue by placing sutures in a specific manner. The tissue is drawn inward without the need for a kernel stitch, facilitating easy invagination."
443.62,478.777,"The surgeon reverses the direction of the sutures from right to left, facilitating easier suturing compared to the previous backstitch technique."
479.277,512.307,"The surgeon continues suturing beyond the opening, ensuring the entire anastomosis area is encompassed within the suture line."
512.807,547.016,Sometimes I insert the orogastic tube. That could be passed through.
547.516,566.51,"The surgeon locks the last two sutures, securing the anastomosis area within the suture line."
567.01,607.677,"The surgeon continues the first posterior layer suture anteriorly as the fourth layer, ensuring it is through and through to prevent lumen narrowing and potential leaks. The duodenal cut end is visibly vascular with a normal color."
608.177,635.528,"The surgeon dissects behind the duodenum, maintaining the normal vascular color of the tissue without any visible change."
636.028,650.878,"The surgeon transitions from a single anastomosis configuration to a Roux-en-Y configuration, adjusting the orientation of the intestinal segments to complete the duodenal switch procedure."
651.378,695.128,"The surgeon opens the preliminary limb and the alimentary limb approximately 150 centimeters from the ileocecal junction. The enterotomy is then closed using a running suture with 2-0 PDS, ensuring the integrity of the common channel."
695.628,745.997,"The surgeon disconnects the biliary pancreatic limb from the duodenoileal anastomosis, just proximal to the ileoileal anastomosis. Submucosal stitches are used to ensure the edges approximate well, promoting good healing without ischemia."
746.497,778.546,"The surgeon prepares to close the mesenteric defect at the ileo-ileal anastomosis, focusing on the visible 'V' shape that needs closure. The procedure involves side-to-side suturing to approximate the mesenteries."
779.046,813.25,"The surgeon uses a non-absorbable 3-0 or 2-0 V-Loc suture to create a simple opening into the window, dividing the biliary pancreatic limb just proximal to the ileo-ileal anastomosis."
813.75,859.036,"The surgeon lifts the transverse colon and ileum to expose the Peterson space. The V-shaped mesenteric defect is closed first, followed by the approximation of the remaining mesentery and transverse mesocolon using a non-absorbable V-lock suture."
859.536,885.224,"The surgeon positions the omentum down into the space, and inserts a drain into the right subhepatic space."
