start,end,text
23.42,27.887,После подробной схемы операции мы покажем видео самой операции.
27.947,37.983,"И данная операция, как и большинство выполняемых мной операций на легких, выполнена по однопортовой технологии через единственный минимальный разрез."
38.003,43.411,У пациентки в начале октября 2017 года стала повышаться температура.
43.492,46.997,Лечили антибиотиками без какого-то особого эффекта.
46.977,56.611,"На рентгене вроде тоже как ничего не выявили со слов пациентки, и она сама решила обратиться на компьютерную томографию."
56.652,63.562,И уже на компьютерной томографии у пациентки выявили опухоль в правом легком.
313.349,316.474,"Итак, ноябрь 2017 года."
316.514,321.582,"Стандартное начало операции с пересечения артерии, идущей к верхней доле."
321.642,325.809,"Дальше пересечена вена, идущая от верхней доли."
325.849,330.276,"Мы помним, что просвет бронховерхней доли закрыт опухолью."
330.356,334.082,"Верхняя доля не вентилировалась, в ней развилось воспаление."
334.102,337.888,"Как результат, вы видите увеличенные воспаленные лимфоузлы."
337.868,343.856,"Также здесь хорошо видна верхняя доля легкого, которую нам предстоит удалить."
343.876,351.106,"Видна средняя доля, которую нужно будет отделить от верхней доли, чтобы удалить верхнюю долю."
351.206,355.232,"Кроме того, мы здесь видим правую легочную артерию."
355.252,359.798,"От нее к верхней доле отходила артерия, называемая передний ствол."
359.838,363.503,"Она уже пересечена, мы видим пересеченные части этой артерии."
363.523,367.048,Также мы видим пересеченную часть вены верхней доли.
367.855,375.286,И на заднем плане проглядывается правый главный бронх и отходящий от него бронх верхней доли.
375.366,380.895,"Далее нам нужно разделить верхнюю и среднюю доли, которые связаны между собой."
380.955,386.944,"Для этого мы обходим мостик, соединяющий эти доли с помощью зажима имени Федорова."
387.481,391.326,"И рассекаем ткани, соединяющие две доли."
391.386,395.753,"Отмечу, что это особый зажим Федорова для однопортовой хирургии."
409.452,412.976,"Итак, мы отделили верхнюю долю от средней и нижней долей."
413.077,416.982,"Вот видна верхняя доля, средняя доля, нижняя доля."
416.962,420.626,"культя вены верхней доли, легочная артерия."
420.706,423.609,И разберем легочную артерию по частям.
423.649,439.788,"Здесь мы видим начальную часть легочной артерии, которая разделилась на передний ствол, идущий к верхней доле, он уже пересечен, и нисходящий ствол, от которого отходят артерии к средней доле, ко второму сегменту верхней доли и к нижней доле правого легкого."
439.848,445.534,"Таким образом, у нас пересечены все сосуды верхней доли, за исключением артерии второго сегмента."
445.514,449.56,пересекаем артерию второго сегмента и все.
449.66,454.127,Верхняя доля держится только на бронхе верхней доли.
454.167,467.607,"Чтобы получше рассмотреть бронхи, мы отведем легочную артерию в сторону и снова мы видим верхнюю, среднюю и нижнюю доли правого легкого, отведенную в сторону правую легочную артерию, непарную вену в"
467.587,470.131,впадающую в верхнюю полую вену.
470.271,478.445,"Если бы мы могли видеть сквозь ткани, то мы увидели бы трахею, которая делится на левой и правой главной бронхи."
478.485,483.553,От правого главного бронха отходит бронх верхней доли и промежуточный бронх.
488.326,493.033,"Для того, чтобы работать с правым главным бронхом, мы возьмем его на держалку."
493.073,495.858,Для этого мы снова используем зажим Федорова.
495.898,497.38,Но этого недостаточно.
497.42,508.357,"Нам здесь также мешает легочная артерия, которую мы берем на держалку и будем отводить в сторону, чтобы не повредить ее и создать комфортные условия для работы."
508.397,512.764,А повредить ее в такой ситуации очень легко при любом неосторожном движении.
512.744,519.431,"Поскольку, как вы видели, здесь для пересечения бронха использовался скальпель, ножницы."
519.471,521.133,"Итак, что мы тут видим?"
521.173,529.281,"Это удаляемая нами верхняя доля правого легкого, дуга непарной вены, пересеченный передний ствол правой легочной артерии."
529.321,535.167,"И снова мы тут видим трахею, которая делится на левой главной и правой главной бронхи."
552.451,557.676,Продолжено отсечение верхнедолевого бронха от правого главного бронха.
557.736,564.383,"Мы видим, что бронхиальные артерии кровоточат из-за того, что используются ножницы, а не электроинструмент."
564.423,571.489,"Зато мы исключаем ожог от электроинструмента, который может потом помешать заживлению шва бронха."
571.55,578.256,Верхняя доля была погружена в специальный пакетик и извлечена через единственный небольшой разрез.
578.303,585.032,"Для того, чтобы укрыть шов бронха, мы здесь использовали лоскут межрёберной мышцы."
585.072,588.818,"Вы видите, что лоскут также был выделен через однопортовый доступ."
588.878,596.809,"И обратите внимание на довольно большой дефект правого главного бронха, через который хорошо видна интубационная трубка."
596.869,601.155,Сама трубка при этом находится в трахее и противоположном лёгком.
601.135,614.515,"В общем-то здесь можно было использовать и непрерывный шов на бронх, но в данном случае мы использовали классическую методику и сделали все точно так же, как если бы мы делали через большой разрез."
614.575,619.222,Для шва бронха мы использовали рассасывающуюся нить из полиглоктина.
619.262,622.367,"Кровопотеря минимальная, послеоперационный период гладкий."
624.136,632.41,"И вот единственный минимальный доступ, через который сделана данная операция, он расположен в области складки под молочной железой."
635.876,645.672,"Вот мы из трахеи заходим в правый главный бронх и видим, что на том месте, где должен быть бронх в верхней доле, располагается едва заметный рубчик."
661.257,662.499,Спасибо за внимание.
662.559,671.693,"Для записи на консультацию, а также по вопросам прохождения стажировки либо ординатуры по таракальной хирургии смотрите контакты на сайте mednod.ru"
