start,end,text
1.263,8.636,This is a case of a 41-year-old female who developed a left chylothorax following resection of a bronchogenic cyst.
10.94,14.787,The inferior pulmonary ligament is mobilized up to the inferior pulmonary vein.
18.112,23.001,Patient was positioned in a left lateral decubitus position.
38.675,43.605,The posterior pleura is mobilized up to the azagus vein.
67.109,71.815,The dissection is similar to that which would be accomplished during an esophagectomy.
77.622,79.825,Deep to the esophagus is the aorta.
87.054,93.922,Valsalva enhances visualization of the thoracic duct.
95.244,96.846,Care is taken to avoid injury.
115.895,119.54,"Using the curved bipolar dissector, the duct is encircled."
123.146,124.067,It can be ligated.
128.293,140.631,"This patient was treated conservatively with octreotide NPO status and TPN for approximately seven days, which was unsuccessful."
142.213,144.737,Chest tube output was approximately two liters per day.
176.003,181.204,"Upon ligation of the duct, test tube drainage immediately ceased."
328.672,331.716,"Again, the Valsalva maneuver facilitates visualization."
352.664,356.89,Port placement was anterior to the tip of the scapula.
358.321,380.616,"in the anterior axillary line at approximately the fifth inner space, and in the anterior axillary line at approximately the level of the diaphragm."
