start,end,text
0.722,41.211,"so hello everyone this is the part two of our video on mesometrial resection done laparoscopically and here we'll be describing the preservation of the nerves and the removal of the entire peritoneum these two are extremely important components which need to be done as a part of this entire procedure As I have always stated, this entire procedure is going to be performed simply using the laparoscopic shearer and the Bissinger bipolar. Both of them will continue to act as devices for traction and counter traction simultaneously."
41.711,71.287,"The surgeon carefully dissects around the hypogastric nerve, ensuring its preservation. The peritoneum is visibly separated from the retroperitoneum, highlighting the complete removal of the peritoneal layer."
71.787,114.665,"The surgeon performs gentle dissection in a bloodless plane, carefully removing the peritoneum along with some para rectal fat to ensure a good margin. The dissection is demonstrated as an unedited procedure, highlighting the absence of nerve supply from the para rectal fat, which does not affect bowel function."
115.165,150.936,"The surgeon performs gentle dissection, following anatomical planes to liberate tissue margins for removal as a single specimen during mesometrial resection. The laparoscopic shearer and Bissinger bipolar are used for traction and bloodless dissection."
150.996,182.448,"The surgeon applies cranial traction to open and liberate the peritoneum, revealing its thickened appearance, which is common in Indian women due to high incidences of pelvic inflammation."
182.948,237.662,"The surgeon continues the dissection on the right side, stripping off the entire peritoneum to expose the rectum. The pararectal fossa is dissected, revealing the ureter up to the ureteric tunnel. The uterine artery is visible at its origin and is prepared for coagulation."
238.162,285.73,"The hypogastric nerve plexus is visible caudal to the ureter, serving as an important anatomical landmark. The uterine artery at its origin is identified and is being coagulated using the Bissinger bipolar device, with short and gentle bursts applied to achieve coagulation."
286.23,325.521,"The surgeon performs dissection to separate the peritoneum, visible medial to the ureter, with the ureteric dissection completed up to the level of the tunnel. Traction is applied to facilitate the opening of the peritoneum."
326.021,378.258,"The surgeon achieves peritoneal separation and gently pushes the rectum away, ensuring the peritoneum is liberated and removed with the specimen. The rectum is visibly mobilized on one side, and the peritoneum is carefully lifted out to prevent damage to the rectal serosa during dissection."
378.758,406.869,"The surgeon preserves the pararectal fat while lifting the peritoneum flush to the rectum, revealing a large margin of peritoneum liberated from the pouch of Douglas. Approximately two centimeters of peritoneum is uplifted, which will be included with the specimen."
407.369,426.387,The same proceedings are going to be done on the opposite side as well. We will not demonstrate the entire proceedings for saving the time. The part three of the video is going to be uploaded very soon and hopefully it should be exceedingly interesting for people who wish to perform and learn these type of surgeries. Thank you so much and please stay tuned.
