start,end,text
23.279,83.685,"The surgeon uses a monopolar hook to mobilize the colon from the splenic flexure, starting the incision at the white line. The colon is gradually separated from the mesentery and perinephric fat, with careful attention to the color of the fat, until reaching the level of the iliac vessels."
84.185,100.512,"The surgeon continues to mobilize the colon at the level of the kidney's upper pole, reflecting the colonic mesentery away from the surgical field."
101.012,149.231,"The surgeon uses traction and electrocautery to dissect at the level of the pedicle, separating the colonic mesentery from the perinephric fat. The colon is mobilized downward, allowing access to the upper pole of the kidney."
149.731,166.518,"The surgeon has completely reflected the colon, revealing the renal vein. Dissection proceeds to identify the ureter and gonadal complex, with the opened Gerota's fascia visible."
167.018,212.196,"The surgeon observes visible peristalsis in the ureter, lifting the ureter and gonadal complex to create a window anterior to the psoas sheath. The lower pole of the kidney is elevated, revealing the renal vein and a small pulsating artery, likely the lower pole renal artery, which is clipped, ligated, and divided."
212.696,245.955,"The surgeon uses suction to assist in further dissection towards the pedicle, focusing on the area over the renal vein. The gonadal vein is visibly draining into the renal vein. Posterior to the renal vein, the renal artery is identified, and sharp dissection is performed around the artery."
246.455,274.68,The surgeon clears the lymphatic tissue and sheath surrounding the renal artery. The renal artery is clipped with at least two clips on the patient's side and one on the specimen side. The dissection of the renal vein is also visible.
275.18,330.952,"The surgeon achieves a good length of the renal vein and performs clip ligation, leaving a satisfactory stump. The renal artery is divided, and the renal vein is also divided. Further dissection reveals the lumbar vein, which is clipped, ligated, and divided. The dissection continues posterior to the upper pole of the kidney."
331.452,368.235,"The surgeon identifies the area of the tumor, with visible tumor vessels being ligated and divided. The tumor is cleared from the source sheath, and dissection begins at the upper pole of the kidney. The Lenorenal ligament is separated from the kidney and divided using electrocautery, revealing the surface of the tumor."
368.735,392.9,"The surgeon ligates and divides the ureter, then clears the remaining attachments of the kidney specimen from the swash sheath and lateral abdominal wall."
393.4,411.148,"The surgeon removes the kidney specimen from its remaining attachments, revealing a clear renal fossa. The specimen is retrieved through a small incision in the lower abdomen."
