start,end,text
4.7,19.143,of the spleen for non-parasitic splenic cyst by Dr. Parnasa from Rome.
19.643,32.068,"Good afternoon. I would like to thank SAGES for the opportunity to present this video, which is about robot-assisted minimally invasive partial resection of the spleen."
32.568,45.293,The CT scan is useful to assess the dimension of the cysts and to know the relationship between the vessels and the organ.
45.793,59.283,The surgeon identifies two small arterial branches that need to be preserved to maintain vascularization of the lower pole of the spleen during the transection.
59.783,66.467,"The surgeon begins the splenectomy by dividing the gastrocolic ligament, separating it from the surrounding structures to access the spleen."
66.967,74.371,"The surgeon uses a harmonic scalpel to control and transect the small gastric vessels, ensuring precise hemostasis during the procedure."
74.871,89.918,"The surgeon begins the dissection of the main trunk of the splenic artery, utilizing robotic assistance to enhance precision and control during the maneuver."
90.418,108.904,"The surgeon clamps the main trunk of the splenic artery during the laparoscopic splenectomy, aiming to reduce the spleen's volume and facilitate safer dissection of the artery."
109.404,117.627,"The surgeon reconnects the first and then the second small arterial branch, ensuring preservation of the vascularization to the lower pole of the spleen."
118.127,128.371,"The surgeon carefully maintains the vascularization of the lower part of the spleen, which is intended to remain intact during the procedure."
128.871,133.612,"The main trunk of the splenic artery is visible, likely being prepared for further dissection or clamping as part of the laparoscopic splenectomy procedure."
134.112,136.753,"The surgeon applies a clip to control the main trunk of the splenic artery, ensuring hemostasis during the laparoscopic splenectomy procedure."
137.253,147.576,"The surgeon removes the clamp from the main trunk of the artery to verify the correct dissection of the arterial branches, ensuring the preserved branches are intact."
148.076,163.94,"The main trunk of the splenic vein is visually identified and detached from the tail of the pancreas, encircled by a vessel loop for isolation."
164.44,172.385,The surgeon applies traction to the vessel using a maneuver designed to reduce the risk of injury during the procedure.
172.885,186.713,"The surgeon gently detaches the tail of the pancreas from the surrounding vessels, using graspers to hold the main trunk of the splenic artery and vein."
187.213,196.07,"The surgeon divides the main trunk of the ascending artery, completing the separation of this vessel from surrounding structures."
196.57,199.593,"The surgeon detaches the ascending part of the splenic vein, ensuring it is separated from surrounding structures."
200.093,209.6,"The lower pole of the spleen is visible, showing signs of recovering vascularization."
210.1,222.574,"The surgeon detaches the vascular hilum of the upper pole of the spleen from the tail of the pancreas, carefully separating these structures."
223.074,241.115,"The surgeon identifies the demarcation line on the spleen and uses a harmonic scalpel to perform parenchymal transection, minimizing bleeding along the line."
241.615,254.085,"The surgeon separates the lower pole of the spleen from the upper pole, revealing a large cystic lesion located at the upper pole."
254.105,263.378,"The surgeon completes the final separation of the spleen, ensuring the lower pole is fully detached from surrounding structures."
263.878,286.035,"The surgeon uses bipolar coagulation to control small bleeding from the stump. The inferior and superior ligaments of the spleen are divided, completing the separation of the spleen from surrounding structures."
286.535,301.943,"The surgeon completes the separation of the upper part of the spleen, removes the vessel loops, and extracts the spleen specimen using an endobag through a small incision."
302.443,319.115,"The surgeon reconstructs the splenophenic ligament to prevent torsion of the remnant spleen on its vascular pole, ensuring stability and proper orientation."
319.615,346.15,"The surgeon reconstructs the ligament and applies a pneumostatic matrix to control small bleeding in the remnant part of the spleen, marking the completion of the procedure."
346.65,356.781,Are you vaccinating the patients even though your intent is to leave splenic tissue behind? No.
357.281,369.538,But are you providing vaccination to the patient even though you're intending to leave immune function? No.
370.038,385.803,"because I'm confident on the remnant spleen to keep the immunological protection. And what percentage of spleen do you think that you have to leave behind, or what weight of remnant do you think you have to have to preserve adequate immune function?"
385.983,410.632,"In literature, I found that about twenty percent of the parenchymal spleen is enough. we have to consider that the cystic lesion is very huge and occupy the entire upper pole of the spleen. So it's about fifty percent, I think, the parenchymal residual."
411.132,448.215,"Do you observe growth of the spleen after this? You said you follow the map six months later with ultrasound. Does the spleen volume increases with time? This operation was performed about eight months ago. So we performed the first control of the remnant spleen after six months. So the spleen was constant, was about the same size I left after the operation. I plan other controls in the future to verify the growth of the spleen."
448.715,474.844,"Very nice video. Congratulations. Thank you very much. I want to thank our audience but also our speakers for excellent presentations. I appreciate you remaining timely with your presentations. I've been asked to instruct you that following this session there is a happy half hour in the exhibit hall. I don't know how happy it will be, but you're welcome to go and find out. So please visit the exhibit hall following the session. Thank you again for your attention."
