start,end,text
65.316,71.564,We do not use a system port routinely and we benefit from CO2 insufflation.
73.006,77.271,We have started by dividing the inferior pulmonary ligament
77.572,83.459,and dissecting out the station 8 and 9 lymph node.
83.479,91.308,Now dissecting the inferior pulmonary vein towards the lung to identify the segmental branches.
92.55,98.137,"By removing this lymph node between the superior and basal segments, the anatomy is more clear."
98.157,100.98,V6 and basal veins.
101.467,112.666,"Now I'm going around the vein to S10 and then looking at the full anatomy of the inferior pulmonary vein to V6, V8, V9 and V10."
114.749,122.783,Going to the fissure now and exposing the interlobal pulmonary artery and the branches to the lower lobe.
125.581,133.474,"By removing the lymph node, the anatomy is more clear, A6 at the top and basal branches on the left hand side."
135.938,138.642,Removing more lymph node in between the vessels.
143.249,151.943,"Based on a CT scan, I know that there is a single trunk of the pulmonary artery to both S9 and S10."
152.851,155.875,"which I can see here now, A9 and A10 artery."
159.279,170.372,"I'm now picking on a fascia of the bronchus at the back, getting the lymph node between B6 and basal bronchi."
170.873,172.234,The anatomy is now more clear.
175.639,180.124,"Going around the A9, A10 artery,"
182.737,212.288,is pretty much ready to go however there's not much space at the moment for stapling so i only put a vessel loop around it for the time being going to the posterior hilum again looking at the bronchus at the back trying to tunnel through and the hilum
213.331,218.48,And separating the hyaluronate structures to the superior segment from basal segments.
218.621,219.963,Starting with the bronchus only.
220.023,222.988,Obviously at the moment it's on the wrong side of the vein.
223.048,228.498,And I'm just hoping to find the vessel loop on the other side.
228.839,229.941,Going back to the fissure.
230.903,236.132,And luckily because of the dissection that was already performed it just turned up.
236.872,243.179,"So all the S6 harder structures are now on the right hand side, except for the veins."
243.259,245.822,I'm going to the correct side of the vein.
251.168,255.313,And now I can start dividing the parenchyma.
259.818,264.263,Stapling the parenchyma from different angles.
266.352,290.638,I haven't quite completed this task because the parenchyma which was next to the hilum appeared to be quite tight with the artery and vein still not divided so you can see it's almost done but just a small portion of the
292.272,293.133,parenchyma is left.
293.333,298.22,Now I'm going back to the vascular structures that I have to divide.
298.32,305.91,"This is the vein to the S9 and S10, putting a vesicle around both."
309.575,318.347,"And then it's already dissected out, engaging vascular white reload stapler of the da Vinci."
321.297,322.538,and then dividing it.
327.544,330.848,"With the vein gone, I have good access to the bronchus now."
331.969,346.326,"I'm dissecting out the bronchus, identifying the branches to segments 9 and 10, which is a common truncus it starts with, and then subdivides."
347.048,358.686,"With the excellent visualization that the 3D endoscope of the da Vinci gives you and as well as the excellent articulation, this task has been quite easy."
358.726,362.271,It could become a difficult one with vats.
366.578,371.706,Now I'm putting a vessel loop around this bronchus.
373.812,386.328,"And next thing I'm examining the anatomy to make sure there is a bronchus indeed to the remaining segment B8 at the back and the B6 bronchus is miles away, higher up."
391.856,397.663,Now make sure there's a good tunnel underneath the bronchus for the stapler to get engaged.
399.345,400.647,Practicing the angle.
411.258,418.908,Practicing the angle is quite important in robotic thoracic surgery with smaller instruments.
418.928,422.093,This is what I learned from Sasha Stamenkovich.
423.595,428.762,Make it quite safe before engaging a large stapler.
430.124,436.653,Now it's time to go back to the fissure and divide the artery which is already encircled.
437.033,439.797,This is the trunk to
440.907,441.828,S9 and S10.
444.271,457.085,"Now that the arterial supply is gone, we're switching to the Firefly mode, which is the intuitive integrated fluorescent capability of the DaVinci Endoscope."
458.887,464.653,"And as you can see, the Indus Yenin Green is being given intravenously."
465.68,477.34,"The area which has still got blood supply, obviously the segment 8 which is staying is on the left and segment 9 and 10 which is devascularised and will be removed is on the right."
478.522,490.303,"Using the bipolar diatomy to mark this demarcation line all around the lobe, dot by dot and this is the most precise parenchymal division that can be done."
493.726,521.033,and we basically follow the exact line to divide the parenchyma when stapling this border is marked making sure that the stapler will go exactly on this line so that no ischemic
521.637,550.851,lung parenchyma is left in the patient and also for cancer surgery is very important that the exact segment is removed within its boundaries now we're switching to normal mode and going with the greener stapler to divide the parenchyma as is marked so basically this operation is removing the middle part of the lower lobe
551.033,558.482,"And we end up with a split lobe, S6 on one side and S8 on the opposite side."
559.983,561.065,And it can be tricky.
565.75,577.564,Definitely the robotic platform gives the versatility and all the added precision to perform this task.
581.965,583.548,So there's only one stump left.
584.129,602.32,"Now to help myself identify the intersegmental plane at the deeper level, I put another VESI loop, this time to show myself the plane between S8 and S9 and S10."
604.915,631.918,there was only a bit of a parenchyma left between a 6 and the basal segments so this is now become easy to divide since I have now more room this completely separates a 6 from the rest of the lower lobe and now dividing whatever is left of the parenchyma
633.957,662.395,between S9 and S10 and S8 now by dissecting off all the stumps I give myself a bit more room make sure stumps are included in the staple line and making sure by stapling this area I'm not narrowing down the harder structures to the remaining segment this is a very important
663.1,669.71,"part of the stapling, which has to be done quite carefully."
669.73,674.578,And this would be the last stapling.
676.721,678.744,The bissegmentectomy is now complete.
680.607,690.643,"We'll be putting some air in the lung, and we see S6 nicely inflating on the right side, and S8 on the left-hand side, as well as the left upper lobe."
691.484,694.789,"We've also done a full lymph node dissection, not shown in this video."
