start,end,text
0.723,5.834,"Hello friends, this is a case of sacro-colpo-pexie for wall prolapse."
7.077,18.0,This patient has previous midline laparotomy for the abdominal hysterectomy and after that she has developed the prolapse.
18.02,20.706,So we are performing the sacro-colpo-pexie.
21.26,49.68,and as we can see here there is severe abdomen adhesion but these abdominal adhesions are mostly omentum so we are using harmonic scalpel to perform adhesiolysis and due to that severe adhesion right now uterus bladder these things are not visible so our first effort should be just to do the adhesiolysis
49.795,74.605,right now there is only one port because we don't have a space to put the second port so we are just making some space so that at least something will be visible and we can put the second or third port so right now only one telescope and one working port is there for harmonic scalpel and we are performing adhesiolysis
75.732,87.805,You should be very careful because in these jungle of the omentum there may be the small bubble hidden somewhere and the tip of harmonic scalpel will touch those small bubble.
88.826,95.893,"It may due to knocking effect of harmonic it can create easily adhesion, it can create perforation."
97.575,99.597,So these adhesiolysis is going on.
116.384,125.099,So always the teflon jaw of the harmonic should be where you cannot see and vibrating jaw should must be under vision.
129.327,130.509,These are also a region.
130.549,136.84,Now we have one more port which is just holding it down and adhesolysis is being performed.
173.877,178.806,As we know that 80% of the cases of the laparotomy results into adhesion.
179.768,183.355,"However, 90% of those adhesions are asymptomatic."
184.838,191.11,And this is one of the big advantages of laparoscopy that after laparoscopy chances of adhesion is less.
206.817,210.491,If you have fenestral incision then chances of adhesion is less.
211.736,217.418,"In midline hysterectomy, laparotomy chances of adhesions are quite high."
226.038,237.853,"Adhesiolysis is important to learn because even if you are surgeon or gynecologist or urologist, you never know in which case you will get severe adhesion."
275.195,289.508,so this will take a lot of time so we are doing some editing and we will cut the major part of the adhesiolysis because it will continue another half an hour
336.94,340.305,So all the quadrant of the abdomen has adhesion.
341.586,352.722,But our main purpose is to free the pelvis because other quadrants like right and left hypochondrium also has severe adhesion.
353.843,356.267,But we will not do aditiolysis on those area.
358.49,364.618,And interestingly patient was not having any symptom due to those adhesions.
366.927,371.2,probably because most of these additions as you can see is momentum
390.67,398.72,"Sometimes if adhesions are very near to your telescope, there will be immediate fogging and smoking of the tip of the telescope."
401.423,409.714,"And problem is if you will try to withdraw your telescope, it will come into the cannula and the vision will be compromised."
409.754,412.257,So you have to be more careful in those situations.
446.375,465.48,so if you are bored seeing those adhesion then you can little bit fast forward the video and you can escape those adhesion part and you can continue later but i think now another five minutes those adhesion will be over
539.103,541.208,So now the pelvis is visible.
