start,end,text
0.524,36.952,Bye.
0.56,44.359,Bye.
37.452,88.62,Thank you.
44.859,88.214,do do
88.714,177.33,do
89.12,176.988,do do
177.488,207.582,do
177.83,206.976,do do
207.476,248.598,you
208.082,248.73,you
249.098,354.108,so
249.23,332.514,so so
333.014,369.048,so so
354.608,406.977,do do
369.548,411.583,you
407.477,493.1,Thank you.
412.083,493.208,do do
493.6,531.499,so so
493.708,531.492,do do
531.992,567.655,you
531.999,573.576,you
568.155,673.157,Thank you for watching.
574.076,680.333,"So,"
673.657,737.075,Thank you.
680.833,736.599,do do
737.099,819.878,do do
737.575,818.196,Thank you.
818.696,845.343,do do
820.378,856.562,so so
845.843,899.408,do
857.062,899.434,you
899.908,900.209,you
899.934,900.215,"So,"
