start,end,text
1809.321,1810.804,Или вот бронхоскопическая картина.
1810.824,1812.747,Мы видим опухоль в трахеи.
1813.165,1821.367,"Это опухоль эндоскопически так и выглядит в трахеи, аденокистозный рак в трахеи с небольшим воздушным просветом, еще дыхание сохраняется."
1821.407,1828.947,"Должен сказать, что часто таких пациентов лечат по поводу бронхиальной астмы, у них периодически приступы удушья из-за узкого просвета для дыхания."
1829.348,1846.564,"И на местах, не обследуя больных, не делая компьютерной томограммы, не делая эндоскопического исследования, я видел таких больных не раз, довольно много лет, принимают они гормональные препараты, бронходилататоры с определенным клиническим успехом, пока уже не возникает угроза асфиксии."
2881.481,2886.132,"Главное, чтобы пациент был физически достаточно сохранный, чтобы выполнить такую операцию."
2886.152,2889.981,Вот здесь вы на схеме видите момент выполнения нами такой операции.
2890.001,2892.125,Вот здесь под тупфером сама опухоль.
2892.186,2894.13,Это зона бифуркации трахеи.
2894.11,2916.456,"трахея взята на турникет, левый главный бронх взят на турникет, вот я вам показываю стрелочкой, это пищевод, мы от него отошли, мышечный слой был немножко увлечен, мы уже отделили опухоль от пищевода, сместили ее сюда, в пищеводе зон толстый, и вот мы подготавливаем к такой операции, к резекции на уровне левого главного бронха, на уровне трахеи,"
2917.094,2943.287,на следующем слайде я вам покажу вот здесь мы уже сейчас курсор вот пересеченные трахеи тут видно интубационная трубка уротрохиальная пересеченный левый головный бронх вот тот пищевод который я вам показывал и этот левый головный бронх это наша зона куда мы должны ставить интубационную трубку для того чтобы больной дышал тут же операция вот легкая уже удалена вот это мы видим перикард
2943.807,2947.433,"диафрагмальный нерв, половая вена."
2947.473,2948.915,"И надо, чтобы легкое дышало."
2948.935,2955.806,"Уже через атрохиальную трубку нельзя дышать, поэтому мы вставляем через рану интубационную трубку в левый главный брон."
2955.826,2963.858,И таким образом мы осуществляем вентиляцию на моментах внутри грудного вот этого этапа операции.
2965.61,2969.6,И уже завершенная операция анастомоз.
2969.64,2972.949,Анастомоз между левым главным бронхом и трахеей.
2972.969,2975.595,Вот шовчики вы видите.
2975.635,2977.881,"Это слизистые пищеводы, которые..."
2978.283,2982.568,пролоббирует после резекции мышечного слоя пищи.
2982.588,2987.294,Мы потом сопоставляем мышцы и прикрываем это слизистым.
2987.334,2992.781,"И сам препарат удаленный, вот расхищенный главный бронх с опухолью."
2992.841,2995.424,Это уже участок бифуркации трахеи.
2995.444,2999.329,"Вы видите, вот это белая масса, это все рак легкого."
3030.876,3033.581,Тут можно сделать другой вариант операции.
3033.741,3036.947,"Уже не циркулярную резекцию бифуркации трахеи, а клиновидную."
3036.967,3039.391,"Вот мы видим, вот это трахея."
3039.411,3043.778,Вот перемычка сохранена между левым главным бронхом и трахеей.
3043.758,3046.201,Интубация через левый главный бронх.
3046.221,3047.523,Это верхняя полая вена.
3047.543,3049.165,Легкая уже удалена.
3049.185,3052.37,И интубация через левый главный бронх для вентиляции.
3052.41,3057.096,Дальше мы должны наложить анастомоз между трахеей и левым главным бронхом.
3057.116,3058.478,Мы анастомоз наложили.
3058.498,3060.42,Вентиляция осуществляется хорошо.
3060.441,3063.925,Лимфодисекцию выполнили вдоль полой вены и трахеи.
3063.965,3065.047,Лимфатических узлов нет.
3065.067,3067.089,Бифракционных лимфоузлов нет.
3067.15,3068.231,Это сердце.
3068.251,3068.972,Тут вот эта зона.
3070.184,3073.047,Такие и препараты этого пациента.
3073.087,3081.997,"Удаленная легкая, рассеченная правая головная бронха с участком бифуркации трахеи, а вот это уже опухолевое поражение."
3082.017,3084.059,То есть достаточно радикально.
3084.079,3088.143,Гистологи это обычно исследуют срез бронхи на радикальности.
3088.163,3089.805,Радикальность сохранена.
3089.825,3094.69,"Видите какая достаточно большая опухоль, достаточно долго протекавшая."
3094.67,3104.461,"Это к тому, если бы это было Т1, то можно было бы обойтись верхней лобоктомией, а так пришлось сделать пневмоноктомию с резекцией бифуркации трахеи."
3159.768,3162.973,Это позволило сохранить легкое.
3162.993,3164.656,Вот вы видите момент резекции.
3164.776,3168.602,Это пересеченный правый главный бронх возле корины.
3168.835,3170.618,Дефоркация трахеи.
3170.638,3173.161,Интубационная трубка в левом главном бронхе.
3173.181,3176.366,"Вот она видна, чтобы вентилировать легкое."
3176.386,3182.896,Иссекается опухоль по здоровой бронхиальной стенке в зоне развилки правого главного бронха.
3182.916,3186.441,Вот видны просветы промежуточного верхнего долевого бронха.
3186.461,3193.712,Дальше накладывается анастомоз между развилкой правого главного бронха и промежуточным бронхом верхнего долевого бронха.
3193.692,3199.879,И вот эта зона вшивается в бифуркацию трахеи.
3200.039,3203.443,Правый главный бронх фактически отсутствует.
3203.563,3209.93,"После операционной эндофлоты на операционном столе левый главный бронх, правого главного бронха нет."
3209.97,3212.873,"Вы видите зону стомоза, вот швы."
3212.893,3219.48,"Сюда вшита развилка правого главного бронха с делением на левые бронхи, сама опухоль."
3226.977,3227.979,Пациентке все хорошо.
3228.019,3231.143,"Она регулярно, ежегодно обследуется."
3231.163,3232.144,Аналогичная операция.
3232.184,3234.327,Пациент 40 с небольшим лет.
3234.347,3237.892,Карциноид на широкой ножке.
3238.052,3241.617,Устье левого головного бронха.
3241.637,3244.4,Вот схематически он так располагался.
3244.54,3246.463,Очень сложные зоны под карциноидом.
3247.034,3252.548,"аорты и удаляет легкое ради этого, но рука не поворачивается."
3252.568,3256.218,Карциноид подтвержден гистологически во время бронхоскопии.
3256.258,3259.727,Мы выполнили вот такую операцию с резекцией.
3260.163,3264.891,левого головного бронха и анастомоза и сохранение левого легкого.
3264.911,3269.159,"Вот это уже после операции эндоскопическая картина, когда уже зажил анастомоз."
3269.179,3276.372,"Мы видим белую рубцовую линию по линии анастомоза, левый головный бронх, оставшаяся часть сохраненная, вентилируем легкую."
3384.964,3392.112,Мы выполнили циркулярную резекцию левого главного бронховидителя.
3392.615,3399.865,"нижнедалевого бронха, это уже деление нижнедалевого бронха на сегментарные, это дуга аорты."
3399.885,3408.438,"Выполнили резекцию легочной артерии продольной в зоне инвазии, там где я показывал, сейчас я вам вернусь, покажу."
3419.32,3431.127,"И это позволило нам выполнить радикальную операцию, завершенный анастомоз между левым главным бронхом и зоной резекции легочной артерии."
3431.393,3444.091,"Скажу, что поддерживая связь и обследуя таких больных, пациент из Николаева, он до сих пор жив, а это было в 2016 году, ему было 75 лет."
3444.171,3449.478,"Если бы эту операцию мы не выполнили, то, конечно, никакие другие варианты лечения его бы не спасли."
3449.499,3454.405,"Это его, на конец операции, его нижняя доля слева хорошо вентилирующаяся."
3454.445,3461.215,"А это препарат, где мы видим в просвете верхнедалевого бронхоопуха и в просвете реазицирования легочной артерии мы тоже видим опухоль."
3462.258,3467.112,И его эндоскопическое фото после операции зоны анастомоза.
3467.132,3473.331,И его хорошо выглядящие эндограммы грудной клетки после операции.
