start,end,text
28.21,34.096,The surgeon mobilizes the sigmoid colon to facilitate lifting the inferior mesenteric artery (IMA) pedicle.
34.156,47.15,The surgeon identifies a wad of epiploic fat protruding through a peritoneal hernia defect and works to reduce it back into the abdominal cavity.
68.47,72.443,"The surgeon carefully works underneath the inferior mesenteric artery (IMA) pedicle, maneuvering to separate it from surrounding tissues."
72.943,79.625,"The surgeon sweeps the nerves posteriorly, then traces the path along the inferior mesenteric artery (IMA) pedicle back towards the aorta, revealing the anatomical structures and spatial orientation."
88.607,91.868,"The surgeon isolates the IMA pedicle, preparing for further dissection or ligation."
92.368,105.335,"The surgeon creates a clear window around the IMA pedicle, meticulously cleaning the surrounding fat from the vessel to ensure a secure seal before using the vessel sealer."
105.375,126.089,"The surgeon divides the inferior mesenteric artery (IMA) while taking tension off the vessel. The ureter is visible posteriorly as the surgeon continues the medial dissection, sweeping downwards."
126.589,141.222,"The surgeon performs a total mesorectal excision (TME) dissection in the upper rectum, preparing to achieve the necessary distal margin."
141.722,153.66,"After completing the medial dissection, the surgeon places a sponge to protect the ureter and begins the lateral dissection."
160.563,169.608,"The surgeon navigates around the patient's adherence from a previous hernia mesh, working further down to connect with the medially dissected plane."
175.844,180.166,"The surgeon places a sponge over the ureter, using it as a visual marker to protect the ureter during the dissection."
201.574,205.145,"The surgeon performs lateral mobilization of the colon, gently separating it from the lateral abdominal wall."
210.911,214.375,"The surgeon carefully dissects along Tolt's fascia, maintaining the correct anatomical plane during the procedure."
214.395,217.773,"The surgeon performs a couple of spreads with the instrument followed by cauterization, likely using a vessel sealer, to further mobilize the tissue."
247.745,248.826,"The surgeon continues to work their way up along Tolt's fascia, advancing the dissection plane."
248.926,250.767,"The surgeon approaches the splenic flexure, preparing to mobilize this section of the colon."
250.787,262.706,The spleen is visible in the surgical field during the colectomy procedure.
263.206,264.107,The spleen is visible in the surgical field.
266.429,272.355,"The surgeon assesses the tension on the colon, noting that despite not completing full mobilization, there is sufficient length for the procedure."
272.855,278.955,"The surgeon proceeds to dissect the mesentery up to the proximal margin, preparing for further mobilization in the colectomy procedure."
279.455,285.176,"The surgeon decides not to take the inferior mesenteric vein (IMV) in this case, prioritizing the length of the mesentery."
302.652,306.597,The surgeon completes the resection of the proximal margin of the mesentery and proceeds to resect the distal margin.
306.637,312.384,"The surgeon identifies a tattoo marking located approximately six centimeters distal to the tumor site, indicating the planned distal margin for resection."
321.759,344.32,"The surgeon clears the distal margin to remove a polyp located distal to the cancer, near the tattoo marking, ensuring complete excision of the polyp."
363.478,367.981,The surgeon carefully manipulates the bowel to avoid opening the segment containing the tumor.
402.122,406.829,The surgeon applies staples to both the proximal and distal ends of the colon segment containing the tumor.
457.45,463.064,The surgeon uses a 3-0 nine-inch relock suture to create a proctotomy and enterotomy.
463.564,474.006,"The surgeon carefully leaves at least five millimeters of tissue between the otomy and the staple line, avoiding excessive lateral movement to maintain adequate blood supply to the tissue."
474.506,504.525,"The surgeon enlarges the colotomy while ensuring adequate perfusion of the mucosal lip, using ICG to confirm vascular enhancement and prevent ischemia."
523.373,533.347,"The surgeon observes the rectal side where the lip of mucosa is brightly illuminated, while the colon side shows no illumination, indicating a lack of perfusion."
538.721,541.902,"The surgeon uses indocyanine green (ICG) fluorescence imaging to assess perfusion, revealing inadequate blood flow in the observed area."
541.942,547.224,"The surgeon uses a needle to poke a blood vessel, observing no bleeding from the vessel."
553.067,563.651,"The surgeon prepares to convert the surgical approach to an end-to-end anastomosis, addressing the issue observed with the colon side not lighting up under ICG imaging."
564.151,567.232,"The surgeon performs an end-to-end anastomosis, sewing the two ends of the bowel together."
601.558,626.399,"The surgeon uses a vessel sealer to take the mesentery and scissors to divide the bowel wall, having already divided the proximal side and preparing to divide the distal side with scissors."
626.899,633.964,"The surgeon extracts a small piece of tissue through the rectum, labeling it as part of the anastomosis."
638.754,640.435,"The surgeon presents the excised specimen, which includes the section of bowel removed during the colectomy procedure."
