start,end,text
427.458,445.753,"To show you a little bit about the pleurectomy decortication procedure, we have now here several videos showing how the procedure works, because extrapleural pneumonectomy has already been presented several times."
446.105,459.807,We have a lateral thoracotomy approach where we even cut the rib arch to have a better exposure and you can see here from the beginning the dissection is performed extrapleurally.
460.287,467.919,You might appreciate that this can be quite difficult and painful because the whole chest cavity is retracted.
468.2,473.428,Here you can see that the pleural sac with the parietal pleura is already
473.408,488.063,"dissected from the chest wall, which looks at the end like this, where you have here the apex of the chest cavity that has been already dissected from the parietal pleura."
488.083,499.635,"The mediastinal pleura has been dissected as well, where you can see here the SVC, the mammary vessels coming into the SVC, the phrenic nerve,"
499.615,511.995,and coming in the next step to the decortication part where you actually peel off the visceral pleura from the lung parenchyma.
512.395,514.519,This is a very time-consuming process.
514.539,526.618,You can see you can proceed only little by little and you have to work together with your anesthesiologist who is ventilating the lungs in the meantime to have a better dissection plane
527.071,536.932,And you can appreciate as well in this video that because of this ventilation you can already see the air leaks you're producing with this procedure.
537.473,544.388,And this is an important point I want to come back to in particular on the next case presentation.
545.144,548.93,So this is just to finalize the pericardial resection.
549.37,557.343,You can here see the pericardium that is dissected and later on reconstructed.
558.364,562.731,As you can see in this little video where we do the reconstruction of the
562.711,577.666,of the diaphragm with this cortex patch which has to be fixed around the ribs to have a solid fixation and also the reconstruction of the pericardium.
950.06,965.267,"And after very promising preclinical studies, that I will skip now, we performed a phase one clinical trial, applying the cisplatin fibrin after the operation to the surface of"
965.247,973.356,"the lungs, the decorticated lungs, and also to the surface of the former parietal pleura after the operation."
974.217,976.56,So we had no dose-limiting toxicities.
1180.498,1188.169,And when we were performing the operation and opening up the abdominal cavity while resecting
1188.453,1212.621,"the diaphragm, we observed nodules on the peritoneum which becomes visible underneath the diaphragm and then we took the camera and had a look into his abdominal cavity and now you can see here that he had a peritoneal mesothelioma as well on the same time."
