start,end,text
266.162,289.496,"The surgeon identifies the duodenum and notes the presence of a tumor nearby, avoiding interference from a cable to ensure precise hand movements."
289.996,300.391,"The video shows adhesions from a previous surgery, visible on the side where a general surgeon attempted a cholecystectomy."
300.891,324.234,"The surgeon identifies the gallbladder, which appears to be adherent at the current level of dissection. Coagulation is attempted but appears ineffective."
324.734,355.873,The lower part of the kidney is visible in the surgical field.
429.766,445.812,"The surgeon positions an instrument near the lower pole of the kidney, indicating a special consideration for the surrounding vessels."
446.312,489.23,"The surgeon lifts the kidney, revealing the underlying anatomical structures. The psoas muscle is identified, and the vena cava is visible in the surgical field."
489.73,521.025,"The surgeon identifies one of the two veins near the kidney, which was previously searched for during the procedure."
638.228,681.128,"The surgeon uses a grasping instrument to dissect around a small bridge of tissue, searching for the artery. Once the area is confirmed to be free of important structures, the surgeon coagulates the tissue twice before cutting."
681.628,714.832,The surgeon identifies two veins and locates the artery in the surgical field.
715.332,739.337,"The surgeon manipulates the tissue by pushing, opening, and partially closing the graspers, then moving back to create enough space to place a clip, aiming to stop the input flow."
743.092,762.325,"The surgeon attempts to place a clip on the artery. If unsuccessful, the plan is to sacrifice the small vein on the left. The clip is successfully applied with an audible click."
762.825,772.213,"The surgeon clips and controls the identified vessel, ensuring it is securely occluded after dissecting and coagulating surrounding tissue."
772.713,788.479,"The surgeon uses a large clip to secure a small vein, pre-closing the clip to form a loop around the vein. The hook of the clip is visible as it slides down and locks into place."
788.979,799.263,"The surgeon positions the hook on the opposite side of the patient, maintaining focus on the patient side first."
799.403,811.824,"The surgeon pre-closes the clip to ensure contact with the vessel, slides it up, and securely closes it to prevent the branch from escaping."
826.975,858.768,The surgeon cuts the small vein after securing it with a clip.
859.268,880.778,"The surgeon positions the hook behind the vein, ensuring contact before sliding down and closing the clip around the vein."
934.088,958.504,"The surgeon uses a bipolar coagulation device to address a problem area, applying energy to control bleeding or seal tissue."
999.097,1041.157,The surgeon dissects a small piece of tissue and performs coagulation twice to manage bleeding. The uterine structure is positioned higher than the surgical instruments.
1260.808,1290.357,"The surgeon applies a clip to the vessels instead of coagulating them, ensuring not to detach the kidney from the lateral wall to prevent rotation. The upper pole of the kidney is approached, with care taken to preserve the adrenal glands, which are not indicated for removal in this case."
1472.777,1511.08,"The surgeon places clips on the vessels during the section due to the patient's coagulopathy, ensuring careful management of potential bleeding."
1580.772,1677.495,"The surgeon releases the kidney from the lateral wall by incising the lateral attachment, carefully staying in the correct plane to avoid the fat from Gerota's fascia. Tension is applied to the attachment, and a monopolar device is used to coagulate and minimize bleeding."
1677.995,1710.037,"The surgeon applies bipolar coagulation to a small area before repositioning the kidney, ensuring hemostasis in the surgical field."
1710.537,1795.212,"The surgeon repositions the kidney for removal and makes an inguinal incision, extending it to the anterior iliac crest. The incision is sized appropriately for the small kidney, taking care to manage potential bleeding from the veins on the abdominal wall."
1850.61,1869.944,"The surgeon uses scissors to perform a precise incision, likely on the kidney or surrounding tissue, as part of the nephrectomy procedure."
1870.444,1908.626,"The surgeon uses a shaking technique to position a drain in the surgical field. A bag is placed in position, but the kidney is not removed yet to maintain the insufflation gas within the cavity."
