start,end,text
32.465,36.751,Chest exploration revealed significant web-like vascular adhesions.
38.913,42.898,"They did not, however, preclude placement of each of the robotic ports."
52.971,58.118,The synchrocele device was used to take down the adhesions that involved only the left lower lobe.
59.701,68.766,This was performed strategically to allow access to the fissure and the adhesions to serve as a retractor for the left upper lobe.
93.417,97.166,Adhesions of the left lower lobe to the diaphragm are treated in a similar way.
101.316,109.215,The inferior pulmonary ligament was divided with the curved bipolar dissector and several station 9 lymph nodes were sent for permanent sectioning.
123.623,138.392,"The left lower lobe and left upper lobe were retracted anteriorly, and posterior mediastinal dissection was begun, first along the inferior pulmonary vein, then the bronchus, and then the pulmonary artery, chasing the pulmonary artery into the fissure posteriorly."
147.89,154.578,Dissection on the pulmonary artery was carried further along into the fissure with the left upper lobe being suspended by the adhesive disease.
166.511,171.417,Dissection on the pulmonary artery continues with an objective of completing the anterior fissure.
179.564,188.68,A tunnel into the anterior hilum was created through which a vessel loop was placed and then a green load da Vinci stapler was used to complete the anterior fissure.
206.243,212.355,Dissection of branches of the pulmonary artery to the left upper lobe are carried into the parenchyma of the left upper lobe.
234.391,238.885,A lingular and posterior segmental branch of the pulmonary artery are circumferentially dissected.
239.547,246.088,A vessel loop is placed around them to facilitate placement of the vascular cartridge of the da Vinci stapler.
288.661,293.457,The adhesions of the left upper lobe to the chest wall are then divided with the synchrocele device.
331.253,333.906,The posterior branch of the pulmonary artery is then prepared.
363.063,369.134,This one is not quite ready and is going to require a little bit more dissection on the apical side of this artery.
373.702,377.95,Several station 5 and later station 6 lymph nodes are removed.
426.715,431.055,Dissection on the anterior hilum is now focused on the superior pulmonary vein.
451.943,460.435,The lymph node between the superior aspect of the superior pulmonary vein and the pulmonary artery is dissected to facilitate division of the superior pulmonary vein.
498.923,506.554,"It is a little bit of a tight space, but removal of that vessel lube might give us just enough room to advance the stapler safely."
545.6,548.386,A few additional station 10 and 11 lymph nodes are removed.
557.345,561.955,"With a vein divided, a proximal pulmonary artery branch is more easily accessible."
594.858,602.99,"Finally, the posterior branch of the pulmonary artery is dissected, encircled with a vessel loop, and then divided with a vascular stapler."
612.123,617.17,You may have noticed a similar preparation that occurs with division of any artery or vein.
617.19,623.92,"That is, a rolled cigar sponge is at the ready for compression, and the camera is pulled back to prevent it soiling."
627.157,630.305,"Finally, the bronchus to the left upper lobe will be divided."
631.007,642.094,Here a vessel loop is being placed all the way around the lobe to get around the bronchus for retraction to facilitate placement of the stapler at a reasonable angle.
673.951,676.035,An intercostal muscle flap is unprepared.
676.597,679.062,It is based anteriorly in this patient.
679.924,683.912,A spatula is used to mark the fourth intercostal muscle.
688.822,694.474,And the same monopolar instrument is used to dissect the muscle from the fourth and the fifth ribs.
717.235,726.25,The bipolar dissector is brought in here predominantly for angle to begin dissecting the intercostal muscle flap off of the chest wall.
794.641,799.032,This is typically a pretty straightforward dissection with good natural dissection planes.
833.268,843.427,The intercostal muscle is then laid over the bronchial stump and approximated to the stump using two separate forovicral horizontal mattress sutures.
843.447,857.132,"I prefer the muscular side to lay on top of the stump itself, therefore the intercostal muscle is positioned in a 180 degree fashion from its pedicle on the chest wall."
