start,end,text
8.626,19.71,"The surgeon demonstrates the splenic flexure and the left mesocolon, highlighting their anatomical positions and relationships."
20.21,30.82,"The surgeon begins the dissection by opening the left mesocolon near the inferior mesenteric vein, revealing the underlying anatomical structures."
31.32,35.364,The surgeon identifies the toes fascia and maintains it in a downward position during the procedure.
35.864,41.729,"The surgeon continues the dissection with the left mesocolon elevated, maintaining clear visibility of the tissue layers and anatomical structures involved."
58.911,66.275,"The surgeon continues the dissection towards the transverse mesocolon, maintaining elevation of the left mesocolon and ensuring clear visualization of the anatomical structures."
66.775,73.739,The left kidney and Gerota's fascia become visible and are positioned posteriorly during the dissection.
74.239,77.181,"The surgeon reaches the left paracolic gutter, continuing the dissection in the abdominal cavity."
77.681,86.832,"The surgeon identifies the pancreatic body to facilitate the opening of the transverse mesocolon, aiming to gain access to the lesser sac."
87.332,111.814,"The surgeon sections the transverse colon using a coagulating hook, maintaining a position just above the visible pancreatic body."
112.314,113.795,"The surgeon reaches the lesser sac after dissecting through the transverse mesocolon, revealing the anatomical space behind the stomach."
114.295,133.392,"The surgeon continues the dissection along the pancreatic body, progressing towards the pancreatic tail, with the surrounding anatomical structures becoming more defined."
133.892,150.298,"The surgeon completes the dissection, fully freeing the pancreatic tail from surrounding tissues."
150.798,155.061,"The spleen is visually identified as the dissection progresses, becoming evident in the surgical field."
155.561,164.927,"The surgeon continues the dissection towards the left paracolic gutter, freeing the left mesocolon from surrounding tissues."
165.427,170.31,"The surgeon frees the left extremity of the transverse mesocolon, completing the dissection in this area."
171.872,188.062,"The surgeon continues mobilizing the flexure by opening the left paracolic gutter from a lateral approach, with the pneumoperitoneum visibly expanding against the lateral abdominal wall."
188.562,206.371,"The surgeon sections the transparent parietocolic fibers, revealing the previously dissected area and displaying the spleen."
206.871,211.873,"The surgeon continues the mobilization by sectioning the gastrocolic ligament, further freeing the transverse colon from its attachments."
212.373,218.214,"The surgeon uses a coagulating hook to perform the maneuver, continuing the mobilization of the left extremity of the transverse mesocolon."
218.714,232.018,"The surgeon sections the second layer of tissue, which becomes evident after opening the first layer, continuing the dissection process."
232.518,238.453,"The surgeon mobilizes the splenic flexure, continuing the dissection along the left paracolic gutter with visible manipulation of the surrounding tissue."
238.953,246.138,"The surgical field displays the gyrotous fascia, pancreatic body and tail, spleen, and stomach, providing a clear view of these anatomical structures."
246.638,253.363,"The surgeon moves the colon downward with ease, following the previous mobilization and sectioning of the gastrocolic ligament."
253.863,267.816,"The camera provides a final view through the mesocolic window, revealing the surrounding organs including the pancreas, spleen, and stomach."
272.699,282.444,"The surgeon mobilizes the gastrocolic ligament using a coagulating hook, maintaining proximity to the transverse colon during the procedure."
282.944,298.217,"The surgeon cuts through the first tissue layer, revealing the second layer beneath, and identifies the third layer in the surgical field."
298.717,304.939,"Following dissection, the surgeon identifies and cuts through the fourth layer, revealing additional anatomical structures beneath."
305.439,309.76,"The surgeon reaches the lesser sac, providing a view of the anatomical space behind the stomach after mobilizing the gastrocolic ligament."
310.26,317.821,"The surgeon sections the left paracolic gutter, connecting it to the previously opened area, revealing the anatomical continuity between these regions."
318.321,329.086,"Girota's fascia is displayed as the surgeon continues the dissection, revealing the anatomical layer beneath the mobilized gastrocolic ligament."
329.586,342.259,"The surgeon sections the attachments to the transverse mesocolon, separating it from surrounding structures."
342.759,351.047,"The surgeon reaches the beginning of the left mesocolon, preparing to free it from surrounding tissues."
351.547,355.799,"The surgeon continues the medial dissection, progressing towards the lesser sac, with visible separation of tissue layers."
356.299,374.253,"The surgeon incises the paracolic gutter, freeing the colon while maintaining the parietal fatty tissue laterally."
374.753,387.085,"The surgeon continues the downward mobilization, re-exposing the rotous fascia and further freeing the left mesocolon from surrounding tissues."
387.585,394.012,"The surgeon identifies the left mesocolon, Girota's fascia, and the parietal wall, clearly delineating these anatomical structures within the surgical field."
394.512,408.446,"The surgeon continues the mobilization, freeing the left mesocolon from its lateral attachments, visibly separating it from surrounding tissues."
408.946,419.975,"The surgeon reaches and exposes the pancreatic body, revealing its anatomical position relative to the surrounding structures."
420.475,426.159,"The surgeon continues the mobilization of the left paracolic gutter, further freeing the colon while maintaining the parietal fatty tissue laterally."
426.659,437.687,"The surgeon performs dissection close to the left colon, carefully avoiding opening the parietal peritoneum to maintain the correct plane of dissection."
438.187,443.451,"The video shows the opening of part of the parietal peritoneal sheet, indicating a dissection in the incorrect plane."
443.951,452.665,"The surgeon has successfully mobilized the splenic flexure, which is now visibly free from its surrounding attachments."
453.165,461.39,"The surgeon moves the entire left colon downwards, indicating successful mobilization and exposure of the surrounding anatomical structures."
461.89,464.191,"Girota's fascia is clearly visible in the surgical field, indicating the correct anatomical plane during the dissection process."
464.691,488.081,"The surgeon considers freeing the transverse mesocolon from the pancreatic body to gain additional distal length, highlighting the anatomical relationship between these structures."
488.581,495.127,"The gastric wall, lesser sac, and pancreatic body are clearly visible after the completion of the dissection."
495.627,498.35,"The surgeon demonstrates the downward movement of the colon, which is visibly positioned lower in the surgical field."
504.295,509.239,"The surgeon observes a high splenic flexure, which is visually prominent in the surgical field."
509.739,529.915,"The surgeon begins the procedure by making an incision along the left paracolic gutter using a coagulating hook, initiating the dissection process."
530.415,539.845,"The left mesocolon is displayed and is being freed from the parietal wall, showing the separation of these structures."
540.345,558.93,Girota's fascia is clearly visible in the surgical field.
559.43,565.116,"The surgeon incises the tissue just superior to Girota's fascia, revealing the spleen beneath."
565.616,588.235,"The surgeon frees the fatty tissue from the parietal-paritoneal sheath, revealing the underlying anatomical structures."
588.735,594.938,"The surgeon mobilizes the gastrocolic ligament, carefully maintaining proximity to the colon during the dissection."
595.438,617.834,"The surgeon sections one layer of tissue and then proceeds to section another layer, continuing the dissection process in the surgical field."
618.334,623.241,"The surgeon opens the lesser sac, revealing the posterior wall of the stomach."
623.741,640.33,"The surgeon continues to free the gastrocolic ligament, maintaining close proximity to the colon as the dissection progresses."
