start,end,text
96.843,101.048,we observed significant venous collateralization on the surface of the lung.
101.068,104.672,These collateral vessels appeared to be contiguous with the mediastinal pleura.
106.374,111.479,"As you can see in the next frames, I believe I underestimated the amount of vessel collateralization."
112.36,116.945,This is an obvious example of one of the pathways of atrial pulmonary collateralization.
117.886,121.23,These vessels were able to be controlled with energy devices alone.
127.167,136.131,"In the anterior mediastinal pleura, there was also extensive venous collaterals, some of which were controlled with cautery, but some were large enough to require stapler ligation."
151.484,157.072,"Once we developed a true plane inside the pleura, we extensively employed the use of energy devices for hemostasis."
158.494,167.207,"The vessel you can see I am dissecting out here looks about the size of a secondary branch of the pulmonary vein, but it is actually a venous collateral vessel."
175.499,180.546,"I next approached the inferior pulmonary ligament, which was extremely thickened by the passage of collateral vessels."
181.015,186.34,"Again, the liberal use of energy devices for hemostasis was critical to success here."
190.665,195.57,"As we traverse the inferior ligament, it started to become clear that there were major venous structures present."
196.551,199.774,What you see here is the dissection of the inferior pulmonary vein.
200.835,205.96,"As you recall, this was not well visualized on preoperative imaging studies."
227.607,233.758,"As we finally completely encircle the inferior pulmonary vein, we are able to ligate it with stapling devices."
246.682,250.83,"While dissecting the posterior hilum, we encountered multiple engorged lymph nodes."
251.603,257.93,By this point we had educated ourselves and almost exclusively used the energy device for dissection and hemostasis.
259.652,264.918,"Continuing our inferior to superior dissection, we encounter and dissect the pulmonary vein to the middle lobe."
266.099,269.523,"Again, we were able to ligate this without too much difficulty."
276.25,278.893,This view is a further dissection in the posterior hilum.
279.413,283.597,"Again, you see present extensive collaterals in the subcarinal area."
290.783,297.289,"Ultimately, as you can see here, we are able to locate and dissect pulmonary venous structures that appear to have standard anatomy."
298.31,304.556,The striking feature of this case was the firm quality and texture of the tissues requiring fairly aggressive blunt dissection.
305.377,309.1,This had a similar feel to a post induction lung cancer case.
340.113,342.199,We next turn our attention to the pulmonary artery.
342.881,351.186,"As we dissect, you can see a view where we've dissected into the pericardium, indicating that we have a good location to transect the pulmonary artery."
367.737,373.527,And here we are ligating the main pulmonary artery again with standard vascular staplers.
385.627,393.019,"As you might imagine, by this point it took some time to dissect the right main stem bronchus given the presence of the collateral vessels."
395.53,405.788,What you see here is the dissection of a collateral vessel that would have made me otherwise think I missed a pulmonary artery branch had I not previously seen the inside of the pericardium.
410.216,414.163,This collateral was large enough that I chose to ligate it with a stapler.
431.255,435.723,"With the right main stem bronchus completely dissected, we are able to place a stapler around it."
436.865,445.401,"Prior to firing the stapler, I did perform a bronchoscopy with the stapler in place to make sure the orientation of the cartilaginous and membranous portions of the airway was appropriate."
446.042,449.348,You can visualize the bronchial stump here in good orientation.
454.812,461.987,"As a final step, we close the mediastinal tissue over the bronchial stump with interrupted sutures."
468.701,473.31,"The patient is almost a year out of her operation, and he continues to do well."
