start,end,text
10.354,28.287,"The surgeon inserts a 10mm optical trocar using the modified Scandinavian technique, preparing for a two-port laparoscopic appendectomy."
28.787,47.762,"The surgeon makes an incision over the inferior umbilical crease and uses artery forceps to dilate the tract, preparing for trocar insertion."
48.262,84.739,"Following initial examination, a 5mm working port is inserted in the suprapubic region. The acutely inflamed appendix is visible, and the surgeon inspects the adnexa, confirming that both the right and left ovaries appear normal."
85.239,105.668,"The surgeon identifies the insertion point for the Veress needle near the right anterior superior iliac spine, aiming for optimal manipulation of the appendix."
106.168,110.077,"The surgeon removes the stylet from the optical trocar, which was inserted using the modified Scandinavian technique."
110.577,140.572,"The surgeon introduces a loop with a loop passer and secures it using a Ligasure Maryland dissector. The instrument is used to hold the tip of the appendix, preparing to bring it through the loop for further dissection."
141.072,169.185,"The surgeon threads the loop through the needle and pulls it externally, adjusting and tightening the loop around the appendix at the desired level."
169.685,193.302,"The surgeon begins coagulating the mesoappendix from the tip downwards towards the base of the appendix, identifying the appendicular artery with visible pulsations. The artery is doubly coagulated and cut distally."
193.802,223.725,"The surgeon maintains a distance from the long axis of the appendix while coagulating the mesoappendix, ensuring that the mesoappendix does not remain attached to the appendix, which would interfere with its removal."
224.225,261.241,"The surgeon adjusts the loop to securely hold the appendix, using a varus needle to manipulate the appendix and facilitate dissection towards its base."
261.741,309.295,"The surgeon has reached the base of the appendix and is performing the final coagulation steps. The appendix is pulled away from the cecum to stretch it, making the mesoappendix more visible for easier coagulation."
309.795,322.017,"The surgeon doubly coagulates the tissue where there is uncertainty and cuts distally, ensuring complete separation of the mesoappendix from the appendix."
322.517,331.747,"The surgeon has completed the removal of the appendix, with the mesoappendix fully dissected and separated from the cecum."
354.679,396.956,"The surgeon introduces a thread across the base of the appendix and ties an extracorporeal Mishiraj knot, ensuring the thread is fed at least twenty centimeters inside the abdomen before winding it around the appendix to prevent shearing."
397.456,441.71,"The surgeon uses a knot pusher to tighten the extracorporeal Mizras knot around the base of the appendix, creating a dumbbell formation. The knot pusher, which lacks a slit at one end, is used to secure the knot through a 5mm working port."
442.21,498.105,The appendix appears blue due to the ligation of the appendicular artery. The surgeon cuts the thread with scissors and then excises the appendix two to three centimeters distally from the ligated base. A fecolith attached to the appendix is visible and is removed using suction.
498.605,525.689,"The surgeon gently removes the appendix through the five mm working port, applying smooth traction as the appendix is not significantly inflamed."
526.189,541.365,"The surgeon uses suction to remove the reactionary fluid from the pelvis, completing the appendectomy procedure."
