start,end,text
6.447,20.815,"This is a case of a fifty-four year old female who has acute cholecystitis. She was actually on vacation in Bermuda. Went to a hospital in Bermuda, was told she had acute cholecystitis. They wouldn't let her back on the boat and she actually had to fly home."
21.315,34.269,She didn't want to have her gallbladder taken out in Bermuda so she's had the pain for approximately six days and then presented to the emergency room with the above listed complaints.
34.769,37.95,"As you can see, it's kind of an acute on chronic cholecystitis."
38.45,54.814,"The duodenum is visible, loosely attached to the infundibulum and fundus of the gallbladder. Chronic adhesions, fat, and inflammation are observed surrounding these structures."
55.314,65.958,"The surgeon uses the robotic arm to gently nudge the left lobe of the liver out of the way, ensuring better access to the surgical field."
66.238,72.305,The surgeon uses the back end of the robotic fourth arm to gently maneuver the left lobe of the liver out of the surgical field.
72.805,84.398,"The surgeon observes significant inflammation around the gallbladder, with a stone visibly lodged in the neck of the gallbladder. Extensive cholelithiasis is noted."
84.898,97.271,This is one of those cases where the ICG that I injected preoperatively just wasn't super helpful.
97.771,112.62,"The surgeon carefully navigates near the pulsating hepatic artery, which is visible and in close proximity to the surgical field."
113.12,117.906,I used my ICG. I gave another three cc's followed by a ten cc flush.
118.406,147.764,"The cystic artery is illuminated, appearing relatively short, as the surgeon performs a straightforward arterial dissection using robotic instruments."
148.264,155.266,"The surgeon examines the duct, assessing whether it is the cystic duct or potentially a bile duct, amidst visible inflammation and gallstones in the gallbladder neck."
155.286,167.09,You can see the ICG isn't super helpful here.
167.59,180.694,"The surgeon uses the elbow of a robotic instrument to nudge the left lobe of the liver upward, clearing the view to continue working on the gallbladder."
180.714,221.629,"The surgeon identifies the cystic duct, cleaning surrounding tissue to achieve a critical view of safety, while noting a few small crossing vessels in the area."
222.129,244.073,"The surgeon works on the cystic plate, encountering smaller vessels and visible pericholecystic fluid around the gallbladder."
244.573,262.882,"The surgeon examines the cystic plate, noting the difficulty in distinguishing between the gallbladder and the cystic portion of the hepatic plate due to chronic changes."
263.382,270.406,"The surgeon carefully navigates through the inflamed tissue, attempting to identify a clear dissection plane around the gallbladder, while the left lobe of the liver is nudged aside using an instrument."
