start,end,text
1.893,6.177,"The patient is a forty-year-old woman, gravida one and para one."
6.657,13.783,She was referred to the gynecologist with a history of multiple fibroids and menorrhagia with severe anemia.
14.283,21.082,Hemoglobin was down to six point four grams and the patient had received four units of blood.
21.582,26.906,Ultrasound of the pelvis showed a large fibroid uterus with three fibroid tumors.
27.406,30.169,An MRI confirmed the ultrasound findings.
30.669,37.334,"The MRI showed two submucosal myomas, five centimeter and two centimeter in size."
37.834,41.876,It also showed a five centimeter intramural degenerating myoma.
42.317,48.221,The patient requested a myomectomy and wants to have the option of having children in the future.
48.721,51.902,The patient continued to receive iron infusions.
52.402,59.804,Lupron therapy was not initiated because of concern of lack of plane for dissection and enucleation of the myoma.
60.304,66.726,The patient was brought in for a robot-assisted laparoscopy with possible laparotomy.
67.226,90.705,"The surgeon identifies the liomyoma, fallopian tubes, ovaries, and ureters within the surgical field."
91.205,110.853,"The surgeon injects vasopressin into the posterior leiomyoma, likely to reduce bleeding during the upcoming dissection."
111.353,116.055,"The surgeon makes an incision over the myoma site, revealing the capsule of the leiomyoma."
116.555,315.812,The surgical field shows the absence of a clear plane for enucleation of the myoma during the robot-assisted laparoscopy.
316.312,363.507,"The surgeon continues dissection of the degenerating myoma, draining necrotic material which is then suctioned away."
364.007,380.054,"The surgeon places a suture on the myoma for tagging, facilitating its future removal."
380.554,473.897,"The surgeon coagulates and cuts the base of the myoma, successfully separating it from the underlying myometrium."
474.397,476.598,"The surgeon identifies the second myoma within the surgical field, preparing for further dissection and removal."
477.098,479.759,"The surgeon makes an incision and identifies the capsule surrounding the myoma, preparing for further dissection."
479.779,490.563,"The surgeon performs enucleation of the myoma, followed by placing a suture for tagging and facilitating future removal."
491.063,573.023,"The surgeon cuts and coagulates the base of the myoma, separating it from the underlying endometrium and myometrium."
573.523,748.203,"The surgeon repeats the procedure for the third myoma, coagulating and cutting its base before separating it from the underlying myometrium."
748.703,1124.33,"The surgeon identifies the endometrium and approximates it using a 2-0 vicryl suture. The myomectomy incision is then closed with a 2-0 VLAC suture in two layers, ensuring secure closure of the surgical site."
1124.83,1134.393,"The surgeon successfully completes three myomectomies, removing two submucosal myomas and one intramural myoma through a single incision in the uterus."
1134.893,1140.615,Pre-op hemoglobin was nine point six and post-op hemoglobin was seven point eight.
1141.115,1145.656,The patient never received a blood transfusion during intra-op or post-op period.
