start,end,text
60.427,61.928,"The ThunderBeat instrument is visible, likely being used in the surgical field during the prostatectomy procedure."
69.831,76.453,"The ThunderBeat instrument rapidly seals and cuts tissue and vessels, demonstrating its effectiveness in the surgical field."
98.609,105.314,"The surgeon uses the ThunderBeat device deep in the pelvis, advancing to perform coagulation on tissue and vessels, then retracting slightly to execute cutting."
105.694,112.498,"The surgeon uses the ThunderBeat instrument, activating the purple button to effectively combine coagulation and cutting technologies during the prostatectomy procedure."
135.226,142.308,"The surgeon measures a seven-centimeter incision site just above the pubic bone, preparing for the initial surgical entry."
142.468,144.409,"The surgeon makes an incision above the pubic bone, as previously measured, using a surgical scalpel."
144.909,148.71,"The surgeon continues the incision down to the retropubic space, developing the area for further surgical access."
148.81,150.991,"The surgeon utilizes a hand port, which is visibly inserted into the surgical field to facilitate manual access during the prostatectomy procedure."
158.421,161.083,"The surgeon begins the first phase of the procedure by incising and exposing the bladder neck, revealing its anatomical structure."
161.143,165.546,"The surgeon places their index finger on the catheter balloon, which is visible within the surgical field."
166.046,170.488,The prostate is visible in the top left part of the screen.
170.809,177.453,"The surgeon uses a BOVI device to make an incision, aiming to isolate the bladder neck during the prostatectomy procedure."
177.513,179.994,"The surgeon introduces the Thunderbeat device into the surgical field, providing the first visual of this instrument during the procedure."
180.074,183.937,"The surgeon uses a device to coagulate tissue rapidly, with visible effects on the surgical field."
184.437,186.757,"The surgeon carefully dissects on each side of the bladder neck, using surgical instruments to separate the tissue around this anatomical structure."
187.257,193.602,"The surgeon develops the bladder neck, with the prostate visible towards the top part of the screen."
194.102,200.747,"The urethra becomes visible at the bladder neck during the prostatectomy procedure, with the anatomical structures clearly delineated."
201.247,206.911,"The surgeon uses the Thunderbeat device to isolate the bladder neck from surrounding tissues, maneuvering around the area with precision."
206.951,209.433,"The surgeon divides the bladder neck fibers, using surgical instruments to separate the tissue at the junction between the bladder and urethra."
209.933,213.775,"The video shows a clear view of the urethra at the bladder neck, with the prostate visible towards the top of the screen."
214.275,226.381,"The surgeon uses a Kittner dissector and Thunder Beat device to further isolate the urethra, which is being developed at the bladder neck with the prostate visible towards the top of the screen."
226.881,233.785,"The surgeon prepares to divide the urethra, which is visible at the bladder neck, using surgical instruments."
234.005,244.269,"The surgeon uses a knife to sharply cut down onto the catheter, ensuring the incision is made at a safe distance from the prostate to avoid a positive margin."
244.769,255.318,The surgeon completes the division of approximately three-fourths of the bladder neck fibers before releasing the catheter and pulling it forward.
255.818,258.461,"The surgeon continues the division of the urethra, using a Kittner and Thunder Beat to further isolate and develop the urethra, providing a clear view of the anatomical structure."
258.961,263.424,The surgeon grasps the catheter tip and carefully pulls it out from the surgical field.
263.464,272.15,"The surgeon uses a Kelly clamp to hook onto the catheter for traction, pulling down the prostate to facilitate further dissection."
272.65,276.733,"The surgeon divides the remaining portion of the urethra and Bell's muscle, carefully separating these structures during the prostatectomy procedure."
276.753,280.196,The bladder neck is visibly starting to separate and fall away from the surrounding tissue during the prostatectomy procedure.
280.416,283.399,"The surgeon continues to use the bovie electrocautery device to perform dissection, applying traction to the prostate using a previously hooked catheter."
283.899,290.704,"The surgeon carefully manipulates the catheter tip, ensuring minimal force is applied to avoid tearing the developing bladder neck."
291.204,297.189,"The surgeon inserts a new 22 French, 5 cc Foley catheter into the bladder neck, ensuring proper placement within the surgical field."
300.507,303.85,"The surgeon prepares to evert the bladder mucosa, which is visible at the bladder neck."
303.99,308.414,The surgeon inserts a Foley catheter into the bladder neck and inflates it with approximately five cc's of fluid.
318.843,324.984,"The surgeon proceeds to dissect through the posterior bladder neck, carefully separating the tissue layers in this region."
325.484,333.826,The surgeon locates the vas deferens and seminal vesicles by dissecting through the anterior layer of Denonvilliers' fascia.
334.206,339.448,"The surgeon identifies and manipulates the right vas deferens, visible within the surgical field."
339.468,347.03,"The surgeon isolates a structure, preparing to divide it, with careful manipulation to avoid using it for traction."
347.53,354.872,"The surgeon addresses small bleeders using either the Thunderbeat device or a Bovie electrocautery tool, ensuring hemostasis in the surgical field."
355.236,366.784,"The surgeon uses a Babcock clamp to grasp and elevate the right vas deferens, carefully dissecting around it before proceeding to divide the structure."
367.284,375.449,"The surgeon uses the Thunderbeat device to divide the right vas deferens, demonstrating the rapid division of the structure."
375.489,384.673,"The surgeon grasps the right vas deferens and uses a combined coagulation and cutting technique with the Thunderbeat device, effectively sealing the structure within seconds."
385.173,387.834,"The surgeon uses a coagulation device to address any remaining small bleeders in the surgical field, ensuring hemostasis."
388.334,407.577,"The surgeon uses a Babcock clamp to grasp the stump of the vas deferens. To the left of the screen, the seminal vesicle is visible, and the surgeon begins dissecting it out, progressing towards the tip."
408.077,413.259,"The surgeon uses the Thunder Beat device to carefully dissect under the seminal vesicle, separating it from surrounding tissues."
413.759,427.26,"The surgeon uses a coagulation and cutting device to sever the artery supplying the seminal vesicle. The instrument is then maneuvered under the seminal vesicle, advancing towards the lateral aspects of the prostate."
427.76,435.465,"The surgeon identifies the posterior leaf of Denonvilliers' fascia, preparing to divide it to access the underlying perirectal fat."
435.505,447.773,"The surgeon prepares to divide the vas deferens and free the seminal vesicle on the opposite side, mirroring the dissection technique used previously."
448.273,454.239,"The surgeon uses the Thunder Beat device to grasp and dissect the seminal vesicle, visible on the left side of the screen."
454.739,458.202,"The surgeon exposes perirectal fat as they continue dissection beneath the seminal vesicle, approaching the lateral aspects of the prostate."
458.222,461.304,"The surgeon approaches the lateral aspects of the prostate, continuing the dissection around the seminal vesicle."
461.745,469.792,"The surgeon carefully navigates near the left neurovascular bundle, which is visually outlined in the surgical field."
472.137,482.441,"The surgeon uses the Thunder Beat device to dissect medially and then laterally along the prostate, progressively freeing the tissue from surrounding structures."
482.501,486.123,"The surgeon exposes the right vas deferens and seminal vesicle, revealing these structures adjacent to the prostate."
486.163,488.084,"The surgeon places thermocouples on the lateral aspects of the prostate, ensuring precise temperature monitoring during the procedure."
488.444,497.001,"The surgeon demonstrates the area to the right where the temperature remains stable despite the use of the surgical device, indicating minimal thermal effect on the surrounding tissue."
497.501,502.043,The surgeon uses the Thunder Beat device on the prostate while monitoring temperature changes with a temperature probe.
506.564,519.71,"The surgeon approaches the lateral aspects of the prostate, visibly pushing the neurovascular bundle away to prevent damage during the procedure."
520.21,527.496,"The surgeon approaches the right lateral aspects of the prostate, with visible manipulation of surrounding tissues."
527.996,538.708,"The surgeon dissects the seminal vesicles, approaching the area where the prostatic artery and associated vasculature will soon be visible."
538.728,543.873,"The surgeon elevates the seminal vesicle on the current side, mirroring the dissection performed on the opposite side, with visible manipulation of surrounding tissues."
543.913,545.616,"The surgeon exposes the right base of the prostate, with the neurovascular bundle visibly preserved and pushed away from the surgical field."
546.116,548.585,"The catheter is visible in place within the surgical field, positioned near the prostate."
549.085,556.249,"The surgeon releases both lateral aspects of the prostate, continuing the dissection in the right lateral region as previously described."
556.749,563.511,"The surgeon places a number two Prolene suture at the base of the prostate, securing the tissue in preparation for further dissection or manipulation."
563.551,568.914,"The surgeon uses a suture for traction on the prostate, avoiding the use of an allis clamp or similar instruments."
570.074,578.328,"The surgeon uses a Kittner dissector to gently push away the neurovascular structures and the lateral aspects of the prostate, carefully separating these tissues during the prostatectomy."
578.828,590.837,"The surgeon dissects through the endopelvic fascia, progressing towards the puboprostatic ligaments and the posterior aspect of the prostate."
600.378,613.262,"The surgeon uses a sweeping motion to separate the neurovascular bundle from the prostate, assessing for any visible extension of prostate cancer that may require further lateral tissue removal."
613.662,615.623,"The surgeon moves towards the midline of the surgical field, continuing the dissection around the prostate."
615.683,624.646,"The surgeon uses a Thunderbeat device to coagulate and cut small vessels feeding posteriorly near the prostate, ensuring hemostasis in the surgical field."
629.052,631.873,The surgeon carefully inserts a surgical instrument beneath the tissue and makes a precise cut.
634.973,640.234,"The surgeon identifies the rectum, with visible residual tissue present in the surgical field."
640.734,654.133,"The surgeon uses a sponge stick to push down on the rectum, effectively exposing the surrounding tissue. The Thunderbeat device is then used to coagulate the exposed tissue."
654.633,664.324,"The surgeon uses the Thunderbeat device to coagulate tissue, reducing bleeding, while some tissue is pushed away bluntly."
664.365,665.707,"The surgeon uses a blunt instrument to push away tissue surrounding the rectum, creating a clearer view of the surgical field."
666.207,672.971,"The surgeon aims to reach the apex of the prostate, working to free most of the prostate tissue from surrounding structures."
673.471,681.137,"The surgeon navigates along the left side of the prostate, approaching the puboprostatic ligament, with visible tissue manipulation in the surgical field."
681.197,683.219,"The surgeon performs a similar maneuver on the left side, using a sponge stick to push down on the rectum and expose the tissue, followed by coagulation with the Thunderbeat device."
683.239,690.364,"The surgeon pushes away the neurovascular bundles on the right side during nerve-sparing, carefully dissecting through the endopelvic fascia."
690.864,697.81,"The surgeon has freed the prostate from surrounding tissues, with the apex and dorsal venous complex remaining attached."
697.85,701.853,"The surgeon places a Babcock clamp at the twelve o'clock position on the prostate, providing traction to facilitate further dissection."
702.337,711.44,"The surgeon applies downward traction on the prostate using a Babcock clamp, while utilizing a suction device to identify the dorsal venous structures adjacent to the apex."
711.861,720.484,"The surgeon exposes the endopelvic fascia and the puboprostatic ligament on the left side, revealing these anatomical structures during the prostatectomy procedure."
724.325,726.366,The surgeon uses the Thunderbeat device to dissect through the remaining attachments at the apex and dorsal venous complex of the prostate.
735.55,739.171,"The surgeon uses a combined COAG and cutting technique to release tissue, likely involving the puboprosthetic region, with visible separation of tissue layers."
744.717,749.72,"The prostate remains attached at the apex and the dorsal venous complex, visible as the final points of connection before complete detachment."
749.76,754.163,"The surgeon grasps the dorsal venous complex, preparing to manipulate or secure it during the prostatectomy procedure."
754.263,763.849,"The surgeon uses the Thunder Beat device to manage the dorsal venous complex, a technique effective in approximately ninety percent of cases."
765.792,771.215,"The surgeon uses a Thunderbeat device to address the dorsal venous complex, with the potential need to place a monocryl stitch for additional control."
771.275,777.499,"The surgeon uses a UR-V needle to over-sew the dorsal venous complex, securing the area with precise stitching."
779.94,792.587,"The surgeon completes the division of the dorsal venous complex and the remaining puboprostatic ligament on the patient's right side, using surgical instruments to separate these structures."
794.785,800.988,The urethra and apex of the prostate become visible in the surgical field.
821.286,835.871,"The surgeon uses the Thunderbeat device to address residual tissue and bleeding, revealing the urethra and apex in the surgical field."
836.371,838.914,"The surgeon divides several small blood vessels in the surgical field, using precise techniques to ensure clear visualization of the urethra and apex."
839.414,849.098,"The surgeon prepares to divide the urethra at the apex, marking the near-final stage of the prostatectomy procedure."
853.16,855.08,"The surgeon palpates the apex of the prostate, preparing for the division of the urethra at this anatomical landmark."
855.521,856.721,"The surgeon prepares to divide the urethra at the apex, following the division of small vessels in the surgical field."
856.761,863.984,The surgeon observes minimal bleeding after using the Thunder Beat device to coagulate and cut the vessels around the surgical site.
864.004,866.105,The surgeon visually identifies the catheter within the surgical field.
866.605,870.728,"The surgeon observes the urethra, which appears plump and well-defined in the surgical field."
877.912,880.474,"The surgeon observes a decent length of the urethra, which is visible in the surgical field."
880.974,885.257,The surgeon addresses minimal bleeding by using the Thunder Beat device to coagulate small bleeding vessels in the surgical field.
885.757,890.2,"The apex of the prostate is visible in the surgical field, positioned adjacent to the urethra and catheter."
894.738,923.373,"The surgeon uses 2-0 Monocryl sutures on UR-6 needles, placing the stitches from inside out into the bladder. The sutures are labeled at positions twelve, ten, eight, two, and four o'clock. The catheter is pulled back to place additional stitches at the six o'clock position."
923.873,930.455,"The surgeon places two posterior stitches at the six-thirty and five-thirty positions on the urethra, securing the tissue in preparation for further suturing."
930.955,952.84,"The surgeon places the four o'clock stitch, labeling it, and then partially retracts the catheter from the penis, demonstrating this action visually."
953.34,959.583,"The surgeon pulls the catheter back until its tip is positioned within the urethra, ensuring proper placement during the prostatectomy procedure."
960.423,963.025,"The surgeon places a stitch at the six-thirty position using a needle, visible within the surgical field."
963.525,967.987,"The surgeon places a stitch at the six-thirty position, adjusting the placement from the initial six o'clock designation."
968.007,971.728,"The surgeon places a stitch on the opposite side at approximately the five-thirty position, completing the suturing around the catheter."
971.789,975.79,"The surgeon places a couple of posterior stitches, securing them in position."
976.251,981.426,"The surgeon places a stitch at the five-thirty position on the prostate, visible in the surgical field."
981.926,983.567,"The surgeon takes substantial bites of the urethra with a surgical needle, ensuring secure suturing during the prostatectomy procedure."
984.067,990.709,"The surgeon uses the Thunder Beat device to divide the remaining urethral tissue, completing the separation of the urethra from surrounding structures."
990.729,993.549,"The surgeon uses a proline suture for traction during the procedure, visible in the surgical field."
994.049,996.73,"The surgeon pushes the catheter back into the urethra, ensuring its proper placement during the prostatectomy procedure."
997.17,1002.192,"The surgeon prepares to divide the remaining urethral and recto urethralis tissue using surgical instruments, focusing on precise separation of these anatomical structures."
1002.252,1006.113,"The surgeon uses the Thunder Beat device to divide the remaining urethral tissue, demonstrating preference for this instrument in the procedure."
1006.533,1009.734,"The surgeon uses the Thunder Beat device to cut posteriorly, reducing bleeding in the area."
1010.164,1021.449,"The surgeon uses the Thunder Beat device to grasp and divide the remaining tissue, preparing to remove the prostate."
1021.469,1028.572,"The surgeon pulls back the catheter, revealing minimal rectourethralis tissue, and successfully extracts the prostate from the surgical field."
1028.612,1032.114,"The prostate is visible with proline stitches placed, indicating preparation for further surgical manipulation or removal."
1032.614,1035.635,"The surgeon assesses the prostatectomy site, noting the presence of clear margins around the excised prostate tissue."
1045.007,1047.868,"The surgeon everts the bladder mucosa, turning the inner lining outward to facilitate further surgical manipulation."
1048.108,1057.373,"The surgeon uses Threovacril to place four stitches, creating a mucosa-to-mucosa anastomosis."
1072.305,1084.373,"The surgeon uses a free needle, specifically a number two male needle, to place the final stitch in the inverted bladder mucosa."
1084.873,1087.295,"The surgeon uses a number two male needle to feed through the bladder mucosa, continuing the process of everting the mucosa for anastomosis."
1087.375,1098.522,"The surgeon places stitches inside out, starting with the five-thirty and six-thirty positions, followed by the eight o'clock stitch. A catheter is then inserted to complete the procedure."
1103.145,1120.128,"The surgeon places a drain at the surgical site, which is intended to be removed the following day, and closes the incision using a subcutaneous stitch."
