start,end,text
41.063,46.153,"A needle defines the optimal position in line with the fissure, but as anterior as possible."
56.697,64.349,Now the same finder needle locates the optimal wide anterior interspace that is useful for dissecting the critical structures of the superior hilum.
66.373,78.773,Here a four centimeter incision has been made and you can see how the two low profile retractors provide the necessary traction and counter traction while enabling the passage of a five millimeter dissection tool to divide adhesions.
81.622,90.86,It is important to mobilize adhesions and now you can see the speculated undiagnosed mass in the left upper lobe.
90.88,96.651,"For tumor margins that are only palpable, marking with ink provides visual cues for deep wedge resections."
97.192,102.162,"Also, deep wedge resections are facilitated by lung compression clamps as demonstrated here."
112.148,117.433,An extra thick stapler load divides this bulky tissue with less risk of bleeding or lung fracture.
136.415,145.745,"Additional compressions are shown here, and then this stapler is brought in and applied rapidly after removing the lung compression to allow passage of the stapler without injury by the anvil."
151.972,158.319,Another advantage of this wedge resection is that there is less tissue remaining to manipulate during the later lobectomy dissection.
159.32,162.203,"As the tissue thins, a standard stapler load is used."
167.853,172.602,Now the specimen is placed into an extraction sac and pulled out through the anterior axis port.
175.046,182.74,"While waiting for the pathologic diagnosis, it is useful to perform an intercostal nerve block at this point or even earlier for its preemptive effect."
196.962,198.625,Now viewing toward the working port.
199.326,208.6,One retractor depresses the diaphragm while a cautery instrument placed in the same port divides the inferior pulmonary ligament to give mobility to the lung for later re-expansion.
217.354,223.003,Viewing from the medial working port provides better exposure of the anterior and superior hilum.
225.346,228.071,"Again, you can appreciate this enhanced view."
231.877,239.691,Multiple retractors are placed through the former camera port to provide optimal retraction and counter traction to tense the pleura to make it easier to divide.
244.159,250.51,"Generally, one retractor is placed on the anterior upper lobe and another near the apex to provide this excellent exposure."
256.447,260.431,The superior vein with its lingular branch is demonstrated nicely here.
280.033,285.88,The retractors are manipulated to improve exposure and even a portion of the inferior vein can be visualized.
289.37,297.157,"By using a blunt, curved clamp, it is possible to create a tunnel posterior to the superior vein."
297.177,302.922,It is safer to dissect closer to the heart where the vein anatomy is more predictable with fewer branched vessels.
