start,end,text
18.971,40.15,My name's Joel Dunning and I can't tell you how excited I am to be presenting to you the first ever use of the Articential wristed instruments in a pulmonary lobectomy. I'm a VAT surgeon but also a robotic surgeon and I know the real advantage of a wristed instruments and this fuses them both. So let me present this video to you.
40.65,51.615,"It's a gentleman with a left upper lobe tumour, quite bad lung function. I use my usual sub-xiphoid port for staple firings for the drain and for tumour removal."
52.115,75.245,"The surgeon positions a camera in the anterior seventh intercostal space and places two additional anterior ports for the Articential wristed instruments, using eight-millimeter robotic ports to accommodate the instruments."
75.745,80.688,"The surgeon demonstrates the placement of Articential wristed instruments through holes in the chest, showing their positioning halfway through the procedure."
81.129,92.236,The surgeon uses Articential wristed instruments to address adhesions in the thoracic cavity. The instruments provide enhanced maneuverability and precision in manipulating the tissue.
92.256,103.342,"The surgeon demonstrates the ease of movement of the Maryland and Johan wristed instruments, both of which are bipolar and capable of delivering energy."
103.422,119.37,"It's a very long, thin instrument, maybe a little bit longer than the robotic Maryland, but it does take bipolar energy really nicely. And I'd say the Johan dissector is about exactly the same as a robotic Johan."
119.87,138.457,"The surgeon places an additional 5mm port posteriorly to facilitate retraction using a lymph node grasper. The left upper lobe is retracted posteriorly, and dissection of the anterior hilum is initiated."
138.957,152.182,"This guy had quite a lot of adhesions and so he also had proven N-I disease on the PET scan So it did end up, I thought, a fairly tricky operation."
152.682,171.408,"The surgeon uses a Maryland dissector, angling it precisely with a wristed motion to manipulate tissue, demonstrating the utility of the instrument despite suboptimal camera quality."
171.428,197.052,"You've got two little gray graspers in your finger as well to open and close. And just a normal foot pedal for your bipolar energy. I played around with just changing instruments. It was really easy to change from a wristed instrument to a sucker or to a hook. So it really felt like a vats operation where you could easily change instruments. So sometimes I was using one wristed instrument, sometimes two."
197.552,242.591,"The surgeon uses a wristed instrument to dissect the pleura over the anterior hilum, exposing the superior pulmonary vein and identifying the pulmonary artery. The instrument aligns precisely with the tissue line, utilizing bipolar energy for dissection."
243.091,261.477,"The surgeon navigates over the top of the hilum, exposing the aortic arch and maneuvering around the pulmonary artery using wristed instruments. The superior pulmonary vein is also circled, showcasing the precision and flexibility of the robotic tools."
261.497,290.231,"The surgeon uses a Johan instrument with a blunt tip to confidently dissect behind the thin superior pulmonary vein, achieving a complete ninety-degree angle in both directions. The versatility of the instrument allows for precise manipulation around the vein, followed by the application of a Cavidian Tristapler with Signia."
290.731,317.507,"The surgeon inserts a tan tri-staple load sub-xiphoid, creating a tunnel behind the vein. The stapler is fired sub-xiphoid, and lymph nodes are visible behind the vein. Wristed instruments are used for precise manipulation."
317.527,339.283,"The surgeon uses a robotic grasper to hold lymph nodes while employing a Maryland dissector to gently dissect underneath them, aiming to remove the lymph nodes intact. The precise angles achieved with the instruments allow for effective manipulation, and tactile feedback is experienced during the grasping process."
339.343,369.378,"The surgeon uses ArtiCentral wristed instruments to articulate around the anterior segmental pulmonary artery vessel, cleaning up the area above the artery before proceeding below. The vessel appears large, and the instruments provide tactile feedback during manipulation."
369.878,407.986,"The surgeon uses the pointed Maryland instrument to pierce and divide the final bit of tissue around the anterior segmental pulmonary artery, utilizing tactile feedback to ensure precise tension control during the dissection."
408.486,426.602,"The surgeon uses wristed instruments to examine the next vessel, which is identified as the apical segmental artery. The vessel is dissected and presented as a station twelve lymph node."
427.102,459.486,"The surgeon uses wristed instruments to gently dissect around a vessel, appreciating the tactile feedback that allows for precise manipulation. The Maryland instrument is then employed for its thinner, pointier design to pierce the final layer of pleura around the back of the vessel, ensuring minimal resistance during the procedure."
459.986,495.757,"The surgeon uses Maryland wristed instruments with a gold tip to navigate around smaller vessels from a sub-xiphoid approach. During the procedure, the anterior segmental branch begins to bleed slightly, and visible bruising is observed on the artery, possibly due to tugging with a stapler. The surgeon applies pressure to manage the bleeding and prepares to use tachycel patches."
496.257,529.914,"The surgeon applies a hemostatic agent to control bleeding from the pulmonary artery. They then approach the station seven lymph node from an anterior angle, lifting the left main bronchus to reveal remnant lymph nodes in a cavity left by a previous mediastinoscopy. The lymph nodes are removed with a clear view of the surgical field."
530.414,564.812,"The surgeon uses non-wristed instruments to remove all station seven lymph nodes from an anterior approach during a left upper lobectomy. The Maryland instrument is then used to identify the lower lobe, revealing a large bronchial artery, while searching for the bifurcation of the upper and lower lobe bronchi."
565.312,599.48,"The surgeon uses a hook to manipulate the lower lobe bronchus, peeling off positive N-one lymph nodes that contain tumor. The lymph nodes appear adhered to surrounding tissue, requiring careful dissection. The Johan wristed instrument is employed for precise handling."
599.54,635.955,"The surgeon navigates between the pulmonary artery (PA) and the left upper lobe bronchus, encountering numerous adhesions that appear visually sticky. Using the Articentio de Johan instrument, the surgeon carefully maneuvers around the back of the bronchus, feeling no resistance, and successfully dissects through the adhesive tissue from above."
636.455,673.715,"The surgeon uses a leader cath to pull the staple around, articulating with the Johan instrument. The Purple Forty-Five stapler is brought in through the sub-xiphoid port, which is noted for causing less pain and allowing the removal of large tumors without rib separation."
674.215,746.626,"The surgeon uses the Johan wristed instrument to carefully position it behind a small bridge left by the stapler, ensuring safety while using hook diathermy to address the area without endangering the pulmonary artery. The anterior and apical segmental artery, vein, and bronchus have been addressed, and the posterior segmental artery is now visible. A lymph node adherent to the artery is manipulated with Maryland articulated instruments to facilitate stapling below it."
747.126,784.647,"The surgeon prepares to staple the posterior segmental vessel of the left upper lobe using a gold tip tan stapler from a sub-xiphoid approach. The lingular artery is identified, ensuring it is not mistaken for a segment six artery, with the basal pulmonary artery continuation visible."
785.147,815.41,"The surgeon uses a wristed instrument with ninety degrees articulation to dissect around a vessel, carefully maneuvering through surrounding tissue and lymph nodes. The instrument is angled in the opposite direction to facilitate further dissection without removing it from the surgical field."
815.91,857.114,"Just a note, if you're going to start using these Artessential instruments, if you're going to do robotic surgery, you need to have thirty hours on a simulator before you're allowed to do your first robotic case. Don't just think you can use these Artessential VATS instruments instantly with no training. I would recommend Ten hours maybe of practicing and they give you a lovely low fidelity simulator. We've done nineteen training videos of different tasks to practice on. And you really do need to practice because it's half VATS and half non-VATS. But once you practice then it's going to make it easy in real life. But don't go to a patient if you haven't practiced."
857.614,898.705,"The surgeon completes the dissection of the final artery, bronchus, and vein before addressing the fissure. Station five lymph nodes are removed, appearing benign, while a lower nodule near the pulmonary artery is identified and excised, suspected to be positive."
899.205,942.931,The surgeon uses wristed instruments to carefully dissect a positive lymph node off the pulmonary artery. One instrument lifts the node while the other angles precisely to ensure gentle separation without damaging the artery. Bipolar energy is applied to safely remove the lymph node in a single sample.
943.431,991.398,"That was, I think, taking this lymph node was almost the best demonstration of the artisanal instruments of the whole operation. That and getting around vessels were the two best bits about these instruments. So I'm really excited about them. I can't wait to get going with my next case. I'm very excited to be doing a thymectomy very soon with them. I think for thymectomy it's just going to be brilliant. You're literally not going to be able to have to take out a single instrument for the whole case. Just two wristed instruments with bipolar. It's going to be wonderful. I'm going to start using these for all my VATS cases. I call it surgeon powered robotics because it looks like robotics but the surgeon's in charge. We are shortly going to get"
991.898,1022.901,"a mechanically controlled camera as well isn't quite ready for use but it will be hopefully next week and then I'll be in charge of the camera as well so I'll be in charge of the camera I've wristed instruments and you know basically that's all the advantages of robotics and then plus I've got tactile feedback I'm firing my own staplers I'm there for emergencies by the bedside so the question is why would you carry on with a robot? I don't know, frankly. Maybe you can tell me."
1023.401,1062.365,"The surgeon removes the left upper lobe through a sub-xiphoid port, utilizing a bag to extract the specimen. The largest incision made is eight millimeters in the intercostal spaces, with a three-centimeter sub-xiphoid port visible. An extra pleural catheter is inserted for long-term pain relief in high-risk patients."
1062.865,1088.562,"They're CE marked in Europe and I believe FDA approved, so give it a go. And I'll keep posting videos every time I do a case because I think these are literally groundbreaking. And I'll leave you with a few external views. of what it feels like to use these instruments from externally so I think they really are very simple I think we've got the port positioning right and they were great thank you very much for watching"
