start,end,text
11.67,21.658,"In cases where there are multiple large uterine fibroids, the entire procedure for laparoscopic myomectomy can still be accomplished using bilateral uterine artery clipping."
22.158,34.028,The surgeon opens the retroperitoneum and identifies the ureter. Gentle dissection reveals the anterior division of the internal iliac artery or the origin of the uterine artery.
34.528,43.708,"Though there could be slight difficulty in space, we typically prefer not to use uterine manipulators or myoma screws prior to clipping."
44.208,51.27,"The assistant retracts the uterus, providing optimal exposure for the surgeon to apply uterine clips during the laparoscopic myomectomy procedure."
51.77,56.791,"The surgeon applies a clip on the anterior division of the internal iliac artery, with the ureter visibly positioned at a safe distance from the surgical site."
57.291,63.053,"The surgeon performs similar dissection on the opposite side, with the assistant aiding in retracting the uterus to facilitate access to the surgical site."
63.553,72.474,"The uterine artery is isolated and dissected, with the ureter visibly positioned far away from the uterine structure."
72.974,75.695,"The surgeon applies clips to both sides of the uterus under direct vision, ensuring precise placement while the assistant retracts the uterus."
76.195,86.799,"Following the bilateral clipping of the uterine arteries, the video shows a noticeable reduction in the vascularity of the uterus, with the tissue appearing less engorged and more pale."
87.299,93.881,In a reduced vascularity the blood loss which occurs following laparoscopic myomectomy is extremely negligible.
94.121,96.065,"The uterus appears white, indicating reduced blood flow following the bilateral uterine artery clipping."
96.565,105.271,"The surgeon begins the procedure by making incisions on the uterus using a laparoscopic shearer, targeting the most prominent aspects of the fibroids."
105.771,110.355,"The surgeon removes the first fibroid from the uterus, followed by the extraction of a large fibroid located on the posterior side."
110.855,118.38,"The surgeon demonstrates minimal bleeding from the base of the fibroid despite its large size, highlighting the reduced vascularity of the uterus."
118.88,121.001,That's the advantage of uterine artery clipping.
121.201,129.443,What it also does is that it prevents the use of vasopressin and all the anesthetic related complications which could occur due to vasopressin.
129.843,137.968,"The surgeon displays the large fibroid base, showing minimal bleeding due to bilateral uterine artery ligation."
138.468,147.517,"The surgeon removes the next fibroid from the uterus. After enucleating all fibroids, uterine reconstruction is performed using quill sutures to restore the uterine structure."
148.017,156.405,"The surgeon completes the procedure by removing the fibroids through morcellation, demonstrating the effectiveness of the technique in achieving minimal bleeding throughout the surgery."
