start,end,text
36.956,147.463,Bye. Thank you. so so
147.963,316.028,Thank you. Thank you. Thank you. Thank you.
316.528,500.892,Thank you. Thank you. Thank you. so so so so
501.392,668.649,so so Bye. Thank you. Thank you.
669.149,886.703,Thank you. Thank you. Thank you. Thank you. Thank you. Thank you.
887.203,1108.173,"So, Thank you. Thank you. Thank you. Thank you. Thank you."
1108.673,1403.889,"So, Thank you. Thank you. so so Thank you."
1404.389,1524.363,"Thank you for watching. Thank you. So, So,"
1524.863,1764.989,Thank you. Thank you. Thank you. so so Bye.
1765.489,1957.057,"Thank you. Thank you. Thank you. So,"
1957.557,2180.107,you Thank you. Thank you. Thank you.
2180.607,2364.186,"Thank you. Thank you. Thank you. So, Thank you."
2364.686,2577.993,Thank you for watching. Thank you. Thank you. Thank you. Thank you. Thank you.
