start,end,text
0.871,3.712,Ultrasound has shown four other fibroids.
4.212,14.535,"So, almost about two inches above the umbilicus because there is less space in the infra umbilical area, more space in the supra umbilical area."
15.035,27.478,"So, we lift and push towards the sacrum, aspirate, push and a drop test, gas on."
27.978,30.921,single digit pressure indicates that I am in the correct area.
31.421,42.723,The surgeon waits for at least half a liter of gas to be insufflated into the abdominal cavity before releasing the abdominal wall.
43.223,57.251,"So, aqua dissection will again mean forty units of vasopressin diluted in four hundred ml of normal saline and in that whatever is required we will inject depending on how the appearance is."
57.351,62.574,Six seven centimeter and multiple fibroid I am expecting three hundred ml to be required.
63.074,73.031,If I feel there is a need I can inject the complete four hundred ml also.
73.531,75.673,"The uterus appears white, indicating the effect of vasopressin injection during the myomectomy procedure."
76.033,82.88,"So, suppose it is a four five centimeter fibroid, two hundred ml will be sufficient."
83.38,86.824,"So, we are using pre-filled syringe which contains forty units."
87.324,90.347,"If you take the ampules, the ampules will contain twenty units."
90.847,92.428,"So, then two ampules have to be opened."
92.889,101.769,"If you are using the pre-filled syringe, then the syringe will be forty units."
102.269,104.29,So this appears to be an adequate placement.
104.31,109.633,"The surgeon positions the incision site approximately two inches supraumbilical, ensuring it is not excessively high."
109.653,116.738,"This grip, rectus sheath is very strong."
117.238,124.382,"Most of the infertility patients, you do find that the rectus sheath requires more force to pierce."
124.882,128.465,The surgeon cleans the laparoscopic scope before inserting it into the abdominal cavity for a clear view of the surgical field.
128.965,135.31,"The surgeon adjusts the laparoscopic view inside the abdominal cavity, preparing to initiate insufflation by starting the gas flow."
135.81,137.372,Head low.
137.872,142.295,"The surgeon examines the appendicular area, observing visible adhesions around the appendix."
142.795,145.398,Colitic additions can also be there.
145.898,148.18,"Liver, no."
148.68,151.922,"Take a look around, liver side is okay."
152.422,156.097,Steep head low allows the bubble to grow a little more.
156.597,156.817,purpose.
157.297,163.559,Steep head low allows the bubble to be dragged down towards the diaphragm on its own.
164.059,165.299,"The surgeon confirms the fixed placement of the surgical ports, which are positioned for optimal access during the myomectomy procedure."
165.799,168.66,"The surgical setup includes two ports positioned on the surgeon's side and one port on the assistant's side, facilitating access to the operative field."
169.16,173.922,"The lower port is positioned one inch above and medial to the anterior superior iliac spine, providing access for the surgical instruments."
174.422,175.462,"So, no change in this."
175.762,177.943,"The surgeon observes colitic adhesions, which are visible as fibrous bands connecting the colon to surrounding tissues."
177.983,180.517,"So, avoid the adhesions."
181.017,184.12,approximately two inches above and medial.
184.62,187.682,First thing to do is test the location of the tubes.
187.902,194.007,The location of the tubes is what is going to identify where the fibroid are located.
194.507,200.391,"The surgeon visually identifies the fallopian tube on one side, using it as a landmark for the procedure."
200.571,202.213,"The surgeon visually identifies the left-sided fallopian tube, noting its position relative to the surgical field."
202.713,206.92,The surgeon identifies a fibroid located on the posterior wall of the uterus.
207.42,211.025,"Yeah, it could be bicornuate, it may not be bicornuate."
211.525,214.329,"The surgeon visually identifies the right fallopian tube, noting its position relative to the surrounding anatomical structures."
214.829,247.829,The surgeon identifies a large fibroid located on the anterior wall and another large fibroid on the posterior wall of the uterus.
248.329,251.191,It is not a bicornuate uterus.
251.691,262.26,"The surgeon points out a corneal fibroid on the uterus, highlighting its location and appearance."
262.68,267.564,"The surgeon visually identifies the fallopian tube extending over the uterine surface, likely in proximity to the previously mentioned fibroids."
268.064,273.025,"The surgeon identifies one small fibroid and two large fibroids on the uterine wall, highlighting their size and location."
273.525,277.446,"The surgeon identifies one small fibroid and one seedling fibroid on the uterus, in addition to previously noted larger fibroids on the anterior and posterior walls."
277.946,288.589,The surgeon visually identifies three small fibroids and two large fibroids within the uterine tissue.
289.089,292.59,Speed test.
293.09,295.811,"The vasopressor injection needle is introduced into the surgical field, likely targeting the fibroid tissue for vasoconstriction."
296.311,299.672,"The surgeon prepares to inject a vasopressor into the myometrium, targeting the area around the fibroids."
