start,end,text
5.396,23.263,"The patient is positioned in lithotomy for an open haemorrhoidectomy. The surgeon prepares to address grade four circular haemorrhoids, with prominent cushions visible at the left lateral, right anterior, and right posterior sites."
23.763,40.633,"The surgeon uses an Alice clamp to grasp the right anterior hemorrhoidal complex. A triangular incision is made at the base of the hemorrhoid using a monopolar electrosurgery device, extending to the external anal margin."
41.133,88.637,"The surgeon applies downward traction on the hemorrhoid, carefully dissecting between the external hemorrhoid plexus and the external anal sphincter fibers towards the pedicle. At the transition zone, the anal mucosa and submucosa are divided with ligature, narrowing the wound. The dissection plane progresses between the internal anal sphincter fibers and the internal hemorrhoidal plexus tissue. Ligature is applied from both sides of the hemorrhoid cushion to cut the mucosa and submucosa until reaching the hemorrhoid pedicle, ensuring the internal sphincter muscles remain intact."
89.137,110.115,The surgeon applies the jaws of the device perpendicular to the hemorrhoid pedicle and divides it.
110.615,123.978,"The surgeon assesses the defect size, noting the maximum width of the wound in the distal part is two centimeters. The previously described steps are repeated on the right lateral hemorrhoidal complex, involving careful dissection and ligature application."
124.478,180.859,"The surgeon marks the excision line at the base of the left lateral hemorrhoidal complex, ensuring the mucocutaneous bridge between the two wounds is preserved. The surgeon uses their index finger to control the preservation of the bridge, aiming for the excisional wound size to be equal to or less than the width of the bridge to prevent stricture."
181.359,228.129,"The surgeon performs a triangular incision at the base of the right posterior hemorrhoidal pile using monopolar electrosurgery, followed by dissection with a ligature small jaw open sealer. The hemorrhoidal pile is carefully dissected from the external and internal sphincters, achieving a bloodless and precise excision without sutures in the anal canal."
228.629,244.616,"The surgeon applies the jaws of the device perpendicular to the pedicle to complete the excision of the hemorrhoidal complex. The wound is then inspected to confirm satisfactory hemostasis, ensuring no active bleeding is present."
245.116,270.373,"The surgeon measures the removed hemorrhoidal cushion, which is approximately two centimeters in size, and confirms the width of the mucocutaneous bridge as two centimeters."
270.873,279.935,"These are the pre-operative and post-operative pictures of the patient. In one month, good wound healing was achieved and the patient did not complain of prolapse or anal bleeding."
