start,end,text
22.372,24.133,This is the endobronchial picture.
26.135,28.097,We start with the median sternotomy.
28.668,33.094,The thymus is raised as a flap based on its pedicle.
33.114,41.005,The first vessel to be dissected and moved is the left brachiocephalic vein.
41.025,47.734,"Next, we incise the anterior pericardium at the junction between the superior vena cava and the atrium."
51.439,54.743,The SVC is dissected and moved.
59.093,67.465,"The pericardial cut is extended over the arch aorta, which is then retracted, bringing the right main pulmonary artery into view."
69.468,76.438,The anterior transpericardial approach to the carina is from in between these three major vascular structures.
78.121,81.726,This is the right main pulmonary artery being securely looped.
85.84,90.967,The dissection is commenced by clearing out all the soft tissue from anterior to the trachea.
92.77,102.704,"The subcarinal nodal packet is dissected and excised, exposing the carina."
102.724,106.29,We place a Gudisalis retractor to enhance exposure.
107.792,112.759,A needle is then used to mark the proximal cut under bronchoscopic guidance.
114.865,120.773,"safeguarding the left recurrent laryngeal nerve, the trachea is looped using a vascular tape."
122.255,127.361,The left main bronchus and the right main bronchus are also looped.
129.444,133.529,A fresh 15 blade is used for the proximal cut at the marked point.
134.651,138.656,We prefer to take a stay suture at the proximal cut end of the trachea.
140.358,144.163,The cut is then completed over the posterior membranous wall
148.7,151.404,The distal cut is taken on the right main bronchus.
153.267,161.138,Cross field ventilation once the airway is opened and the cut on the left main bronchus.
164.543,169.73,A stay suture on the distal cut end.
169.75,174.657,The specimen is excised and sent for frozen section analysis of margins.
184.762,189.509,The reformed carina is then sutured to the proximal trachea.
189.529,204.272,"The first stitch is the anterior tripointer bringing the two bronchi together, knots on the outside, the needles taken in and a continuous suture over the medial walls of both bronchi reforming the carina."
205.703,209.769,Lateral stitches are taken between the reformed carina and the proximal trachea.
211.07,221.825,The left lateral stitch is knotted bringing the two ends together tight enough for a snug fit but not so tight so as to cause an override.
221.846,223.468,That's the jet ventilation catheter.
225.01,233.702,Needles brought in on the posterior wall of the carina and the posterior layer is anastomosed using continuous sutures.
236.686,241.531,We need to intermittently ventilate alternate lungs to maintain oxygenation.
244.114,252.743,The sutures are intentionally kept loose so as to equally distribute the tension between each bite and to take the bites more precisely.
254.164,264.735,A nerve hook is used for control tightening and an additional posterior tri-pointer is taken since this is the area of maximum tension of the anastomosis.
267.314,276.907,The right lateral stitch is knotted to bring about a break in the tension of the continuous suture line and to avoid stricturing.
276.927,287.28,The needles brought back in at the carinal end of the anterior layer and continuous sutures are taken for the anterior layer of the anastomosis.
288.965,293.129,Once again sutures are kept loose so that the bites are precise.
294.17,302.178,Each bite at slightly varying lengths from the cutting to prevent the cartilage from fracturing and the suture from breaking through.
304.019,311.286,The last stitch might sometimes be need to be taken blind.
311.306,315.09,Again a nerve hook is used for control tightening of each bite.
316.758,320.221,This is the last knot of our anastomosis.
321.763,330.972,"At this point, we request our anesthesiologist to ventilate both lungs via the endotracheal tube so that we can check for an air leak."
335.076,346.647,A fibrin sealant is applied over the anastomotic line and the previously harvested thymus is wrapped around it.
