start,end,text
6.658,14.123,"Greetings from JK Women Hospital, a centre for advanced endoscopic surgery. Today is a case of repair of an inadvertent bowel injury during a case of previous two LSCs with cervical fibroid."
14.603,54.893,"The surgeon attempts to open the retroperitoneum, but the loops of bowel adherent to it are not clearly visible. Upon approaching the fat, a greenish biliary appearance is discovered, prompting further investigation. Additional dissection reveals an inadvertent injury to the small bowel."
55.393,92.222,"The surgeon uses scissors to make sharp cuts, freeing the bowel from retroperitoneal attachments and mobilizing it to identify the proximal and distal loops, aiming to localize the exact site of the bowel injury."
92.722,127.665,"The surgeon uses cold knife scissors to dissect the bowel, revealing an injury caused by the harmonic device. The freed loop of bowel allows identification of the appendix in the lower frame. The injury is located approximately three to four centimeters proximal to the ileocecal junction on the ileum."
128.165,187.967,"The surgeon closes the bowel injury in two layers, starting with the mucosal layer using Vicryl sutures in a continuous interlocking pattern. The loops are approximated to prevent stricturing, with careful mobilization of both distal and proximal segments to ensure correct suture placement direction."
188.467,207.259,In such situations it is important not to panic. The reason for presenting this video is just to show that bowel injury may appear or may happen even in the simplest of steps.
207.759,251.655,The aim of this video is just to show the repair of a small bowel injury which may be encountered anytime either during severe endometriosis or deep infiltrating endometriosis with loops of small bowel or large colon stuck to the pouch of Douglas or inadvertent bowel injuries like as in this case or injuries due to trocar other instruments or even energy sources like bipolar or harmonic or that is thermal or ultrasound energy.
252.155,331.834,"The surgeon approximates the mucosal layer of the small bowel injury using absorbable suture material in a continuous manner. Following this, the second layer is closed with 3-0 silk on a round body needle in an interrupted fashion to reduce tension and reinforce the mucosal layer."
332.334,395.105,"After approximating the second layer of sutures, the surgeon ties a patch of omentum over the suture line to reinforce the closure of the small bowel injury."
395.605,446.067,"The post-op recovery of the patient was uneventful. Clear liquids were started forty-eight hours after surgery. An abdominal drain was kept in situ for a period of seven days, which was removed thereafter. The patient was discharged on the third post-operative day and followed up. The drain was removed on the seventh post-operative day. after the patient had passed stool and flatus."
446.567,473.208,"The surgeon completes the closure of the second layer of the bowel repair using sutures. A patch of omentum is visibly placed over the suture line to reinforce the closure, showing the final appearance of the repaired area."
