start,end,text
38.018,48.269,"The surgeon mobilizes the omentum and the mesentery of the sigmoid and left colon, providing clear exposure of these anatomical structures."
48.769,62.332,"The surgeon uses hook electrocautery to mobilize the mesentery along the left colon, carefully separating it from surrounding tissues."
62.832,75.555,"The surgeon identifies the left ureter and gonadal vessels, using a gentle sweeping motion to protect these structures by moving them posteriorly."
76.055,98.193,"The surgeon exposes and identifies the inferior mesenteric artery, then follows and exposes the superior hemorrhoidal artery. Hemoclips are applied to the superior hemorrhoidal artery, which is subsequently ligated using ligature."
98.693,109.136,"The surgeon continues the dissection of the rectosigmoid colon, progressing from medial to lateral direction, carefully separating the tissue layers."
109.636,152.974,"The surgeon elevates the rectum anteriorly and releases the posterior attachments to the mesorectal fascia using hook electrocautery. The peritoneal layer along the anterior rectum is then released, and the rectum is separated from the rectovaginal septum."
153.474,168.103,"The surgeon dissects the peritoneum along the anterior aspect of the rectum, continuing until the rectum is fully mobilized and detached from its attachment to the pelvic floor."
181.476,195.941,"The surgeon uses linear cutting staplers to transect the fully mobilized rectosigmoid, and the specimen is removed through a fan and seal incision."
196.441,219.515,The surgeon re-identifies the ureter and the precycle plexus before proceeding with the ligation of the sigmoid colon.
220.015,247.488,"The surgeon secures the anvil to the distal portion of the left colon at the extraction site. Circular staples are used to re-establish bowel continuity in a tension-free manner. The integrity of the anastomosis is confirmed with a water seal test, followed by a flexible sigmoidoscopy."
247.988,307.942,"The surgeon performs a suture rectopexy, securing the rectum to the sacral promontory."
308.442,330.462,"The surgeon measures the pouch of Douglas using a ruler, assessing its dimensions within the pelvic cavity."
330.962,379.205,A biologic mesh measuring seven by three centimeters is placed to obliterate the pouch of Douglas and is sutured in place.
