start,end,text
579.89,608.31,and bronchial anastomosis yes i'm showing the video can you see it yep yes okay yes and to firstly i'm dissecting the arch of the arch and the mediastinal dissection i am finishing right after mediastinal dissection and subcalinal dissection yeah i'm starting to taping bronchus intermedius
608.543,611.869,is caution not to injure a pulmonary artery.
613.752,621.326,And you can see the severe adhesion was there and I've also dissected the adhesion.
621.346,630.703,And here I'm finishing the taping of bronchus and starting to dissect the upper pulmonary vein with stapler.
633.164,644.176,"Here I am finishing cutting the pulmonary vein and followed by pulmonary artery, superior trunk of pulmonary artery."
644.196,653.886,"Yes, after cutting those two vessels, I can see the small blotches are for pulmonary right upper lobe."
653.906,661.855,"After dissecting it, the outside pulmonary artery, we can take the lung arrangement."
662.611,665.756,and to start the cutting of the tissue.
666.497,677.653,"First, anteriorly, we cut the lung parenchyma and here is the posterior side between middle upper lobe and the lower lobe."
677.673,682.681,"Yes, I'm starting to cut to here, the main bluntus, right main bluntus."
683.402,686.426,"Yes, and here is the ten lobe strain."
686.606,690.492,It's very cheap and useful to protect pulmonary artery.
691.636,693.699,"Yeah, right main Blancas is cut."
693.959,697.564,So and continued to Blancas intermedius.
700.748,708.819,"Yes, by cutting here, the right upper lobe is connecting to just part of the only line."
712.064,721.356,"Yes, and the rest of part of the the line by cutting it and I can remove the spacing."
721.792,723.054,of the right of the load.
727.12,731.908,"Yes, after this one, I'm starting to do the Anasto mode."
732.709,739.58,"As I showed at the illustrations, I choose firstly the 3-0, 4-0 maximum."
740.12,745.048,The inside-out and inside-out fashion I place once.
745.703,750.11,And the second one is for the assist of the doctor's side.
750.13,752.073,And here is the third stitch.
754.938,760.847,"After placing three stitches, it is the same manner inside to outside."
761.549,769.922,"And firstly, the deepest stitch starts to be tied."
770.729,778.2,"Yes, after finishing one time and place another stitch outside of the previous one."
779.441,781.605,Inside out and inside out.
782.165,787.553,"Yes, both needle shape is very useful and time."
788.354,791.739,And I try continue to do same fashion.
792.4,799.47,"At the posterior side, I place approximately 10 to 15 stitches."
800.328,825.795,into 13 to 14 stitches image after completion of the back side yes and i put all the all the stitches yes but this what not to do tangy after putting all stitches and to tie all the stitches simultaneously
826.585,830.49,"Yes, and after this one the ceiling test is made."
831.271,835.096,So the checking the smooth inflation is very important.
