start,end,text
4.887,43.365,"The surgeon inspects the area of the symptomatic left angle neural hernia, noting the presence of the sigmoid colon that was previously reduced. The peritoneal dissection is planned to start approximately eight centimeters above the internal ring, with observation of a medial ligament herniating into the defect."
43.865,87.142,"The surgeon creates a lateral flap while maintaining the transversalis fascia on the roof. The dissection transitions to the pre-transversalis space to access the parietal compartment, with the transversalis fascia remaining visible as the plane is developed."
87.642,141.992,"The surgeon performs a zone one dissection lateral to the epigastric vessels to prepare for the placement of an extra-large mid-weight barred mesh. The dissection transitions to zone two, moving into the pre-transversalis space and parietal compartment, where the rectus muscle and bladder are visible. The surgeon extends the medial flap by cauterizing the medial umbilical ligament to prevent bleeding and continues the dissection to remove fat from the pubic bone."
142.492,195.783,"The surgeon identifies a direct inguinal hernia with a pseudosac and proceeds to reduce it, removing the pseudosac. The hernia reduction is facilitated by a fourth arm for retraction, using a lateral eight millimeter port on the patient's left side."
196.283,272.386,"The surgeon completes the dissection of the direct inguinal hernia and transitions to the indirect space, using a fourth arm to retract towards the patient's head. The hernia sac is visible medially as the surgeon applies anterior buzzing and gentle pushing to dissect the space."
272.886,332.602,"The surgeon identifies a sizable cord lipoma associated with the hernia sac. Using the fourth arm for retraction towards the patient's head, the surgeon carefully dissects the sac away from the cord structures."
333.102,382.95,"The surgeon carefully follows the tinting of the peritoneum due to the sliding hernia, visibly identifying the end of the peritoneum and preparing to take it down."
383.45,428.865,"The surgeon identifies the area where the peritoneum needs to be dissected down, located under the epigastric vessels. The median umbilical ligament is seen herniating into the direct space, which is removed. The surgeon continues the zone two dissection, ensuring it extends two centimeters below the pubis. An obturator hernia plug is visible, which will be addressed later."
429.365,496.975,"The surgeon navigates a scarred area, carefully identifying the correct dissection plane to avoid defects in the peritoneum. Laterally, the surgeon stays close to the peritoneum to prevent nerve injury. A cord lipoma or retroperitoneal fat is visible herniating into the indirect space alongside the cord structures, and the surgeon works to delineate these structures from the surrounding fat."
497.475,544.037,"The surgeon identifies a plane for transection, carefully distinguishing between fat associated with the spermatic cord and retroperitoneal fat. A large defect is visible in the indirect space, and the obturator hernia plug is addressed."
544.537,651.83,"The surgeon cautiously dissects around the spermatic cord, using the fourth arm for elevated retraction to improve visibility. A large vein and potentially the obturator artery are visible near the hernia site, requiring careful navigation to avoid damaging vessels associated with the cord."
652.33,754.341,"The surgeon identifies the obturator artery and notes some bleeding while dissecting, using a Raytech to achieve hemostasis. The focus shifts to the right side, revealing a large direct hernia. The surgeon creates a flap approximately eight centimeters above the internal ring, maintaining the transversalis fascia laterally and transitioning to the pre-transversalis fascia medially. The rectus muscle is visible in the parietal compartment, with the epigastric vessels centered in the screen."
754.841,851.265,"The surgeon continues flap dissection in zone two, staying close to the rectus muscle and connecting the dissected space from the left side. Fat is cleared from the pubic symphysis to improve retraction and achieve hemostasis. The anterior abdominal wall is cleared of fat to accommodate two meshes. A wide, shallow direct defect is visible on the right side, along with a femoral hernia component."
851.765,995.401,"The surgeon uses Raytex to maintain hemostasis while dissecting underneath the epigastric vessels. The flap dissection continues laterally, staying close to the peritoneum to identify an indirect hernia. A small amount of fat is observed in the femoral space, but no significant plug is present. The iliac vein is visible medially, and the indirect hernia sac is easily identifiable, revealing a small defect."
995.901,1115.673,"The surgeon inspects the right side for a core lipoma, observing the allopubic tract and noting the absence of a significant lipoma. The peritoneum is dissected down to ensure the mesh fits smoothly without crinkling. The spermatic cord is positioned medially, and the surgeon continues to dissect the peritoneum to achieve the desired triangular configuration. The dissection is checked in the femoral space, two centimeters below the pubis, with additional dissection needed to properly splay the spermatic cord and vessels."
1116.173,1213.933,"The surgeon achieves the desired triangular configuration and returns to the left side to address previous bleeding. They perform additional dissection to bring down the cord lipoma and inspect the direct space. Further dissection is conducted underneath the pubis and in the obturator space, ensuring the cord lipoma is adequately mobilized."
1214.433,1328.723,"The surgeon lifts the peritoneum to check for movement, then secures the mesh using 3-0 Vicryl and 3-0 V-Loc sutures. The extra-large mid-weight meshes are positioned with the transverse line near the inguinal ligament and the vertical line close to the vas, ensuring they fit well without clamshelling. The mesh is carefully tucked below the bladder to prevent clamshelling upon bladder distension."
1329.223,1370.439,"The surgeon sutures the mesh to Cooper's ligament, placing stitches in the anterior lateral and anterior medial positions to ensure stability and prevent movement."
1370.939,1440.431,"The surgeon carefully places a stitch anterior medially, avoiding the inferior epigastric vessels. A stitch is then placed through both meshes and Cooper's ligament to secure them in place."
1440.931,1503.292,"The surgeon passes a stitch and begins closing the peritoneal defects, leaving the median umbilical ligament intact. The pressure is decreased to facilitate the closure process."
1503.792,1641.833,"The surgeon performs a canal stitch using a 3-0 V-lock suture, ensuring no exposed barbs to prevent small bowel obstruction. The fourth arm of the robotic system holds up the peritoneum for efficient suturing. The patient's breathing is visibly affected due to COPD, causing noticeable movement during the procedure."
1642.333,1773.727,"The surgeon runs the suture back a few throws before moving to the other side with another nine-inch, three-oh suture. The lateral area appears thin, prompting adjustment of the fourth arm retraction to improve laxity. A small hole in the peritoneum is visible, which the surgeon plans to close with a vicryl stitch using a figure-eight technique."
1774.227,1805.536,"The surgeon uses a vicryl suture to place a figure-eight stitch, ensuring closure of the peritoneal defect. The mesh is visually checked for proper placement by gently decompressing the area. All stitches and ray tech are removed, marking the conclusion of the procedure."
