start,end,text
59.839,64.242,The surgeon begins the perineal phase by making an incision in the intersphincteric sulcus.
64.742,71.825,"A lone star retractor is placed to facilitate the intersphincteric dissection of the anal canal, providing clear exposure of the surgical field."
72.325,78.789,"The surgeon closes the anus using a Hansen purse string suture, ensuring the maintenance of pneumo-rectum."
79.289,87.051,"The surgeon isolates and detaches the anal vaginal fistula, performing a careful dissection up to the pelvic floor level."
87.551,91.234,"The surgeon induces pneumorectum using a single port device, creating an inflated rectal cavity for enhanced visibility during the procedure."
99.921,123.723,"With a pneumorectum maintained at fifteen millimeters of mercury, the surgeon begins a closed rectal dissection, carefully avoiding injury to nerves and adjacent structures until reaching the peritoneal reflection."
124.223,158.398,"Standard laparoscopic instruments are visible in the surgical field, used for the procedure following the closure of the anus with a Hansen purse string suture."
158.898,170.06,"During the perineal dissection, the surgeon simultaneously closes and abandons the loop ileostomy intraperitoneally, visible within the abdominal cavity."
170.56,178.361,The excess tissue is utilized for the single-port gel point during the procedure.
178.861,237.886,"The surgeon establishes a pneumoperitoneum intraabdominally at fifteen millimeters of mercury, mirroring the pressure used during the rectal phase of the procedure."
238.386,249.909,"The surgeon begins adhesiolysis in the abdominal cavity, using laparoscopic instruments to carefully separate adhesions from surrounding tissues."
250.409,258.752,"The surgeon mobilizes the final segment of the iliorectal anastomosis using standard laparoscopic instruments, with the abdominal cavity prepared through pneumoperitoneum."
259.252,293.331,"The surgeon uses an endogea device to resect the ileum proximal to the iliorectal anastomosis, visually separating the ileum from the surrounding tissue."
293.831,308.797,"The surgeon performs a transperineal extraction of the resected specimen, removing it through the perineal region."
309.297,331.735,The surgeon provides sufficient length of the last ileum loop to prepare for the placement of a new terminal ileostomy.
