start,end,text
34.554,45.208,"As this is a proximal tumour which requires a sleeve, Mr Dunning would need to disconnect the artery and vein first."
45.61,48.313,and disconnect the bronchus last.
49.494,58.263,The surgeon is breaking the pleura over the fissure to get a good view of the pulmonary artery supplying the lower lobes.
62.627,72.377,"As the posterior oblique fissure is being cleaned off, you can get a clear view of the back of the pulmonary artery."
73.353,77.918,Mr Dunning then proceeds in cleaning up the anterior oblique fissure.
83.685,94.318,"As we can see, Mr Dunning has found and is resecting these areas of consolidation for histology to determine the type of tumour."
95.68,102.668,These turned out to be consolidations from distal collapse rather than the tumour itself.
102.766,108.714,We can now observe the surgeon dissecting out the inferior pulmonary vein.
110.697,114.942,Just above it would be the left main bronchus.
116.745,130.343,"After dissecting out and around the inferior pulmonary vein, he then proceeds in placing a yellow solistic sling around the inferior pulmonary vein."
132.297,143.471,"Here, we can see Mr. Daning separating out the upper and the lower lobe bronchus, as this is the area in which the tumour was seen in the scan."
146.375,154.225,"The surgeon then introduces a stapler, a curved 1045 with a gold tip."
155.346,160.212,"He uses it to staple the apical segment of the pulmonary artery,"
161.896,168.206,He then proceeds to staple the lower lobe vein without a curved tip.
171.27,175.757,"Subsequently, the surgeon dissects the upper lobe bronchus."
177.66,184.451,Here we can see the lower lobe pulmonary artery and the lingual artery above it which is preserved.
184.471,187.195,"And next, Mr. Danim."
188.592,196.822,would staple it using a 10-45 on the curved gold tip.
196.842,204.511,"While doing so, he is careful not to staple over previous staple lines as this would blunt the knife of the stapler."
206.854,213.942,The surgeon is now assessing the bronchus to figure out where the tumour might be.
214.934,222.0,"At the same time, he dissects out the bronchus in preparation for resecting it."
224.823,237.334,"Here, Mr Darling is using the scissors with a sleeve to cut distally and cut into the lower lobe bronchus."
238.695,243.76,Here we got a view of the tumour and together with some pus
246.727,254.72,And this pus is due to a lot of distal collapse and superimposed infections.
256.683,260.71,He then carefully remove the lower lobe in the back.
263.494,271.367,"Mr. Dunning then inspects the margin, making sure that we got a nice, decent margin."
273.22,283.092,He then cuts an extra bronchial cuff for frozen segment just to make sure that they have gotten a negative margin.
284.674,289.68,A V-lock suture is then done in a continuous fashion.
291.202,295.828,A second suture is done and stitched in a horizontal mattress fashion.
296.549,301.675,"Finally, a water seal test was done and no bubbles were seen."
