start,end,text
2.113,76.743,Thank you.
77.243,268.066,Thank you.
268.566,321.297,Thank you.
321.797,362.033,Thank you for watching.
362.533,402.303,Thank you for watching.
402.803,430.75,Thank you.
431.25,460.552,Thank you.
461.052,493.081,Thank you.
493.581,581.048,you
581.548,613.578,Bye.
614.078,615.48,Okay. Okay.
615.98,788.84,Okay.
789.34,854.24,Let us pray. Let us pray.
854.74,913.639,Thank you.
914.139,969.273,Thank you.
969.773,1045.183,Thank you.
1045.683,1236.249,music music
1236.749,1298.808,Thank you.
1299.308,1303.469,Thank you.
