start,end,text
8.143,41.286,The surgeon uses sharp dissection and cautery to extensively mobilize the right flexure of the colon during the initial phase of the robotic-assisted Whipple procedure.
41.786,79.334,"The surgeon performs the caulker maneuver using cautery and sharp dissection, reflecting the duodenum medially. The kidney is visible in the background."
79.834,95.277,"The surgeon begins the division of the gastrocolic ligament using an energy device, carefully separating the ligament from surrounding tissues."
95.777,119.223,"The surgeon approaches the gastroduodenal junction, with part of the pancreas gland visible on the screen."
119.723,158.217,"The surgeon identifies the gastroepiploic vessels and the gastrocolic trunk, dividing small attachments of the posterior stomach. The gland becomes more evident on the screen, highlighting the gastroepiploic artery."
158.717,177.129,"The surgeon double clips and divides the gastroepiploic vein, following the same procedure for another vessel, ensuring secure ligation and separation of these structures."
177.629,228.896,"The surgeon navigates around the gastroduodenal junction, using umbilical tape to assist in firing staples distally to the pylorus. The gastroduodenal artery is dissected and divided between clips."
229.396,259.227,"The surgeon extends the dissection towards the hepatic hilum, with the portal vein visible in the background."
259.727,298.323,"The surgeon develops a channel between the superior mesenteric vein, portal vein, and the gland, using cautery to carefully divide the head of the pancreas from the body."
298.823,327.883,The surgeon completes the division of the pancreatic gland and proceeds to dissect the portal vein and superior mesenteric vein from the head of the pancreas. A mechanical stapler is used to divide the intestine from the right side of the patient.
328.383,369.727,"The surgeon uses a vessel sealer to divide the small bowel mesentery, followed by completing the separation of the space between the superior mesenteric vein, portal vein, and superior mesenteric artery using cautery and sharp dissection."
370.227,402.968,"The surgeon divides the common bile duct just proximal to the insertion of the cystic duct, completing the resection of the surrounding tissue."
403.468,460.542,"The surgeon performs a pancreaticojejunostomy, passing proline stitches through the pancreas and intestine. The intestine is opened at the anti-mesenteric border, and a ductal mucosa anastomosis is created using a running suture with 5-0 PDS."
461.042,480.086,"A stent is placed across the anastomosis site to support the connection and prevent leaks, visible within the surgical field."
480.586,541.824,"The surgeon proceeds to the colodocojejunostomy, performing the anastomosis using five OPDS sutures without placing a stent."
542.324,585.032,"The surgeon prepares to perform the final anastomosis between the stump of the duodenum and the jejunum, executing it in two layers as would be done in an open procedure. The completed anastomosis is visible."
