start,end,text
0.852,11.579,This is a fifty-three-year-old male who was presented to the emergency department with nausea and vomiting. He had a CAT scan that showed a distended stomach suspicious for gastric outlet obstruction.
12.079,17.584,He had an EGD which showed a pinpoint opening at the level of the pylorus.
18.084,29.592,A conservative treatment failed which was MPO placing him on TPN and giving him protonics and decompressing the stomach with NG tube.
30.092,39.737,So we decided to take him to the operating room and perform distal gastrectomy with reconstruction either with a Roux-en-Y or a Billeroth II.
40.237,55.083,"The surgeon suspends the left lateral segment of the liver by placing a Keith needle with silk suture to the crura, positioning it off to the right side of the falciform ligament."
55.583,71.668,The patient was very small despite placing all of the ports below the level of the umbilicus. You can see that it was very hard kind of moving the instruments around.
72.168,77.67,"The surgeon attempts to enter the lesser sac, maneuvering instruments to access this anatomical space."
78.17,85.515,"The surgeon incises the gastrocolic omentum using a vessel sealer, creating an opening to access the lesser sac."
86.015,95.665,"The right gastroepiploic artery is visible, with the transverse colon located below it in the surgical field."
96.165,110.682,"The surgeon incises the gastrocolic omentum below the right gastroepiploic artery, carefully avoiding injury to the underlying transverse colon."
111.182,128.566,"The surgeon encounters severe inflammation at the level of the pylorus, leading to adhesions between the transverse colon, gallbladder, and pylorus. Careful dissection is performed to separate these structures."
129.066,141.527,"The surgeon continues to incise the gastrocolic omentum, further opening the pathway to the lesser sac."
142.027,158.896,"The surgeon retracts the stomach to enhance exposure of the surgical field, providing a clearer view of the underlying structures."
159.396,177.113,"The surgeon further retracts the stomach to gain access to the lesser sac, enhancing the exposure of the surgical field."
177.613,185.678,"The surgeon encounters severe adhesions between the gallbladder and the stomach, visible as dense fibrous tissue connecting these structures."
186.178,194.363,"The surgeon retracts the gallbladder to expose and identify the duodenum, noting the typical anatomical position where the gallbladder rests upon the duodenum."
194.863,219.942,"The video shows severe adhesions resulting from inflammation caused by a peptic ulcer, visible in the surgical field."
220.442,260.762,"The surgeon carefully dissects and removes adhesions between the gallbladder and surrounding structures, ensuring not to penetrate the gallbladder itself."
261.262,271.627,"The surgeon carefully dissects in the area above the common bile duct, which is deeper than the current dissection level, due to severe inflammation in the surrounding tissues."
272.127,297.617,"The surgeon examines the area above the lesser curvature of the stomach and dissects what appears to be the right gastric vessels, carefully navigating through the severe adhesions."
298.117,330.109,"The surgeon uses the XI robot with a cotter setting of two, equivalent to twenty on the SI robot, to continue the dissection. Bleeding occurs, and pressure is applied to control it while maintaining composure."
330.609,347.48,"The surgeon examines the area and identifies the splenic vein, noting the patient's abnormal anatomy."
347.98,364.098,"The surgical ports are visibly placed below the level of the umbilicus. The stomach appears large and redundant, complicating the lower dissection process."
364.158,395.745,The surgeon enters the lesser sac and uses a bipolar instrument to incise the gastrocolic omentum below the level of the right gastroepiploic artery.
396.245,408.591,The surgeon continues dissection distally towards the patient's right side to reach the base of the right gastroepiploic pedicle.
409.091,420.72,"The transverse colon is visible on the left side of the screen, alongside the gastrocolic trunk."
421.22,432.155,"Typically if you follow that, it will lead you to the superior mesenteric vein."
432.655,448.145,"The surgeon incises the attachments between the stomach and the pancreas, carefully separating these structures."
448.645,609.19,"The stomach is retracted to enhance exposure, revealing the right gastroepiploic vessels clearly visible in the surgical field."
609.69,628.842,"The surgeon clips the artery and vein, then transects them using a vessel sealer, completing the separation of these vessels."
629.342,653.744,"The surgeon continues to dissect and remove the remaining gastrocolic omentum, which is visible in the surgical field."
654.244,698.469,"The video shows inflammation in the surgical field, with the pylorus visibly adherent to the head of the pancreas."
698.969,719.294,"The pancreas is visible above the level of the lesser curvature of the stomach, with the splenic vein identifiable adjacent to it."
719.794,738.839,The surgeon identifies the left and right gastric vessels while the tail of the pancreas is visible towards the hiatus on the right side of the screen.
739.339,754.025,"The surgeon incises the hepatogastric omentum, visibly separating it from surrounding structures."
754.525,768.082,"The surgeon identifies the inferior border of the pancreas, visible in the surgical field."
768.582,804.276,"The surgeon prepares to transect the proximal stomach, ensuring the entire antrum is resected during the distal gastrectomy. The incision is made through half of the lesser curve, aiming to include at least thirty-five percent of the greater curve or the fourth branch of the right gastroepiploic artery."
804.776,825.696,"A green load stapler is used to transect the stomach, with compression maintained for at least one minute before the transection."
826.196,849.54,"The surgeon completes the transection of the stomach and attempts to find a plane to separate the pylorus from the head of the pancreas. Due to difficulty in achieving this separation, the procedure is converted to an open approach."
