start,end,text
1.808,11.455,I'm Vahag Nicolian and today we'll be talking about one of the most important things in minimally invasive inguinal hernia repair and that's the critical view of the myopectinial orifice.
11.955,17.718,We're going to use a case of a recurrence to talk about the important elements of this view.
17.738,25.303,I have a sixty-five year old man with a prior history of a left open inguinal hernia repair with mesh and an open appendectomy.
25.343,29.406,"He presented with classic symptoms of recurrence, fullness, bulge."
29.466,31.928,He denied any severe pain.
32.428,33.989,He had no major comorbidities.
34.129,40.515,"He had an inguinal scrotal hernia on exam, which was partially reducible and had minimal tenderness."
41.015,42.616,We had multiple options to consider.
43.037,48.401,"We could do a redo open operation, though guidelines recommend against this."
48.901,54.266,"MIS, totally extraperitoneal, or ETEP approach is definitely an option."
54.766,60.331,But the preferred approach for many of us in the hernia center here is a minimally invasive
60.797,82.22,robotic transabdominal preperitoneal repair and we'll talk about why we do it that way and more importantly the view that we're aiming to obtain prior to placing mesh so for this gentleman we plan for mis transabdominal preperitoneal repair whenever doing this operation some important
82.72,97.883,"steps to the overarching goals, lysis of adhesions and hernia reduction, peritoneal flap development, establishing a critical view, placing your mesh, fixating it, and then closing your peritoneal flap."
98.383,106.345,So the critical view of the myopectenial orifice is something that was described by Dr. Jorge Diaz and Edward Felix some years back.
106.685,111.276,And what it tried to do was develop a standardized approach
111.776,114.38,to minimally invasive inguinal hernia repair.
114.88,123.893,Some concrete specific things that need to be accomplished to ensure that you will have a good outcome with your operation.
124.393,128.279,So what does the critical view of the myopectinal orifice
128.779,129.3,require.
129.58,133.721,"The surgeon identifies and dissects the pubic tubercle across the midline, focusing on the anatomical structure during the procedure."
134.201,141.664,"Depending on the type of hernia, more for directs than indirects, you definitely want to get at least two centimeters beyond midline."
142.164,145.505,The surgeon assesses the direct space to visually confirm the absence of a direct hernia.
145.545,150.067,"The surgeon dissects the area between Cooper's ligament and the bladder, ensuring a separation of two centimeters."
150.567,156.165,"The surgeon assesses the femoral space and indirect space, while parietalizing the cord elements to ensure proper anatomical separation and visualization."
156.665,158.707,"The surgeon visually assesses the area for the presence of a cord lipoma, examining the cord elements for any abnormal fatty tissue."
159.207,162.691,"The surgeon dissects laterally to the spermatic cord, extending the dissection beyond the anterior superior iliac spine (ASIS)."
163.191,165.413,"The surgeon prepares the surgical field for mesh coverage, ensuring adequate space and positioning for the mesh placement."
165.913,170.438,The surgeon prepares to place a surgical mesh with dimensions of at least fifteen by ten centimeters in the dissected area.
170.938,180.066,"So with that in mind, let's look at a case of a recurrence, a relatively challenging case for some, where we're going to definitively establish the critical view."
180.166,183.666,"The surgeon begins creating the initial peritoneal flap, carefully incising the peritoneum to expose underlying structures."
184.166,187.768,"The surgeon observes the thin peritoneum on the lateral aspect of the patient's abdominal cavity, noting its delicate appearance."
187.808,190.75,"The surgeon navigates within the pre-transversalis plane, revealing the anatomical layers and structures in this area."
191.25,198.074,"The surgeon begins the dissection, developing a peritoneal flap and progressing medially towards the pubis."
198.534,204.338,"The video shows a medial recurrence after an open repair, with visible anatomical structures indicating the location of the recurrence."
204.458,209.08,"The surgical field shows a recurrence that appears to be in a direct space, but is actually located more medially than the typical direct space."
209.1,211.699,This is considered a non-anatomic recurrence.
212.199,217.722,and is the most classic presentation of recurrence after open inguinal.
218.222,219.103,Why does this happen?
219.603,225.666,"Whenever performing open inguinal, oftentimes people don't adequately cover the pubic tubercle with mesh."
226.166,228.467,So medial recurrences are much more common.
228.967,231.609,So now we're working towards the area of the recurrence.
231.669,236.572,"Again, you can see that it's much more medial than you would expect for a direct defect to be."
237.072,239.88,And we're going to start working on reducing
240.38,241.4,"The surgeon focuses on the hernia sac, preparing to manipulate or reduce it as part of the procedure."
241.52,243.561,"The surgeon encounters adhesions within the hernia sac, indicating areas where the tissue is abnormally attached."
244.061,254.043,"Anteriorly, though we did not encounter or see it, there's mesh, and it's going to be associated with more adhesions than you usually have for, say, a direct hernia."
254.543,268.255,"The surgeon incises the transversalis fascia, which is adhered to the incarcerated fat, and begins the reduction of the herniated fat."
268.755,273.878,"The surgeon is working on reducing a hernia, with approximately baseball-sized fat visible within the hernia sac."
274.378,282.783,"You want to make sure to have good tension with your non-dissecting instrument, continuous tension."
282.883,292.328,The surgeon identifies the areolar fibers of the adhesions and carefully dissects them to reduce the herniated fat.
292.828,295.973,Some would argue that we should try to placate this whole closed
296.473,302.697,I try to avoid any placation just because I'm always worried about nerve entrapment.
303.197,316.626,"The surgeon has completed circumferential dissection and is now focusing on medial dissection, manipulating tissue layers in the surgical field."
317.126,322.67,"The surgeon performs medial dissection around Cooper's ligament and the pubis, carefully separating tissue in this anatomical region."
323.17,328.854,"The surgeon ensures thorough dissection two centimeters posterior to the previously identified landmark, maintaining clear separation of tissue layers."
329.354,333.276,"The surgeon develops a space between the pubis and the bladder, carefully dissecting the tissue to create a clear separation between these anatomical structures."
333.776,335.658,"The surgeon indicates the midline, which is visible in the surgical field."
336.158,342.581,"The surgeon continues the dissection, having crossed the midline, and proceeds with a more aggressive approach due to a very medial recurrence."
342.641,345.203,"The surgeon performs contralateral dissection, focusing on the area opposite to the previously dissected medial region near Cooper's ligament and the pubis."
345.703,346.003,Great.
346.323,349.225,"The surgeon develops the lateral flap, creating a visible separation between the tissue layers adjacent to the previously developed space between the pubis and the bladder."
349.725,351.188,"The surgeon develops the lateral flap, focusing on the area lateral to the midline."
351.688,375.853,The surgeon adjusts the surgical field to accommodate the eventual placement of mesh. The prominent vas deferens and the distal aspect of the medial umbilical ligament are visible as the surgeon pulls medially to parietalize the cord elements.
376.353,391.384,"The surgeon pulls on the tissue to achieve good retraction, providing clear exposure of the vas deferens. Electrocautery is used on surrounding inconsequential tissues."
391.884,393.305,"The surgeon continues to parietalize the cord elements, manipulating the prominent vas deferens and surrounding structures."
393.385,401.627,"The surgeon demonstrates the imaginary line between Cooper's ligament and the area of lateral dissection, highlighting the spatial orientation of these anatomical landmarks."
402.127,406.03,have to connect to one another and we have to have our mesh lay in that space.
406.07,409.993,So clearly not adequately dissected just yet.
410.493,412.955,"The surgeon continues the process of parietalization, manipulating tissue to achieve better exposure of the surgical field."
412.995,420.981,"The surgeon exposes a prominent vas deferens, clearly visible within the surgical field."
421.481,427.644,"The surgeon pushes the tissue until it is lateralized, aligning it with the imaginary line between Cooper's ligament and the lateral dissection area."
428.144,455.823,"The surgeon identifies other cord elements and notices a small hole in the thin peritoneum laterally. They grasp the tissue to develop a better lateral flap. A tubular structure is visible, identified as a medial ligament."
456.323,462.095,a really nice view and we're going to review the critical view of the myocardial orifice in this particular case.
462.135,465.395,"The surgeon begins dissection of Cooper's ligament, focusing on separating it from surrounding tissues."
465.895,471.66,"The surgeon dissects towards the contralateral Cooper's ligament, ensuring the tissue is carefully separated and exposed."
472.16,479.426,"In this particular case, because it's such a medial recurrence, you want to see contralateral coopers."
479.926,482.148,"The surgeon dissects in the direct space, focusing on separating tissue layers in this area."
482.188,486.171,"The surgeon identifies the direct space, which is located more medially than the hernia in this patient."
486.191,490.899,"The surgeon examines the hernia, which appears to be a combination of a former direct hernia, assessing its characteristics and location."
491.399,493.602,as well as a medial recurrence.
494.102,507.961,"The surgeon dissects between the bladder and the pubis, creating a space approximately two centimeters wide to allow the mesh to lay flat medially and remain stable during bladder distension."
508.461,510.081,"The surgeon begins dissection in the femoral space, carefully separating tissue layers to expose the anatomical structures within this area."
510.121,522.384,"The surgeon inspects the femoral space, ensuring there are no femoral hernias present that could lead to future recurrence."
522.884,523.884,The indirect space.
523.904,526.505,This patient's prior indirect hernia had been addressed.
526.845,528.805,They had no indirect hernia.
529.305,538.727,We made sure that during the operation clearly did not have any defects there or anything other than the cord structures entering into the
539.227,540.148,deep ring.
540.648,546.249,"The surgeon parietalizes the spermatic vessels and vas deferens, ensuring they are appropriately separated from surrounding tissues."
546.289,554.793,"The surgeon prepares to lay the mesh flat over the surgical area, ensuring that the anatomical structures are properly oriented with the mesh."
555.293,558.154,"Cord lipomas, there was no cord lipoma in this case."
558.214,569.767,"The surgeon examines the area lateral to the spermatic vessels to identify the iliopubic tract, confirming the absence of a cord lipoma."
570.267,581.096,"The surgeon visualizes an imaginary line extending from the posterior aspect of Cooper's ligament beyond the lateral flap, aligning the surgical field for further steps."
581.156,586.26,"The surgeon ensures that the peritoneal flap remains below the imaginary line extending from the posterior aspect of Cooper's ligament, maintaining proper orientation with the mesh."
586.76,592.185,"If it is, you have to ask yourself whether or not you've done an adequate lateral dissection."
592.685,596.409,"So now let's get into a fun topic, covering the area with mesh."
596.909,602.453,Let's talk about sort of my general principles for how to use mesh in a minimally invasive inguinal hernia.
602.953,604.073,Sizing recommendations.
604.394,606.475,I base it based on patient height.
606.635,610.477,"So if a patient's greater than six feet, I'm almost always gonna go with XL."
610.837,612.779,"If they're less than six feet, I'm gonna go large."
612.899,615.16,"I never use medium, I never use small."
615.66,621.564,"Again, one of the rules for the critical view is to use a mesh at least fifteen by ten centimeters."
622.064,623.305,"Next, mesh weight."
623.805,624.934,Mesh weight.
625.434,627.898,"If at all possible, I like to use lightweight mesh."
628.398,633.606,"For direct defects or large indirect defects, heavier weight mesh is better."
634.106,638.152,"For indirect femoral and obturators, lightweight mesh is good."
638.652,642.977,"In this case, we're going to use mid-weight because it's not that large of a recurrence."
643.477,646.718,"It's a relatively small defect, so we're gonna use a mid-weight."
647.218,649.479,"And then finally, fixation recommendations."
