start,end,text
21.889,27.45,"The surgeon encounters a dense inflammatory rind surrounding the gallbladder, making manipulation challenging during the robotic cholecystectomy."
27.95,31.451,The IC green dye fails to illuminate through the inflamed tissue surrounding the gallbladder.
31.951,34.912,"The surgeon encounters bleeding at a closed node during the procedure, indicating a challenging surgical environment."
41.535,49.519,"The surgeon utilizes aggressive graspers and wristed instruments, including a wristed suction irrigator, to manipulate the dense inflammatory rind of the gallbladder."
50.019,54.621,"Two additional ports are placed to the left and right of the single incision port, expanding the access for the robotic instruments."
55.121,60.665,"The camera and assist port are positioned at the umbilicus through the single incision port, maintaining their placement for the procedure."
73.352,76.775,"The surgeon uses the wristed suction irrigator for blunt dissection, maneuvering the instrument to separate tissue layers."
77.275,82.578,The surgeon uses an instrument to make significant progress in dissecting the tissue posterior to the gallbladder.
88.361,90.595,"The surgeon isolates the cystic artery, separating it from surrounding tissues within the surgical field."
101.337,104.478,"The artery is visibly terminating on the gallbladder wall, indicating its anatomical endpoint."
104.978,111.24,The surgeon applies three clips to the cystic artery and transects it using an electrocautery device.
111.74,118.523,"The surgeon carefully makes progress in the vicinity of the critical view, meticulously dissecting and exposing anatomical structures with slow and deliberate movements."
119.023,122.545,"The cystic duct becomes visible in the surgical field, allowing for further identification and manipulation."
123.045,131.991,The surgeon observes significant inflammation around the critical view area and decides to proceed with a subtotal cholecystectomy due to the challenging anatomical conditions.
132.491,140.716,"The surgeon approaches a subtotal cholecystectomy by identifying a safe point at the infundibulum and another safe point posterior to the gallbladder, preparing for careful dissection."
141.216,147.97,"The surgeon transects the gallbladder along a line connecting the identified safe points at the infundibulum and posterior to the gallbladder, using robotic instruments."
148.47,153.333,"The surgeon encounters some bleeding while controlling the cystic artery, despite the use of clips."
153.833,161.958,"The surgeon completes dissection through the back layer of the gallbladder, resuming the dissection plane along the gallbladder fossa, with visible tissue separation."
162.458,165.94,"A small fragment of the gallbladder remains visible in the surgical field, following the subtotal cholecystectomy approach."
166.44,174.905,The surgeon observes minimal mucosal surface exposure with the cystic duct located approximately half a centimeter from the transected infundibulum.
175.405,180.109,"The surgeon uses a Proline suture to over-sew the remaining segment of the gallbladder, securing the tissue in place."
180.609,183.732,"The surgeon begins suturing at the far end of the gallbladder, using robotic instruments to secure the remaining segment."
184.232,189.596,"The surgeon applies the first layer of a running suture to co-apt the edges of the mucosa on the gallbladder, ensuring the mucosal surfaces are aligned."
190.096,197.703,"The surgeon applies the first layer of running suture to the edges of the gallbladder wall, effectively controlling minimal bleeding at the suture site."
198.203,205.5,"The surgeon carefully places a superficial suture to avoid inadvertently suturing or narrowing the common hepatic duct, ensuring the suture remains above deeper structures."
206,212.983,"The surgeon visualizes the needle passing through each end of the mucosal surface of the gallbladder, ensuring the suture depth remains safe and appropriate."
213.483,222.873,"The surgeon runs the suture back to its origin, completing a two-layer closure over the stump of the gallbladder."
244.654,252.439,"The surgeon irrigates the area around the closed cystic duct, ensuring hemostasis is achieved where necessary."
252.939,259.938,"The surgeon prepares to remove the remainder of the gallbladder from the liver bed, ensuring optimal exposure for the procedure."
269.202,271.463,"The surgeon irrigates the surgical bed thoroughly, ensuring the area is clean and prepared for further steps."
271.963,276.946,"The surgeon places a drain through an 8mm port, positioning it adjacent to the suture line for effective drainage."
281.868,284.149,The surgeon removes the gallbladder from the abdomen following its detachment from the liver bed.
284.649,291.866,"The surgeon closes the fascia using PDS sutures, followed by closing the skin with interrupted monocryl sutures and applying steristrips for additional support."
