start,end,text
124.138,142.351,The surgeon incises the peritoneum medial to the right iliac vessels and mobilizes the mesentery from the retroperitoneum using a medial approach. The left ureter is identified during the procedure.
142.851,187.278,"The surgeon continues dissection medially behind the inferior mesenteric artery (IMA) and initiates lymphadenectomy at the IMA origin. The dissection progresses laterally to connect with the previously performed medial dissection. The lymphadenectomy is completed, and the superior rectal artery and left colic artery are identified."
187.778,210.778,"The surgeon uses a robotic stapler with a vascular load to transect the superior rectal artery. The colonic mesentery is divided using a robotic vessel sealer, and the sigmoid colon is transected with a robotic stapler, freeing the upper specimen."
211.278,256.451,"The surgeon performs a posterior total mesorectal excision (TME) within the mesorectum envelope, progressing down to the pelvic floor. The rectum shifts anteriorly as the dissection reaches deeper into the pelvis. Fibrotic tissues from previous radiation are visible in the surgical field."
256.951,278.782,"The surgeon mobilizes the rectum circumferentially along the right and left rectal walls, continuing the dissection anteriorly to remove the uterus and vagina en bloc with the rectum, assisted by the gynecology-oncology team."
279.282,322.666,"The surgeon divides the round ligaments bilaterally and opens the retroperitoneal space. The infundibulopelvic ligaments are isolated, coagulated, and divided bilaterally. The bladder is dissected down anteriorly by approximately four to five centimeters. The uterine vessels are skeletonized, coagulated, and divided. A uterine manipulator is inserted into the endometrial cavity before making the incision."
323.166,347.598,"The surgeon takes additional bites of the cardinal ligaments to secure them to the uterine manipulator. The dissection continues as the vagina is separated from the bladder distally, with careful attention to ensure both ureters remain intact."
348.098,379.366,"The surgeon transects the levator muscles along the right, left, and posterior planes. The dissection continues anteriorly, separating the tissue plane between the bladder and the vagina."
379.866,411.552,"The uterine manipulator is removed, and the robotic system is undocked. An elliptical incision is made encompassing the perianal skin and the posterior right and left walls of the vagina. Dissection proceeds into the ischioanal and ischiorectal spaces. Attention is then shifted to the reconstruction of the vaginal and perineal wounds."
412.052,442.532,"A longitudinal incision is made through the left medial posterior thigh to identify the gracilis muscle. The muscle is divided at its distal portion and elevated from its bed in a distal to proximal fashion. Once the flap is fully mobilized, a counterincision is created, and the muscle is transposed into the perineal defect. The distal ends of the two muscles are sutured together."
443.032,459.785,"The muscle flaps are inverted into the perineal wound and secured to the surrounding tissue. A specimen picture is shown, demonstrating a high-quality total mesorectal excision (TME) with no visible signs of positive margins."
