start,end,text
21.53,119.208,"The surgeon uses a harmonic scalpel to mobilize the hiatus during a minimally invasive esophagectomy. The dissection is performed carefully to avoid injuring the gastro-epiploic artery, starting away from the stomach and creating an opening in the omental vessels to access the lesser sac."
21.53,119.208,"The surgeon performs a minimally invasive esophagectomy, beginning with a diagnostic laparoscopy to check for metastatic deposits. Using a harmonic scalpel, the hiatus is mobilized, avoiding excessive dissection in the chest to prevent pleurotomy. The stomach is mobilized by carefully dissecting away from the gastro-epiploic artery, creating an opening in the omental vessels to access the lesser sac."
119.708,320.327,"The surgeon continues the dissection away from the greater curvature of the stomach, carefully avoiding the gastroepiploic artery. The dissection progresses towards the short gastric vessels, with attention to prevent bleeding. Retrogastric adhesions are taken down, revealing the anterior surface of the pancreas. The left gastric artery is mobilized, and a stapler is used to divide it with a vascular load. The distal esophagus is exposed, and the left gastric bundle is stapled off. The surgeon finishes removing adhesions at the hiatus before focusing on creating the gastric conduit."
119.708,257.872,"The surgeon carefully dissects near the greater curvature of the stomach, ensuring the gastroepiploic artery remains visible to avoid injury. The dissection progresses towards the short gastric vessels, with caution to prevent bleeding. Retrogastric adhesions are meticulously taken down, revealing the anterior surface of the pancreas. The surgeon mobilizes the stomach further by addressing omental vessels and clears the peritoneal covering around the left gastric artery, preparing to mobilize the posterior aspect of the right crus."
258.372,368.508,"The surgeon uses a vascular stapler to transect the left gastric artery and vein, improving exposure of the distal esophagus. The harmonic scalpel is employed to clear adhesions at the hiatus. The gastric conduit is created using a stapler with a gray load, aiming for a four-centimeter width. The apex of the stomach is pulled into the left upper quadrant to prevent folding during the final stapling."
320.827,496.165,"The surgeon uses a gray load stapler to create a four-centimeter wide gastric conduit along the lesser curve, carefully pulling the apex of the stomach into the left upper quadrant to prevent folding. A feeding tube is placed in the left lower quadrant using a 22-gauge needle and stay suture, secured with an endo-stitch about thirty centimeters distal to the ligament of Treitz. The feeding tube is advanced with saline, and an anti-volvulus stitch is placed. The surgeon then proceeds with aggressive mediastinal dissection, noting the unclear planes due to neoadjuvant chemoradiotherapy."
369.008,496.165,"The surgeon uses the right lower quadrant port to pull the stomach down, straightening the gastric conduit for easier stapling. A feeding tube is inserted in the left lower quadrant, identified with a 22-gauge needle, and secured with a stay suture from the abdominal wall to the anti-mesenteric side of the jejunum, approximately 30 centimeters distal to the ligament of Treitz. The laparoscopic Barone feeding jejunostomy set is used, with a dilator and feeding tube inserted, and 60 cc's of saline pushed into the tube to facilitate distal advancement. The feeding tube is tacked to the abdominal wall, followed by an anti-volvulus stitch placed 3-4 centimeters distal to the tacked area. The surgeon then proceeds with aggressive mediastinal dissection, noting unclear planes due to the patient's neoadjuvant chemoradiotherapy."
496.665,644.877,"The surgeon enters the left pleural space, revealing the lung and a floppy diaphragm. The mediastinal fat attached to the pleura is dissected. The patient is positioned in the left lateral decubitus position, and the gastric conduit is sutured to the specimen in an anatomical position. The VATS procedure begins with the dissection of the inferior pulmonary ligament, exposing laparoscopic work and mobilizing the ligament to the inferior pulmonary vein. A diaphragm stitch is placed for better exposure. The azagus vein is mobilized and transected with a vascular load. The mediastinal pleura is dissected using a harmonic scalpel down to the level of the azagus vein and further to the hiatus."
496.665,644.877,"The surgeon enters the left pleural space, revealing the lung and a floppy diaphragm. The mediastinal fat is attached to the pleura, which is taken down before suturing the gastric conduit to the specimen in an anatomical position. The VATS procedure begins with the dissection of the inferior pulmonary ligament, exposing laparoscopic work and mobilizing the ligament to the inferior pulmonary vein. A diaphragm stitch is placed for better exposure. The surgeon then focuses on the azygos vein, mobilizing it inferiorly and superiorly before transecting it with a vascular load. The mediastinal pleura is dissected using a harmonic scalpel down to the level of the azygos vein and further to the hiatus."
645.377,799.088,"The surgeon performs a mediastinal lymph node dissection and mobilizes the esophagus, working anteriorly to sweep subcranial nodes into the specimen. The area is vascular, requiring clipping of aeroesophageal vessels to prevent bleeding. The esophagus is swept off the pericardium, and once half is mobilized, the gastric conduit is pulled into the chest for better mobility. The conduit is disconnected from the esophagus, and clips are used liberally during medial dissection. The thoracic duct is clipped if visible, and dissection continues at the level of the azygos vein, improving exposure."
645.377,799.088,"The surgeon divides the pleura and begins mediastinal lymph node dissection, mobilizing the esophagus anteriorly. Subcranial nodes are swept into the specimen side, and aeroesophageal vessels are clipped to prevent bleeding. The esophagus is swept off the pericardium, and nodes are incorporated into the specimen. Once half of the esophagus is mobilized, the gastric conduit is pulled into the chest, enhancing esophageal mobility. The conduit is disconnected from the esophagus, and clips are used liberally during medial dissection. The thoracic duct is controlled with clips if visible, and dissection continues at the level of the azygos vein, improving exposure."
799.588,1019.897,"The surgeon identifies and clips the thoracic duct before transecting it. The esophagus is mobilized and transected using a blue load stapler from the anterior ten millimeter port. The Orville stapler is used to create an anastomosis, with the anvil passed through the mouth via an orogastric tube. A purse string is placed around the anvil to ensure a snug fit for complete donuts upon firing the EEA stapler. A gastrotomy is created along the staple line, and suction is used to manage gastric content spillage. The gastric conduit is pulled into the stapler using the foot going into the sock technique, and the needle is mated with the anvil. The stapler is removed, and the completeness of the donuts is verified. An NG tube is passed into the gastric conduit."
799.588,946.478,"The surgeon clips and transects the thoracic duct, followed by mobilizing the esophagus as high as possible. The esophagus is then transected using a blue load stapler inserted through the anterior ten millimeter port. The Orville stapler is used to create an anastomosis, with the anvil passed through the mouth via an orogastric tube. A small hole is made on the esophageal staple line to pull the anvil through, and the blue string is cut to detach the tube. A Swedish DeBakey is used to grab the anvil, and a purse string is placed around it to ensure a snug fit for firing the EEA stapler, resulting in two complete donuts. The muscle retraction is managed by the purse string, which brings the esophageal wall together. A gastrotomy is created along the staple line, ensuring the correct position of the gastric conduit."
946.978,1085.875,"The surgeon opens the stomach, preparing suction to manage potential spillage of gastric contents into the pleural space. The gastric conduit is pulled into the stapler using the 'foot going into the sock' technique, and the needle is deployed to mate with the anvil. The Swedish DeBakey is used to hold the anvil, facilitating the mating process. The stapler is removed, and the completeness of the donuts is examined. An NG tube is passed into the gastric conduit, visible through a thirty-degree camera view. The gastrotomy is closed with one or two firings of the blue load, and the omental flap is used to cover the anastomosis, sutured to the prevertebral fascia."
1020.397,1085.875,"The surgeon uses a 30-degree camera to visualize the anastomosis. After placing the NG tube, the gastrotomy is closed with one or two firings of the blue load stapler. An omental flap is used to cover the anastomosis, which is then sutured to the prevertebral fascia."
