start,end,text
38.876,40.316,The surgeon removes the drain from the surgical site.
71.869,75.632,"The surgeon addresses small bowel adhesions in the pelvis, carefully separating the adhered tissue."
75.793,81.458,The surgeon performs laparoscopic lysis of adhesions for approximately thirty minutes in preparation for docking the robotic surgical system.
95.121,111.69,"The surgeon carefully separates loops of small bowel from the pelvic region, ensuring no inadvertent injuries occur during the dissection."
112.19,121.301,"The surgeon observes the loops of small bowel adhered to the dome of the bladder, where a large bladder fistula was present during the original sigmoid resection."
145.263,166.701,"The surgeon carefully manipulates the loops of small bowel, which are visibly adherent to surrounding structures, emphasizing the importance of avoiding inadvertent injuries during the dissection."
167.201,185.213,The surgeon introduces a suction device into the surgical field to assist with the ongoing dissection of the small bowel loops.
185.713,206.302,"The surgeon successfully frees one loop of small bowel from its adhesions, with several more loops remaining to be separated."
206.802,244.349,"The surgeon addresses excessive oozing by packing the area with sponges to improve visibility, occasionally using Surgicel to control bleeding."
244.849,264.706,"The surgeon works within the retroperitoneal plane, which is considered safer at this stage of the dissection, to mobilize and free the loops of small bowel that are densely adherent to the bladder."
265.206,286.16,"The surgeon works on the lateral side of the surgical field, manipulating tissue to safely bring it to a point where it can be taken down."
286.66,295.582,"The surgical field reveals a large hydrosalpinx on the right side, while the rectum has not yet been visualized."
296.062,306.449,"The surgeon ruptures a large hydrosalpinx and proceeds to drain its contents, which may be visually observable as fluid being released from the structure."
306.949,325.124,"The surgeon accesses a deeper cavity, initially concerned it might be the rectum or bladder, but identifies it as a blind cavity and proceeds to unroof it extensively."
325.624,340.963,"The surgeon performs a rectal leak test and injects methylene blue into the bladder to confirm the presence of a blind-ending cavity. The cavity does not enhance with ICG, and there is no Foley catheter visible, indicating no concern for bladder involvement."
341.043,356.135,"The surgeon removes the right adnexa from the midline, revealing pus emerging from the hole in the rectal stump, which is being suctioned."
356.635,387.992,"The surgeon successfully removes the right adnexa, revealing the rectal mesentery in the midline."
388.492,402.035,The surgeon inspects the surgical field to ensure there are no additional pockets or fluid collections deeper within the cavity after freeing the previous structure.
402.535,413.698,"The surgeon performs a leak test on the rectal stump, visibly demonstrating air spurting out from the top of the hole in the stump."
414.198,431.266,"The surgeon begins working on the left adnexa, which is visibly affected by a large abscess."
431.766,445.073,"The surgeon uses blunt dissection to navigate into the proper tissue planes, addressing any bleeding by applying sponges and Surgicil to control it."
465.157,494.9,"The surgeon navigates around the left tubo-ovarian abscess (TOA), addressing persistent bleeding by applying a surgical cell and another sponge to control the hemorrhage."
495.4,525.497,"The surgeon exchanges sponges to clean the surgical field, revealing the rectal stump lumen. Pus is observed egressing from the left adnexa, indicating a fistula to the rectal stump leak."
525.997,612.721,"The surgeon compresses the giant left tubal ovarian abscess, causing pus to ooze out visibly, aiming to completely drain the abscess."
613.221,622.649,"The surgeon completes the dissection to free the remaining adnexa, ensuring there are no trapped collections or fistulous communications to the rectum."
622.669,646.16,"The surgeon performs blunt dissection to enlarge the opening of the abscess cavity, ensuring complete drainage of the pus."
646.66,679.86,"The surgeon has separated both adnexa from the midline structure, identified as the rectum, and is assessing whether to staple or suture the area closed. The uterus is visible in the surgical field."
693.143,703.806,"The surgeon evaluates the rectal stump, deciding to suture it closed rather than amputate additional tissue, ensuring the stump's appearance is satisfactory."
703.826,730.677,"The surgeon mobilizes the edges of the rectal stump to prepare for sutured closure, using a three OV lock suture to secure the tissue."
731.177,758.422,"The surgeon takes large bites of tissue with a suture needle, likely to ensure a secure closure of the surgical site."
758.922,825.572,"The surgeon uses a Proline suture to mark the rectum and reinforce the inner absorbable layer, creating a second permanent layer for closure."
826.072,844.713,"The surgeon leaves a long suture tail and performs a final inspection, cleaning the surgical area. A leak test of the rectal stump is conducted, showing no leakage. A pelvic drain is placed."
