start,end,text
30.598,72.366,"The surgeon initiates dissection by creating a plane below the inferior mesenteric vein, proceeding along the mesocolic fascia from medial to lateral. The rectal mesentery is elevated, and the peritoneum is scored below the inferior mesenteric artery. Dissection continues below the artery, exposing its root, which is then clipped and divided."
72.866,107.471,"The surgeon continues the medial to lateral dissection along the mesocolic fascia, reaching the lateral peritoneal attachment. The dissection proceeds into the pelvis, completing the posterior dissection down to the pelvic floor. The lateral peritoneal cut is made to mobilize the descending colon."
107.971,148.476,"The surgeon scores the peritoneum over the iliac vessels to begin the pelvic node dissection. The ureters are dissected and medialized, while the vesico-hypogastric fascia is defined and preserved. Nodal tissue is then dissected along the external iliac vessels, followed by dissection along the internal iliac vessels."
148.976,189.037,"The surgeon identifies and divides the distal end of the obturator artery. As the dissection progresses, the obturator nerve and vein are identified. The distal end of the obturator vein is divided, and nodal tissue along the obturator nerve is carefully dissected to avoid nerve injury."
189.537,213.94,"The surgeon identifies the obliterated umbilical artery, clips it, and divides it. Subsequently, the superior vesicle artery is identified and divided. The remaining nodal tissue along the internal iliac vessels is completely dissected."
214.44,244.478,"The surgeon identifies, clips, and divides the distal end of the obliterated umbilical artery. The remaining nodal tissue along the obturator nerve is cleared, and the obturator vein is clipped and divided at its origin."
244.978,259.87,"The surgeon continues dissection along the internal iliac vessels, identifying the lumbosacral trunk. The internal pudendal vessels are clipped and divided."
259.89,305.964,"The surgeon identifies the sacrospinous ligament as a landmark for the ischial spine. The lateral dissection of the rectum proceeds while preserving the vesico-hypogastric fascia to protect the hypogastric nerve. During the dissection, the middle rectal vessels are encountered, clipped, and divided."
306.464,342.903,"The surgeon continues dissection along the internal iliac vessels, clearing nodal tissue along the internal pudendal vessels, which are clipped and divided. An anterior peritoneal cut is made, and anterior dissection proceeds while preserving the seminal vesicles."
343.403,392.013,"The surgeon cuts the sacrospinous ligament at its origin from the ischial spine due to mesorectal fascia involvement by the node. The dissection proceeds further down, where the right levator ani muscle is also cut, ensuring adequate soft tissue margins are maintained."
392.513,419.154,"The surgeon uses an endo stapler to divide the specimen proximally. The remaining part of the surgery is completed perineally, and the specimen is excised through the perineum."
