start,end,text
0.321,9.307,"We report a case of a fourteen year old male with a history of ulcerative colitis, presents with severe abdominal pain and anorexia."
9.807,16.845,His past surgical history is significant for complicated three-stage pouch rectal anastomosis.
17.345,23.127,Patient was diagnosed with pouch dysfunction and long rectal cuff during exam under anesthesia.
23.307,28.008,Patient was consented for transabdominal redo pouch surgery.
28.228,30.749,The surgeon encounters severe adhesions in the abdominal cavity and proceeds to carefully dissect and remove them.
31.249,52.528,The surgeon identifies the remnant mesorectum surrounding the pouch and proceeds to take down the left superior rectal artery.
53.028,66.447,"The surgeon continues rectal dissection to complete the proctectomy, carefully separating the rectal tissue from surrounding structures."
66.947,87.074,"The surgeon exposes the nonviliar's fascia anteriorly, revealing its distinct appearance within the surgical field."
87.574,125.914,"In reoperative pouch surgery during rectal dissection, it is important to not to chase minor bladings."
126.414,130.938,"The surgeon mobilizes the pouch anteriorly and laterally, separating it from surrounding tissues."
130.958,144.191,"The surgeon uses a linear stapler to dissect the ileal pouch rectal anastomosis, focusing on the connection between the ileal pouch and the rectum."
144.691,150.957,"The surgeon completes the dissection of the ileal pouch rectal anastomosis, separating it from surrounding tissues."
151.457,190.461,"The surgeon separates the ileal pouch from the remnant rectum, preparing it for a new ileal pouch anal anastomosis."
190.961,198.783,The surgeon secures a 28mm circular EEA stapler anvil within the ileal pouch and establishes the reanastomosis.
199.283,203.725,"The surgeon performs a leak test on the newly formed ileal pouch anal anastomosis, confirming the absence of leaks."
204.225,209.446,The surgeon creates a new loop ileostomy and sends the excised remnant rectum to pathology for further examination.
209.946,215.868,Patient was discharged home on post-operative day five after an uneventful recovery.
