start,end,text
1.981,10.665,"So this is a video just specifically of setting, how I set up my isoparastheltic anastomosis."
11.165,16.468,"A lot of people use V-Lock, I like to use Vicryl, and I'll show you why in a second."
16.968,24.462,"The surgeon places Vicryl stay sutures on either side of the future enterotomy site, preparing the area for the next step in the procedure."
24.962,30.807,"The surgeon ties a square knot, converts it into a slip knot, and then reverts it back to a square knot using sutures."
31.227,37.773,And then I just make sure that I get that right tension on each stitch.
38.273,42.276,"And then I leave that tail, because I'm going to use that in just a bit."
42.436,49.15,"The surgeon estimates a distance of approximately twelve millimeters from the last stitch, preparing for the placement of the stapler."
49.65,60.455,"Two Vicryl stay sutures are placed on either side of the future enterotomy site, providing control for the eventual enterotomies and facilitating the insertion of the stapler."
60.475,77.702,"The surgeon creates enterotomies, making incisions into the intestinal wall, following the placement of stay sutures and tension adjustments."
78.202,86.225,"The surgeon uses stitches to control both edges of the tissue, ensuring proper alignment and tension for the next step in the appendectomy procedure."
86.485,88.927,"The surgeon inserts the stapler into the surgical field, positioning it approximately twelve millimeters away from the last stitch, as previously estimated."
89.427,96.229,And the nice thing about having those two stays is that you're able to walk dynamically.
96.269,102.172,"The surgeon positions each corner of the tissue onto the stapler, preparing for the stapling process."
102.672,111.311,And you're in control of the whole staple anastomosis.
111.811,116.552,What I like here is that I see both ends of the staple line.
117.052,119.793,And we can control that with this move right here.
119.833,126.775,"The surgeon approaches the end of the staple line, hooks it, and then tucks it under, ensuring the staple line is securely positioned."
126.875,129.155,And you know that you got that corner.
129.655,130.195,That's what I like.
130.255,133.196,And so then I'm going to talk about a couple of the techniques I use.
133.236,140.41,"The surgeon lifts the tissue and pushes down in front of the suture, manipulating the area around the surgical site."
140.91,144.092,"The surgeon uses the needle tip to set the suture in place, securing the tissue with precise movements."
144.493,146.374,And then I just keep going.
146.874,149.156,"The surgeon takes full thickness bites of tissue, likely using a needle and suture, to secure the appendiceal stump or close the incision site."
149.656,154.379,And I just speed it up here just to get it through here.
154.68,156.621,And then I do the same for this last little bit.
157.121,161.264,The surgeon pushes the staple line into position and secures it by compressing it downward.
161.284,166.508,"The surgeon advances beyond the last stitch, continuing the suturing process."
166.588,169.82,I come beyond.
170.32,174.361,"The surgeon ties the current suture to the previously placed suture, securing the tissue in place."
174.381,186.264,The surgeon cuts off the previously placed sutures and performs a Lembert stitch on the remaining tissue.
186.665,190.306,"The surgeon performs a running Lembert suture technique below the previous stitch line, securing the tissue with continuous suturing."
190.326,199.573,"Usually I have the residents do this part, but it teaches that concept, so I'm walking them through doing this."
200.073,203.196,"And again, you set your suture with your needle."
203.696,209.9,The surgeon adjusts the tension of the suture by pushing with the back of the needle to ensure proper alignment and secure closure.
210.4,214.783,"And then again, you come beyond the stay."
214.803,228.727,"The surgeon places a suture in front, pulls the stay up, and then places another suture behind, completing the suturing process."
229.227,241.103,Make sure the tension is right.
241.603,241.964,There it is.
