start,end,text
91.706,102.981,"The surgeon observes the loose seton placed within the fistula tract, visible in the surgical field."
103.481,133.727,"A transverse incision is made in the rectovaginal space using a perineal approach, with the Lone Star retractor system providing enhanced visualization of the surgical plane."
134.227,142.129,"The surgeon develops the plane between the external annulus pincer and the posterior vaginal wall using diathermy, ensuring meticulous hemostasis in the process."
142.629,145.91,"The surgeon extends the dissection to further expose the fistula structure between the rectum and vagina, revealing its anatomical details."
146.41,150.892,"The surgeon identifies fibrotic tissue at the site of the previous anastomosis, characterized by dense and scarred tissue appearance."
151.392,162.525,"The surgeon has surpassed the muscular sleeve, revealing the fistula structure in the center of the surgical field."
163.025,193.443,"A curved probe is maneuvered through the fistula tract, aiding in the dissection process."
193.943,198.128,"The surgeon encircles the dissected fistula tract, allowing for the removal of the curved probe previously maneuvered through the tract."
198.628,245.783,"The surgeon ligates the fistula tract with absorbable sutures and then divides it, completing the separation of the tract from surrounding tissues."
246.283,255.018,"The surgeon uses two taution retractors to perform a dissection of the rectovaginal space, ensuring proper muscular interposition is achieved."
255.518,274.917,"The surgeon invaginates the rectal side of the fistula tract using interrupted absorbable sutures, visibly folding the tissue inward."
275.417,280.627,"The surgeon ligates the vaginal side of the fistula tract using absorbable sutures, completing the ligation process on both sides of the tract."
281.127,287.057,"The surgeon marks the incision site over the labium majus, preparing for the next step in the procedure."
306.445,365.846,"The surgeon demonstrates the placement of a modified Martius graft, utilizing the labial fat pad for reconstruction in the rectovaginal space."
366.346,377.858,"The surgeon dissects the labial fat pad, ensuring the preservation of the blood supply from the internal pudendal artery visible at the posterior aspect."
378.358,398.588,The contracting vulvocavernous muscle is visible in the surgical field.
399.088,424.096,"The surgeon tunnels the dissected flap to the rectovaginal septum, positioning it to overlay the two-layer closure of the fistula."
424.596,471.129,"The surgeon secures the flap in place with multiple sutures to prevent it from sliding down, ensuring stability over the two-layer fistula closure."
471.629,494.987,"A suction drain is placed in the graft space beneath the labial incision, followed by a primary closure using Vicryl Quick sutures."
