start,end,text
90.632,94.057,"After entrance into the chest and initial inspection, the lesion was identified."
94.518,101.47,The tissue overlying the duplication is entered sharply and dissection is continued circumferentially to unroof and expose the lesion.
105.567,112.536,"Deep dissection is continued using a combination of sharp and blunt dissection, as well as the adjunct of electrocautery."
114.158,119.564,Traction is alternatively placed on the cyst and the surrounding tissues to provide a mechanical advantage.
122.368,127.614,Muscle fibers are carefully separated to expose the cyst.
127.634,130.478,Continued blunt dissection is then used to enucleate the cyst.
134.255,139.421,At this point in the case the sac was entered and the contents were evacuated using the suction irrigator device.
141.903,146.889,The collapsed sac was ungrasped and uses a handle to provide traction for ongoing dissection.
150.913,155.759,The specimen is sharply separated from the surrounding tissue and removed from the chest cavity through an uncovered port.
163.938,166.903,"Here, the light of the endoscope is visible through the esophageal wall."
167.864,171.991,Air is insufflated into the esophagus as saline is instilled into the chest cavity.
174.095,179.383,"This maneuver was performed to evaluate for leak, and none was noted."
182.188,184.992,The saline was evacuated using the suction irrigator device.
185.513,189.76,The chest was enclosed in standard fashion and without the placement of a chest tube.
