start,end,text
16.929,28.755,This thirty two years female on steroid treatment for chronic ITP for two years presented with falling platelet counts and particular hemorrhage. Her current platelet counts were only ten thousand.
29.255,44.368,"Preoperative platelet transfusion with intact spleen is of no help nor do we employ IgG. However, we give vaccination to these patients two weeks before the surgery in non-emergent situations."
44.868,66.825,"The operating room layout is shown with the surgeon standing to the right of the patient. The monitor is positioned at the level of the patient's left shoulder. A sandbag is placed under the left scapula to achieve a thirty-degree tilt of the left side upwards. The patient's thighs are strapped, and the right shoulder is supported."
67.325,90.716,"The surgical team establishes port positions for the laparoscopic splenectomy: a 10mm port for the telescope is placed above and to the left of the umbilicus, a 5mm port in the epigastrium, and a 10mm port in the left midclavicular line for the surgeon's hands. An additional 5mm port is positioned in the left axillary line for the assistant."
91.216,126.402,"Multiple petechial spots are visible on the skin of the abdomen. The narration discusses the importance of identifying and removing accessory spleens, which can be located in the gastro-splenic ligament, omentum, along the splenic artery, or as far as the mesentery of the small bowel or ovary."
126.902,135.767,Radiology or radioisotope studies are of no help in detecting accessory spleen preoperatively.
136.267,152.535,"In the left upper quadrant, the surgeon begins mobilizing the splenic flexure of the colon by dividing the splenocolic ligament, using surgical instruments to separate the ligament from surrounding tissues."
153.035,176.875,"The surgeon divides the gastro-splenic ligament to enter the lesser sac, extending the division upwards to the upper pole of the spleen. This maneuver provides wide access to the lesser sac and a clear view of the splenic artery, which is identified by its pulsations."
177.375,229.992,"The surgeon further opens the lesser sac to identify the tail of the pancreas. During the dissection from below, the splenic vein is visible before the splenic artery. The splenic artery is carefully lifted with an atraumatic grasper and dissected circumferentially."
230.492,249.445,"The surgeon creates space to separate the splenic artery from the splenic vein. Once the splenic artery is sufficiently mobilized and dissected, it is clipped."
249.945,294.47,"The surface of the spleen is observed, showing the upper part darkened due to devascularization, while the lower part remains perfused. The lower polar splenic artery and vein are identified and dissected, resulting in the entire spleen becoming dark and devascularized."
294.95,325.78,"The surgeon uses harmonic shears to divide the fat around the tail of the pancreas, revealing the pancreatic tail and pushing it away from the splenic hilum. A small tributary of the splenic vein from the pancreas is visible and addressed during the dissection."
326.28,362.356,"The splenic vein, having shrunk in size after the splenic artery was clipped, is now clipped on the patient's side but remains undivided. The surgeon divides the remaining areolar tissues in the hilum of the spleen. The posterior leaf of the linonear ligament near the lower part of the spleen is divided, and the division continues upwards."
362.856,391.123,"The surgeon divides the upper part of the linoleum ligament from the anterior surface, with the hilum of the spleen well dissected and the tail of the pancreas pushed away, facilitating the procedure."
391.623,438.47,"The spleen is now only attached by the splenic vein, which is divided without clipping the splenic side, causing dark blood to bleed out. This bleeding reduces the spleen's size, facilitating its removal. The spleen is then completely free and can be moved in any direction. A plastic bag is introduced into the peritoneal cavity, and the spleen is placed inside the bag."
438.97,493.583,"The surgeon delivers the open end of the bag containing the spleen through the midclavicular port. Using a finger, the spleen is fractured into small pieces and removed, with the pieces placed in a kidney tray. The operative area is inspected, including the posterior leaf of the linoleum ligament and the splenic pedicle, where both branches of the arteries are visible. The delivery port is closed with transfacial sutures to prevent hernia formation, and the skin wounds are sutured."
494.083,550.093,"The surgeon carefully divides both leaves of the gastro-splenic ligament using harmonic shears, while the tail of the pancreas is seen closely overriding the hilum of the spleen. The tail of the pancreas is gently pushed away from the splenic hilum to create more space, allowing further division of fatty tissue with harmonic shears. Attention is given to avoid damaging the branches of the splenic vein during the procedure."
550.593,618.828,"The surgeon carefully manages the anchoring branch of the vein after dissecting out the pancreatic tail, using clips or coagulation at multiple points to prevent bleeding. The surgical field remains dry, but due to the friable nature of the tissues, unexpected bleeding can occur. When bleeding starts, the area is pressed with a suction or instrument, and an atraumatic soft grasper is used to occlude the bleeding."
619.328,654.981,"The surgeon faces difficulty applying clips due to the presence of multiple clips in the area, obstructing further application. Suturing is performed with one hand, as the left hand is occupied in controlling bleeding."
655.481,708.506,"With experience even massive spleens can be removed by laparoscopy. This is a one point eight five kilogram spleen which we remove by laparoscopy. The positions of the ports have to be individualized and one must remember that these large splenic veins are not only thin walled but very fragile and bleed very easily on touch so they should be very carefully handled. Laparoscopic spleen acne is the gold standard for patients with chronic ITP. Other hematological disorders with spleenomegaly also can be dealt with by laparoscopy. Hyperspleenism with very massive spleen. Laparoscopic spleen acne is feasible, but complications are higher. Laparoscopic spleen acne has also been reported for large spleens with portal hypertension."
