start,end,text
0.723,28.534,"Hello, everyone. This is Roxanne Liu from Oakland, California. This video is a demonstration of the precision of robotic surgery. This is a patient with a small left direct inguinal hernia. You can see he is extremely thin. I find that in these patients who are very thin with very small hernias, there is essentially no room for error."
0.723,51.254,"Hello, everyone. This is Roxanne Liu from Oakland, California. This video is a demonstration of the precision of robotic surgery. This is a patient with a small left direct inguinal hernia. You can see he is extremely thin. I find that in these patients who are very thin with very small hernias, there is essentially no room for error. The peritoneum is extremely thin, so it has to be handled with extreme gentleness. It's very easy to tear the peritoneum. And once the peritoneum is torn, there isn't any redundant tissue to patch the defect or make up for the loss of the peritoneum."
29.034,78.072,"The surgeon carefully handles the extremely thin peritoneum to avoid tearing, as there is no redundant tissue available for repair. The laparoscopic approach reveals the entry into the retro rectus space, with minimal fat present, relying on areolar tissue for plane development."
51.754,105.708,"The surgeon navigates the retro rectus space, carefully dissecting along the natural areolar plane. The thin peritoneum and attenuated posterior rectus sheath are visible, highlighting the delicate anatomy in this thin patient."
78.572,139.965,"The surgeon navigates the retroactive space, following the natural areolar plane with careful retraction. The peritoneum is visibly thin, requiring precise manipulation under ten times magnification. Tiny blood vessels are cauterized to maintain hemostasis, ensuring clear visibility of the anatomical planes."
106.208,175.881,"The surgeon works broadly with good retraction, following the areolar tissue while staying on the peritoneum. The peritoneum appears extremely thin under ten times magnification. Tiny blood vessels are cauterized to maintain hemostasis, revealing the correct plane. The gap between the peritoneum and the transversus abdominis muscle is small, with the surgeon working in a narrow band of areolar tissue. The internal ring is approached carefully to avoid injuring the inferior epigastric vessels."
140.465,220.753,"The surgeon navigates the narrow gap between the peritoneum and the transversus abdominis muscle, carefully avoiding injury to the inferior epigastric vessels. The peritoneum appears very thin, and the surgeon chooses to proceed anterior to a patch of fat to access Cooper's ligament. The surgeon crosses the midline, positioning the mesh across it, and identifies the pubic symphysis while moving towards the right groin. The left hand is used for retraction to maintain a clear view of critical structures."
176.381,235.624,"The surgeon navigates through the areolar tissue in the space of Retzius, choosing to proceed anterior to a patch of fat for easier access to Cooper's ligament. The mesh is positioned to cross the midline, with the pubic symphysis visible as the surgeon moves towards the right groin. Careful retraction is maintained to avoid critical structures, confirming the presence of a small direct inguinal hernia."
221.253,307.148,"The surgeon confirms the presence of a small direct inguinal hernia with a shallow indentation. A branch of the inferior epigastric artery is visible, which the surgeon carefully preserves while dissecting around the area. The surgeon pulls away from critical structures, including the external iliac vein, and dissects through the areolar tissue, maintaining hemostasis to appreciate the anatomy. The peritoneum is taken down at the internal ring with precise retraction aiding the dissection."
236.124,313.692,"The surgeon identifies a branch off the inferior epigastric artery and carefully preserves it while dissecting surrounding fat tissue. The dissection proceeds with attention to avoiding injury to underlying structures such as the external iliac vein. Hemostasis is maintained, allowing clear visualization of the anatomy. The surgeon takes down the peritoneum at the internal ring, noting a small indentation and confirming its position intra-abdominally. A tubular structure is unexpectedly observed during the dissection."
307.648,412.84,"The surgeon identifies a tubular structure, noting the patient's vas travels laterally from the internal ring. The transverse salus sling is preserved during dissection, staying close to the thin peritoneum. Dissection occurs in front of the external iliac artery, with the external iliac vein medial to it. The bowel is positioned against the peritoneum, requiring careful use of cautery to avoid thermal injury while maintaining hemostasis."
314.192,387.556,"The surgeon carefully dissects near the internal ring, preserving the transverse salus sling while staying close to the thin peritoneum. The vas deferens travels laterally, and the dissection occurs in front of the external iliac artery, with the external iliac vein positioned medially. The surgeon uses cautery to maintain hemostasis, avoiding thermal injury to the bowel as it approaches the peritoneum."
388.056,458.965,"The surgeon cauterizes small blood vessels to prevent bleeding, ensuring a clear surgical field. A significant gap between the vas deferens and the external iliac artery is visible. The surgeon manipulates the transverse salus sling and navigates through the space of Retzius, following the areolar tissue into the retropubic space to position the mesh vertically."
413.34,500.6,"The surgeon maintains a fascial layer on the posterior tissue to prevent the mesh from contacting bare nerves. A significant gap is visible between the vas deferens and the external iliac artery. The transverse salus sling is manipulated, and the dissection proceeds into the space of Retzius, following the areolar tissue into the retropubic space. The surgeon aims to position the mesh two centimeters deep for vertical placement. Anatomical details include a large vein anterior to the prostate, the pelvic floor muscle, and a prominent coronamortis artery. The peritoneum and bladder are peeled back to create a landing zone for an extra-large 3D Max mesh."
459.465,539.985,"The surgeon identifies a large vein anterior to the prostate and the pelvic floor muscle, as well as a prominent coronamortis artery. The peritoneum and bladder are carefully peeled back to create a landing zone for the mesh. An extra-large 3D Max mesh is prepared for placement. The dissection becomes challenging as the bowel is closely adjacent to the peritoneum, and a small vessel is cauterized to prevent bleeding. Despite efforts, some bleeding occurs, staining the tissue in the dissection area."
501.1,616.393,"The surgeon carefully dissects the area where the bowel is closely positioned against the peritoneum, using cautery to manage small vessels and prevent bleeding. The tissue begins to stain with blood, complicating the dissection. The surgeon pulls away from the external iliac vein and ensures the bladder is separated from the side wall to create space for the mesh placement. The dissection progresses with caution to avoid damaging the coronamortis artery and obturator nerve, preparing a clear landing zone for the mesh."
540.485,616.393,"The surgeon carefully pulls away from the external iliac vein, ensuring the bladder is separated from the side wall to create space for the mesh to sit vertically. The bladder is peeled away to prevent it from sitting underneath the mesh, avoiding damage to the coronamortis artery and obturator nerve. The dissection is nearly complete, with the mesh positioned to emerge from the pelvis onto a clear landing zone without peritoneum beneath it."
