start,end,text
0.605,28.376,"Hello, I'm sharing a robotic low anterior resection for a recto sigmoid cancer in a young male. This was found on a index colonoscopy for rectal bleeding, was at around a twenty five centimeters and above the peritoneal reflection. And he was worked up in a multidisciplinary fashion and elected to undergo a sigmoid resection."
0.605,28.376,"Hello, I'm sharing a robotic low anterior resection for a recto sigmoid cancer in a young male. This was found on a index colonoscopy for rectal bleeding, was at around a twenty five centimeters and above the peritoneal reflection. And he was worked up in a multidisciplinary fashion and elected to undergo a sigmoid resection."
28.736,89.187,"The surgeon begins a medial to lateral dissection to isolate the inferior mesenteric artery (IMA) pedicles. The dissection is performed in the retro-rectal space, with careful identification of the ureter before addressing the inferior mesenteric vessels. The IMA is isolated near its origin from the aorta, with the surgeon creating a window proximal to the left colic artery, visible on the cephalad aspect of the vessel."
28.736,48.764,"The surgeon begins a medial to lateral dissection to isolate the inferior mesenteric artery (IMA) pedicles, aiming to enter the retro-rectal space. Careful attempts are made to identify the ureter before addressing the inferior mesenteric vessels."
49.264,89.187,"The surgeon isolates the inferior mesenteric artery (IMA) near its origin from the aorta, carefully creating a window proximal to the left colic artery. The vascular sheath is opened to reduce tissue interference with vessel sealing."
89.687,105.957,The surgeon creates a window behind the isolated inferior mesenteric artery (IMA) and uses a sealing device to take the tension off the vessel.
89.687,128.613,"The surgeon creates a window behind the inferior mesenteric artery (IMA) using a sealing device, relieving tension on the vessel. The surgeon then performs medial dissection along the root of the mesentery towards the inferior mesenteric vein (IMV), preparing for potential IMV ligation. The procedure continues with lateral dissection."
106.457,143.937,"The surgeon performs medial dissection along the root of the mesentery towards the inferior mesenteric vein (IMV), preparing for potential IMV ligation. The dissection progresses to the lateral plane, where the descending colon mesentery is lifted off the kidney, extending the dissection towards the splenic flexure."
129.113,185.022,"The surgeon reaches the lateral plane and performs lateral dissection from the medial side, lifting the descending colon mesentery off the kidney. Using a sealing device, the surgeon manipulates the bowel and mesentery, progressing towards the splenic flexure while ensuring there is no tension on the future anastomosis."
143.957,185.022,"The surgeon uses a sealing device to achieve hemostasis and manipulate the bowel and mesentery, advancing towards the splenic flexure while assessing the tension on the anastomosis."
185.522,219.518,"The surgeon begins the total mesorectal excision (TME) dissection using scissors for precision in the mesorectal plane, focusing on tumor-specific excisions for rectal or distal sigmoid cancers."
185.522,219.518,"The surgeon begins the total mesorectal excision (TME) dissection using scissors for precision in the mesorectal plane, focusing on tumor-specific excisions for rectal or distal sigmoid cancers."
220.018,259.216,"The surgeon navigates below the peritoneal reflection to achieve an adequate distal margin, dissecting anteriorly while maintaining the dissection within the visible areolar plane of the rectal sigmoid region."
220.018,276.692,"The surgeon dissects below the peritoneal reflection to achieve an adequate distal margin in the rectal sigmoid area, carefully navigating the anterior aspect while staying within the visible areolar plane."
259.716,276.692,"In this case, I believe there were fifty-six lymph nodes, eighteen of which were positive. The patient is getting set up for adjuvant therapy at this time."
277.192,301.8,"The surgeon observes that the tissue planes appear edematous and fibrotic, possibly due to a dense inflammatory and desmoplastic reaction associated with the tumor, resembling post-neoadjuvant radiation fibrosis."
277.192,372.841,"The surgeon navigates through edematous and fibrotic tissue planes, likely influenced by the tumor's desmoplastic reaction. The dissection proceeds down the left-sided plane, joining anteriorly, with the surgeon cleaning off the rectal mesentery at a level more than six centimeters distal to the tumor, marked by a tattoo."
302.3,372.841,"The surgeon dissects down the left-sided plane and joins anteriorly, cleaning off the rectal mesentery at a level more than six centimeters distal to the tumor, marked by a tattoo for tumor-specific mesorectal excision."
373.341,421.791,"The surgeon decides against transrectal extraction due to the large size of the cancer and bulky mesentery, opting instead for an intracorporeal anastomosis. After completing the transection, the specimen is moved aside to perform a sutured anastomosis."
373.341,421.791,"The surgeon decides against transrectal extraction due to the large size of the cancer and bulky mesentery. After completing the transection, the specimen is moved aside, and the surgeon prepares to perform an intracorporeal sutured anastomosis."
421.831,468.124,"The surgeon takes the proximal mesentery near the high ligation of the inferior mesenteric artery (IMA), bringing it up to the chosen proximal margin. A tattoo marking is visible on the right, indicating the proximal location relative to the tumor."
421.831,468.124,"The surgeon dissects the proximal mesentery near the high ligation of the inferior mesenteric artery (IMA), advancing towards the chosen proximal margin. A tattoo marking is visible on the right, indicating a location proximal to the tumor."
468.624,493.995,"The surgeon uses indocyanine green (ICG) to assess the margins after taking the mesentery. A stapler is positioned to secure the proximal margin, ensuring adequate blood supply, while the rectum is less likely to experience ischemia."
468.624,493.995,"The surgeon uses indocyanine green (ICG) fluorescence to assess the margins of the resected mesentery. The stapler is positioned in place, ready to secure the proximal margin, which is prioritized for ensuring adequate blood supply."
494.495,525.244,"The surgeon places a 60mm stapler distally in the pelvis, requiring two firings to secure the tissue. The stapler fits into the pelvic space despite initial concerns about its size."
494.495,540.013,"The surgeon places a 60mm stapler distally to create the anastomosis, requiring two firings to fit into the pelvis. The specimen is moved aside, and the bowel length is checked in steep Trendelenburg position before proceeding with the anastomosis."
525.744,563.993,"The surgeon moves the specimen to the side and checks the bowel length in steep Trendelenburg position. The proximal bowel is rotated clockwise to align the staple lines vertically. The anti-mesenteric side of the sigmoid is exposed for suturing, and the posterior rows of the anastomosis are joined."
540.513,648.306,"The surgeon rotates the proximal bowel clockwise to align the staple lines vertically, exposing the anti-mesenteric side of the sigmoid colon. Using the left hand to assist in rotating the bowel counterclockwise, the surgeon clears pericolic fat and makes a colotomy, followed by a proctotomy."
564.013,648.306,"The surgeon uses their left hand to rotate the bowel counterclockwise, aligning the staple lines for the anastomosis. The colotomy is made, with pericolic fat being cleared away, followed by the proctotomy."
648.806,713.687,"The surgeon begins suturing the inner row in the posterior midline, moving towards the patient's left. ICG is used to document the vascularization of the rectal and colon wall bridges between the staple line and the cut edge of the bowel, confirming adequate blood supply."
648.806,713.687,"The surgeon begins suturing the inner row of the anastomosis at the posterior midline, moving towards the patient's left. Indocyanine green (ICG) is used to document the vascularization of the rectal and colon wall bridge between the staple line and the cut edge of the bowel, ensuring there is no visible ischemia."
714.187,763.33,"The surgeon begins the second inner suture line, suturing towards the patient's right side, ensuring full thickness bites are taken for secure tissue approximation."
