start,end,text
24.928,33.314,We present a case of acute appendicitis with appendiceal rupture and abscess formation. Our patient is a fifty-four year old with no chronic illness.
33.814,48.245,He was well until he presented to the emergency department with a history of abdominal pain of five day duration that was gradual in onset beginning peri-umbilical then migrating to the right lower quadrant. The pain did not radiate but was associated with nausea and vomiting.
48.745,54.747,He did not reveal any aggravating or relieving factors. He did complain of intermittent fever and night sweats.
55.247,62.829,Initial examination revealed a dehydrated patient with blood pressure of one-thirty over eighty-four and pulse rate of one hundred and ten per minute.
63.329,68.771,Abdomen was tender in the right lower quadrant and suprapubically with guarding and rebound tenderness.
69.271,79.8,His laboratory results were all normal except for an elevated WBC of twenty five point one. He had a CT scan of the abdomen which confirmed a ruptured appendicitis with abscess formation.
80.3,86.825,A clinical diagnosis of acute appendicitis was made and an emergency single port laparoscopic appendectomy was advised.
87.325,97.992,"The patient is positioned supine on the operating table with arms at the sides. The surgeon stands on the patient's left side, while the assistant is positioned on the right."
98.492,105.239,"The surgeon makes a 2.0 to 2.5 centimeter vertical transumbilical skin incision, carefully directing the incision down into the peritoneum."
105.739,127.553,"The surgeon places Vicryl 2-0 stay sutures at the fascial end of the incision to facilitate the introduction of a gel point single incision port, using retraction on the stay sutures."
128.053,144.298,"Following the establishment of pneumoperitoneum at 15 mm Hg, the surgeon inserts a 10-12 mm trocar and two 5 mm trocars into the gel point port in a triangular configuration."
144.798,161.682,"The surgical platform is positioned with the ten-twelve mm port at the seven o'clock position, and additional ports at twelve and five o'clock. A standard length, ten mm, thirty-degree laparoscope is inserted through the port at the seven o'clock position."
162.182,265.64,The surgeon uses a straight grasper through the five o'clock port for lateral retraction while utilizing the twelve o'clock port as the working port to dissect out the abscess cavity.
266.14,278.991,"The surgeon frees the appendix from the abscess cavity, followed by the dissection of the mesoappendix and division of the appendicular artery using a Maryland ligature."
279.491,288.066,The surgeon positions the jaws of the instrument at a safe distance from the bowel wall to prevent injury during the procedure.
288.566,316.99,"The surgeon divides the base of the appendix using a 35 mm linear stapler, ensuring precise separation from the cecum."
317.49,358.154,"The surgeon irrigates the abdominal cavity thoroughly, ensuring the removal of any residual debris or fluid."
358.654,409.073,"The surgeon decides against using a specimen bag for the retrieval of the appendix, indicating the appendix is ready for removal from the surgical field."
409.573,470.35,"The surgeon removes the appendix through the gel point system after disengaging the cap, following its previous dissection and division from surrounding structures."
470.85,493.864,"The ALEXIS wound protector is positioned to isolate the wound edge, providing a clear view of the surgical site."
494.364,499.867,"The surgeon closes the incision in layers, using a number two O Vicryl suture for the fascia and a number three O monocryl suture for the skin."
