start,end,text
0.031,5.18,Es un procedimiento quirúrgico mínimamente invasivo que permite acceder a la cavidad torácica.
6.522,12.051,Y la finalidad de acceder a la cavidad torácica es con fines diagnósticos y con fines terapéuticos.
13.033,17.621,Se puede ocupar la toracoscopía tanto en pediatría como en cirugía general.
18.422,21.647,Ahorita vamos a operar un pacientito que requiere la toracoscopía.
21.727,26.275,"Es el empiema pulmonar, que es la formación de pus en la cavidad torácica."
29.545,50.49,Los derrames pleurales o las adherencias por fibrina es una de las complicaciones más frecuentes.
50.858,53.902,pero no se debe a mal empleo en el tratamiento médico.
54.683,62.293,"Existe, doctor Sara, que hay muchas bacterias multidesistentes en los antibióticos y los procesos infecciosos continúan y continúan."
63.034,73.007,"Y hay algunos pacientes, tanto niños como adolescentes, y en este caso adultos, que no responden de una manera rápida al tratamiento con el sello de agua por los grandes derrames que hacen."
73.848,76.191,"Y esta es una indicación, niña, para que se pierda."
82.297,85.658,Gracias por ver el video.
