start,end,text
26.204,30.01,This image shows the obstructing endobronchial lesion as seen on bronchoscopy.
44.633,47.798,We start with a standard posterolateral thoracotomy.
48.74,52.566,Short skin flaps are raised superiorly and inferiorly.
61.591,67.079,"Next, the latissimus dorsi muscle and the serratus anterior are preserved and maximally mobilized."
67.82,71.325,This provides for the best possible exposure for the upcoming resection.
77.614,80.738,"With the completion of the thoracotomy, we proceed to the lymphadenectomy."
81.379,86.687,"Here, the pleura is incised posteriorly to expose the subcrinal lymph node packet."
94.042,101.031,"In this segment, we see the esophagus lying on the top of the screen and the subcarinal packet is retracted inferiorly with a ring clamp."
101.812,107.459,"Upon excision of the subcarinal lymph nodes, we can see that the space has been fully cleared."
109.702,113.346,"Upon completion of the lymphadenectomy, we proceed to the resection of the right upper lobe."
114.127,120.555,"First, the superior pulmonary vein is isolated and subsequently ligated with a vascular stapler."
125.969,134.122,"Similarly, we identify the truncus and complete its ligation and division with the vascular stapler."
136.566,141.995,"With the truncus divided, it allows for us to easily identify the remaining branches of the pulmonary artery."
142.776,145.28,We can now see the ongoing PA is well preserved.
145.941,150.829,Here we can see the airway exposed after the vessels have been ligated.
153.104,158.077,We next dissect the confluence of the right main bronchus and the right upper lobe airway.
159.119,166.438,"Using a Harkin right angle clamp, we circumferentially mobilize the right upper lobe bronchus and control it using an umbilical tape."
178.282,182.11,"After this step, we proceed to the completion of the fissure."
182.55,189.103,"This is done with the combination of a blunt dissection, electrocautery and a stapling device fired towards the airway."
192.009,199.564,"Due to inflammation from the post-obstructive pneumonia, the fissure is almost always fused."
211.255,225.788,"Once the airway has been cleared of lung parenchyma using a scalpel, electrocautery, the airway is divided proximally in the distal right main bronchus and distally in the proximal bronchus intermedius."
251.823,257.573,"With the airway divided, we can see and ligate the remaining posterior segment recurrent branch."
258.915,262.662,The horizontal fissure is next completed with another parenchymal stapler.
263.423,267.57,Here we see the endobronchial lesion has now been resected with grossly negative margins.
269.761,272.885,"With the completion of the resection, we can proceed to the reconstruction."
273.425,284.018,"The bronchus intermedius is released inferiorly, and the left atrium and hilum are released via intrapericardial mobilization to allow for a complete hilar release."
286.381,291.907,"In this image, we see the mediastinum after the airway has been dissected off of it and the hilar release completed."
292.929,298.215,The next image shows the two ends of the divided airway adjacent to each other.
300.777,306.365,Two retraction sutures are then placed in the right main bronchus to allow for better exposure.
314.117,318.884,The anastomosis is performed in an end-to-end fashion using running sutures.
319.545,323.19,We begin the anastomosis at the cartilaginous part of the bronchus.
342.998,345.771,The suture line is tightened using a nerve hook.
346.776,350.916,This image shows a completed anastomosis.
355.098,359.105,A pleural flap is dissected so as to be used to cover the anastomosis.
359.826,366.397,"Most of these patients have a post-obstructive pneumonia, as mentioned previously, resulting in some pleural thickening and inflammation as well."
375.412,381.021,And here we see the corresponding bronchoscopic image of the patent bronchial anastomosis on follow-up bronchoscopy.
